,true,pred
2016-10-28 00:00:00,487.61999999999995,469.72772
2016-10-28 01:00:00,438.12,427.49088
2016-10-28 02:00:00,413.64000000000004,395.69128
2016-10-28 03:00:00,398.78999999999996,384.16248
2016-10-28 04:00:00,397.25999999999993,379.49384
2016-10-28 05:00:00,416.15999999999997,392.53702
2016-10-28 06:00:00,451.44,438.8313
2016-10-28 07:00:00,547.47,509.9069
2016-10-28 08:00:00,538.74,509.25464
2016-10-28 09:00:00,471.87,465.33505
2016-10-28 10:00:00,439.38,429.60342
2016-10-28 11:00:00,424.89,433.4366
2016-10-28 12:00:00,425.34,428.84702
2016-10-28 13:00:00,424.7100000000001,425.82794
2016-10-28 14:00:00,423.45000000000005,420.67322
2016-10-28 15:00:00,432.18,435.90924
2016-10-28 16:00:00,458.36999999999995,433.25754
2016-10-28 17:00:00,500.76,489.22427
2016-10-28 18:00:00,580.5,552.07245
2016-10-28 19:00:00,604.17,609.07965
2016-10-28 20:00:00,612.27,624.00336
2016-10-28 21:00:00,613.98,609.4805
2016-10-28 22:00:00,605.2500000000001,584.5302
2016-10-28 23:00:00,553.77,533.32764
2016-10-29 00:00:00,494.46,475.00394
2016-10-29 01:00:00,449.72999999999996,431.97485
2016-10-29 02:00:00,422.28000000000003,399.72327
2016-10-29 03:00:00,409.23,387.30713
2016-10-29 04:00:00,408.24000000000007,383.70706
2016-10-29 05:00:00,419.58000000000004,394.72757
2016-10-29 06:00:00,436.40999999999997,441.8716
2016-10-29 07:00:00,482.49,514.4328
2016-10-29 08:00:00,523.8,514.5929
2016-10-29 09:00:00,520.56,470.11957
2016-10-29 10:00:00,499.59,433.06842
2016-10-29 11:00:00,493.47,437.39166
2016-10-29 12:00:00,477.18,434.36227
2016-10-29 13:00:00,467.19,431.18073
2016-10-29 14:00:00,457.02000000000004,424.05063
2016-10-29 15:00:00,453.33,442.54303
2016-10-29 16:00:00,476.18999999999994,438.283
2016-10-29 17:00:00,526.32,496.09656
2016-10-29 18:00:00,581.49,559.9843
2016-10-29 19:00:00,597.51,618.199
2016-10-29 20:00:00,609.0300000000001,633.9694
2016-10-29 21:00:00,612.72,617.5016
2016-10-29 22:00:00,594.81,593.34595
2016-10-29 23:00:00,553.6800000000001,540.02924
2016-10-30 00:00:00,494.64,483.72885
2016-10-30 01:00:00,454.23,441.04514
2016-10-30 02:00:00,428.76,407.09567
2016-10-30 03:00:00,409.14,388.47244
2016-10-30 04:00:00,403.47,379.413
2016-10-30 05:00:00,412.65000000000003,380.43805
2016-10-30 06:00:00,428.49,435.47437
2016-10-30 07:00:00,465.12,518.0093
2016-10-30 08:00:00,506.7,505.90634
2016-10-30 09:00:00,528.48,487.81952
2016-10-30 10:00:00,508.14,471.72464
2016-10-30 11:00:00,482.76000000000005,463.27347
2016-10-30 12:00:00,477.44999999999993,463.8571
2016-10-30 13:00:00,463.41,453.68542
2016-10-30 14:00:00,457.10999999999996,443.94064
2016-10-30 15:00:00,457.11,454.80957
2016-10-30 16:00:00,476.37,470.84885
2016-10-30 17:00:00,540.81,515.5135
2016-10-30 18:00:00,611.9100000000001,579.4994
2016-10-30 19:00:00,630.09,637.06445
2016-10-30 20:00:00,640.53,635.07526
2016-10-30 21:00:00,642.69,642.1452
2016-10-30 22:00:00,620.28,604.58307
2016-10-30 23:00:00,554.4000000000001,546.8123
2016-10-31 00:00:00,491.58,466.18637
2016-10-31 01:00:00,446.31,435.2566
2016-10-31 02:00:00,413.73,401.3575
2016-10-31 03:00:00,399.87,382.30273
2016-10-31 04:00:00,399.78000000000003,373.08047
2016-10-31 05:00:00,416.15999999999997,378.71042
2016-10-31 06:00:00,452.70000000000005,424.8854
2016-10-31 07:00:00,531.6299999999999,507.737
2016-10-31 08:00:00,520.29,494.9796
2016-10-31 09:00:00,467.64,469.91
2016-10-31 10:00:00,446.84999999999997,457.65137
2016-10-31 11:00:00,427.95,455.42563
2016-10-31 12:00:00,430.46999999999997,446.44934
2016-10-31 13:00:00,427.68,445.18594
2016-10-31 14:00:00,420.30000000000007,429.3233
2016-10-31 15:00:00,415.16999999999996,446.147
2016-10-31 16:00:00,437.31,454.49045
2016-10-31 17:00:00,500.66999999999996,500.37564
2016-10-31 18:00:00,600.48,572.78253
2016-10-31 19:00:00,630.45,614.9515
2016-10-31 20:00:00,629.64,618.3203
2016-10-31 21:00:00,631.3499999999999,626.15814
2016-10-31 22:00:00,604.6199999999999,588.23083
2016-10-31 23:00:00,555.1199999999999,531.05804
2016-11-01 00:00:00,492.75,461.9096
2016-11-01 01:00:00,447.48,426.43506
2016-11-01 02:00:00,427.05,394.36807
2016-11-01 03:00:00,409.95000000000005,383.32248
2016-11-01 04:00:00,409.4099999999999,378.91122
2016-11-01 05:00:00,427.14000000000004,393.00598
2016-11-01 06:00:00,468.80999999999995,434.5418
2016-11-01 07:00:00,544.4100000000001,506.32834
2016-11-01 08:00:00,516.78,505.06494
2016-11-01 09:00:00,456.12000000000006,456.3639
2016-11-01 10:00:00,430.46999999999997,420.75412
2016-11-01 11:00:00,408.96000000000004,429.7834
2016-11-01 12:00:00,404.1,420.99557
2016-11-01 13:00:00,401.03999999999996,422.93024
2016-11-01 14:00:00,403.74000000000007,414.41742
2016-11-01 15:00:00,403.92,435.97443
2016-11-01 16:00:00,424.98,424.36493
2016-11-01 17:00:00,510.21000000000004,484.42722
2016-11-01 18:00:00,616.05,553.88684
2016-11-01 19:00:00,650.6099999999999,603.6304
2016-11-01 20:00:00,651.51,617.97577
2016-11-01 21:00:00,637.38,605.0609
2016-11-01 22:00:00,608.76,580.2541
2016-11-01 23:00:00,555.39,526.22516
2016-11-02 00:00:00,499.32000000000005,476.08182
2016-11-02 01:00:00,449.73,431.3444
2016-11-02 02:00:00,422.55,397.43866
2016-11-02 03:00:00,414.09,389.5551
2016-11-02 04:00:00,416.07000000000005,378.6637
2016-11-02 05:00:00,433.26,389.61
2016-11-02 06:00:00,470.7,438.41357
2016-11-02 07:00:00,554.22,513.1059
2016-11-02 08:00:00,528.57,505.23373
2016-11-02 09:00:00,460.35,469.6085
2016-11-02 10:00:00,426.51,439.27255
2016-11-02 11:00:00,415.26,440.0253
2016-11-02 12:00:00,413.28000000000003,443.7189
2016-11-02 13:00:00,404.73,439.40363
2016-11-02 14:00:00,400.77,428.81546
2016-11-02 15:00:00,408.06,443.5747
2016-11-02 16:00:00,429.47999999999996,457.11734
2016-11-02 17:00:00,499.14,497.74265
2016-11-02 18:00:00,600.1199999999999,561.44366
2016-11-02 19:00:00,625.86,609.39264
2016-11-02 20:00:00,631.53,631.7722
2016-11-02 21:00:00,627.8399999999999,617.9283
2016-11-02 22:00:00,602.37,586.9882
2016-11-02 23:00:00,558.0899999999999,542.00397
2016-11-03 00:00:00,497.96999999999997,487.62634
2016-11-03 01:00:00,460.17,440.33688
2016-11-03 02:00:00,431.73,403.40305
2016-11-03 03:00:00,424.7100000000001,395.21484
2016-11-03 04:00:00,421.38,384.33856
2016-11-03 05:00:00,441.99,392.30966
2016-11-03 06:00:00,474.39,444.22424
2016-11-03 07:00:00,554.22,518.8153
2016-11-03 08:00:00,526.59,514.1953
2016-11-03 09:00:00,451.89,480.1628
2016-11-03 10:00:00,422.82000000000005,444.97012
2016-11-03 11:00:00,410.58000000000004,448.11383
2016-11-03 12:00:00,409.67999999999995,452.574
2016-11-03 13:00:00,398.34000000000003,444.88147
2016-11-03 14:00:00,399.3299999999999,441.12997
2016-11-03 15:00:00,401.31,452.19427
2016-11-03 16:00:00,419.13000000000005,462.61295
2016-11-03 17:00:00,490.86,508.76086
2016-11-03 18:00:00,598.6800000000001,574.3066
2016-11-03 19:00:00,627.57,627.6987
2016-11-03 20:00:00,636.3,641.9873
2016-11-03 21:00:00,631.98,633.83044
2016-11-03 22:00:00,603.63,603.6317
2016-11-03 23:00:00,560.4300000000001,551.43024
2016-11-04 00:00:00,498.06,486.18625
2016-11-04 01:00:00,453.6900000000001,438.74667
2016-11-04 02:00:00,427.40999999999997,401.8726
2016-11-04 03:00:00,416.34000000000003,393.88147
2016-11-04 04:00:00,416.61,383.09207
2016-11-04 05:00:00,439.91999999999996,391.56076
2016-11-04 06:00:00,471.6,443.5793
2016-11-04 07:00:00,557.1899999999999,517.7633
2016-11-04 08:00:00,537.03,512.9588
2016-11-04 09:00:00,469.62,478.46393
2016-11-04 10:00:00,432.63,442.87314
2016-11-04 11:00:00,404.64000000000004,446.38025
2016-11-04 12:00:00,395.1,450.4994
2016-11-04 13:00:00,392.31,442.44992
2016-11-04 14:00:00,393.84,439.5752
2016-11-04 15:00:00,402.65999999999997,449.95987
2016-11-04 16:00:00,430.83000000000004,460.14835
2016-11-04 17:00:00,488.07000000000005,506.66724
2016-11-04 18:00:00,572.04,571.6942
2016-11-04 19:00:00,603.54,625.6473
2016-11-04 20:00:00,612.27,639.43854
2016-11-04 21:00:00,607.05,631.3315
2016-11-04 22:00:00,603.27,600.97473
2016-11-04 23:00:00,561.15,548.9735
2016-11-05 00:00:00,507.51,484.05325
2016-11-05 01:00:00,462.42,436.40668
2016-11-05 02:00:00,432.99,399.86435
2016-11-05 03:00:00,423.36,392.0097
2016-11-05 04:00:00,420.92999999999995,381.39142
2016-11-05 05:00:00,427.59000000000003,390.24445
2016-11-05 06:00:00,450.54,442.77664
2016-11-05 07:00:00,488.15999999999997,516.0499
2016-11-05 08:00:00,515.07,511.00375
2016-11-05 09:00:00,520.02,476.28946
2016-11-05 10:00:00,486.54,440.85312
2016-11-05 11:00:00,479.61,444.04083
2016-11-05 12:00:00,470.97,447.8481
2016-11-05 13:00:00,456.84,439.2482
2016-11-05 14:00:00,438.3,438.14548
2016-11-05 15:00:00,446.58000000000004,446.5442
2016-11-05 16:00:00,459.98999999999995,456.84628
2016-11-05 17:00:00,503.01,503.69772
2016-11-05 18:00:00,579.78,567.7493
2016-11-05 19:00:00,587.25,622.4674
2016-11-05 20:00:00,594.0,634.8182
2016-11-05 21:00:00,599.58,627.647
2016-11-05 22:00:00,595.3499999999999,597.1754
2016-11-05 23:00:00,561.96,545.8969
2016-11-06 00:00:00,501.39000000000004,492.8874
2016-11-06 01:00:00,459.63,442.691
2016-11-06 02:00:00,427.40999999999997,406.70517
2016-11-06 03:00:00,409.59,389.95837
2016-11-06 04:00:00,406.89,375.4738
2016-11-06 05:00:00,415.26,380.24734
2016-11-06 06:00:00,428.49,436.9269
