,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,,,,,,,0.142,0.149,0.149,,,0.173,0.145,0.14300000000000002,0.15,0.18,,,0.16899999999999998,0.214,0.14800000000000002,0.183,0.223,,,0.183,0.151,0.146,0.145,0.142,,,0.138,0.145,0.156,0.14400000000000002,0.175,,,,,,,,,,,0.13,0.184,0.168,0.162,,,0.18600000000000005,0.159,0.171,0.155,0.156,,
1,,,,,,0.453,,0.451,0.484,,,0.649,0.542,0.467,0.503,0.617,,,0.593,0.602,0.57,0.524,0.623,,,0.522,0.514,0.501,0.565,0.634,,,0.585,0.438,0.419,0.5529999999999999,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.257,0.199,,0.198,,,0.241,0.238,0.211,0.215,0.239,,,0.227,0.201,0.233,0.218,0.205,,,0.229,0.196,0.208,0.19,0.24,,,0.23,0.21600000000000005,0.229,0.207,0.207,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.187,0.14300000000000002,,,,0.199,0.182,0.17600000000000002,0.17800000000000002,0.256,,,0.223,0.226,0.14300000000000002,0.262,0.16,,,0.237,0.15,0.175,0.209,0.218,,,0.154,0.163,0.161,0.16699999999999998,0.193,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,0.462,,,,,,0.377,0.6659999999999999,,,,,,0.701,0.389,,,,,,0.244,0.374,,,,,,0.415,0.426,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.214,0.236,0.211,0.197,,,0.229,0.212,,0.211,0.239,,,0.238,,0.25,0.226,0.254,,,0.213,0.195,0.18600000000000005,0.183,0.208,,,0.219,0.18600000000000005,0.246,0.255,0.204,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.723,0.315,0.298,,,0.331,0.245,0.292,,0.256,,,0.328,0.269,0.314,0.257,0.21600000000000005,,,0.297,0.2,0.259,,0.28800000000000003,,,0.336,0.252,0.3720000000000001,0.274,0.326,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,0.179,0.215,,,,,,0.214,,,,,,,0.237,0.224,,,,,,0.244,0.212,,,,,,0.2,0.142,0.214,0.257,0.236,0.13699999999999998,0.226,0.256,0.31,0.24,,,,,,,,,,,,,
8,,,,,,0.495,0.507,0.638,0.544,,,0.562,0.522,0.556,0.573,0.6609999999999999,,,0.696,0.574,0.429,,0.596,,,0.6890000000000001,1.469,0.5720000000000001,0.7090000000000001,0.399,,,0.855,0.557,0.464,0.461,0.413,,,,,,,,,,,0.5489999999999999,0.569,0.979,0.718,,,,,,,,,
9,,,,,,,,,,0.177,0.195,,,,,,0.14800000000000002,0.14400000000000002,,,,,,0.187,,,,,,,0.163,0.16899999999999998,,,,,,0.153,0.14,0.17800000000000002,0.13699999999999998,0.175,0.121,0.189,0.17800000000000002,0.131,0.201,,,,,0.12,0.21,,,,,,,
