,true,pred
2016-10-28 00:00:00,487.61999999999995,467.66364
2016-10-28 01:00:00,438.12,416.87042
2016-10-28 02:00:00,413.64000000000004,394.0931
2016-10-28 03:00:00,398.78999999999996,381.50882
2016-10-28 04:00:00,397.25999999999993,380.09412
2016-10-28 05:00:00,416.15999999999997,396.85242
2016-10-28 06:00:00,451.44,436.46613
2016-10-28 07:00:00,547.47,513.52423
2016-10-28 08:00:00,538.74,499.92493
2016-10-28 09:00:00,471.87,464.54514
2016-10-28 10:00:00,439.38,432.62817
2016-10-28 11:00:00,424.89,425.18707
2016-10-28 12:00:00,425.34,421.06885
2016-10-28 13:00:00,424.7100000000001,419.48877
2016-10-28 14:00:00,423.45000000000005,415.87497
2016-10-28 15:00:00,432.18,425.7796
2016-10-28 16:00:00,458.36999999999995,437.18008
2016-10-28 17:00:00,500.76,486.53424
2016-10-28 18:00:00,580.5,551.27203
2016-10-28 19:00:00,604.17,596.5099
2016-10-28 20:00:00,612.27,611.5687
2016-10-28 21:00:00,613.98,601.6669
2016-10-28 22:00:00,605.2500000000001,578.49023
2016-10-28 23:00:00,553.77,536.5304
2016-10-29 00:00:00,494.46,473.993
2016-10-29 01:00:00,449.72999999999996,421.6247
2016-10-29 02:00:00,422.28000000000003,397.8899
2016-10-29 03:00:00,409.23,384.67798
2016-10-29 04:00:00,408.24000000000007,383.08148
2016-10-29 05:00:00,419.58000000000004,400.3686
2016-10-29 06:00:00,436.40999999999997,440.72424
2016-10-29 07:00:00,482.49,518.0536
2016-10-29 08:00:00,523.8,504.0415
2016-10-29 09:00:00,520.56,469.10495
2016-10-29 10:00:00,499.59,436.92905
2016-10-29 11:00:00,493.47,429.37845
2016-10-29 12:00:00,477.18,424.7176
2016-10-29 13:00:00,467.19,424.92868
2016-10-29 14:00:00,457.02000000000004,420.41333
2016-10-29 15:00:00,453.33,430.05133
2016-10-29 16:00:00,476.18999999999994,443.39062
2016-10-29 17:00:00,526.32,491.2973
2016-10-29 18:00:00,581.49,557.31665
2016-10-29 19:00:00,597.51,603.96356
2016-10-29 20:00:00,609.0300000000001,619.5896
2016-10-29 21:00:00,612.72,610.2433
2016-10-29 22:00:00,594.81,585.48346
2016-10-29 23:00:00,553.6800000000001,544.1931
2016-10-30 00:00:00,494.64,473.41318
2016-10-30 01:00:00,454.23,425.7779
2016-10-30 02:00:00,428.76,402.291
2016-10-30 03:00:00,409.14,389.6044
2016-10-30 04:00:00,403.47,384.26245
2016-10-30 05:00:00,412.65000000000003,408.3293
2016-10-30 06:00:00,428.49,434.7579
2016-10-30 07:00:00,465.12,502.59235
2016-10-30 08:00:00,506.7,502.5563
2016-10-30 09:00:00,528.48,485.0794
2016-10-30 10:00:00,508.14,459.39563
2016-10-30 11:00:00,482.76000000000005,461.9759
2016-10-30 12:00:00,477.44999999999993,454.11337
2016-10-30 13:00:00,463.41,454.13434
2016-10-30 14:00:00,457.10999999999996,443.9118
2016-10-30 15:00:00,457.11,462.26138
2016-10-30 16:00:00,476.37,461.1943
2016-10-30 17:00:00,540.81,516.95386
2016-10-30 18:00:00,611.9100000000001,574.07245
2016-10-30 19:00:00,630.09,631.5488
2016-10-30 20:00:00,640.53,627.05786
2016-10-30 21:00:00,642.69,625.661
2016-10-30 22:00:00,620.28,603.159
2016-10-30 23:00:00,554.4000000000001,548.9257
2016-10-31 00:00:00,491.58,462.08652
2016-10-31 01:00:00,446.31,410.16388
2016-10-31 02:00:00,413.73,394.19235
2016-10-31 03:00:00,399.87,378.207
2016-10-31 04:00:00,399.78000000000003,372.81256
2016-10-31 05:00:00,416.15999999999997,396.44806
2016-10-31 06:00:00,452.70000000000005,422.61926
2016-10-31 07:00:00,531.6299999999999,495.2425
2016-10-31 08:00:00,520.29,493.44022
2016-10-31 09:00:00,467.64,468.2882
2016-10-31 10:00:00,446.84999999999997,447.04776
2016-10-31 11:00:00,427.95,446.66156
2016-10-31 12:00:00,430.46999999999997,434.51
2016-10-31 13:00:00,427.68,440.28723
2016-10-31 14:00:00,420.30000000000007,432.20374
2016-10-31 15:00:00,415.16999999999996,445.2556
2016-10-31 16:00:00,437.31,445.5044
2016-10-31 17:00:00,500.66999999999996,497.20886
2016-10-31 18:00:00,600.48,561.1664
2016-10-31 19:00:00,630.45,611.19495
2016-10-31 20:00:00,629.64,613.3821
2016-10-31 21:00:00,631.3499999999999,604.07947
2016-10-31 22:00:00,604.6199999999999,587.46436
2016-10-31 23:00:00,555.1199999999999,532.5705
2016-11-01 00:00:00,492.75,461.53458
2016-11-01 01:00:00,447.48,408.16
2016-11-01 02:00:00,427.05,390.3021
2016-11-01 03:00:00,409.95000000000005,375.09564
2016-11-01 04:00:00,409.4099999999999,374.45566
2016-11-01 05:00:00,427.14000000000004,390.12
2016-11-01 06:00:00,468.80999999999995,430.872
2016-11-01 07:00:00,544.4100000000001,510.3222
2016-11-01 08:00:00,516.78,495.7619
2016-11-01 09:00:00,456.12000000000006,455.27023
2016-11-01 10:00:00,430.46999999999997,424.5676
2016-11-01 11:00:00,408.96000000000004,415.10782
2016-11-01 12:00:00,404.1,410.12323
2016-11-01 13:00:00,401.03999999999996,411.6637
2016-11-01 14:00:00,403.74000000000007,409.6329
2016-11-01 15:00:00,403.92,415.42523
2016-11-01 16:00:00,424.98,427.93695
2016-11-01 17:00:00,510.21000000000004,476.2726
2016-11-01 18:00:00,616.05,544.165
2016-11-01 19:00:00,650.6099999999999,585.64374
2016-11-01 20:00:00,651.51,605.84247
2016-11-01 21:00:00,637.38,590.5657
2016-11-01 22:00:00,608.76,570.5017
2016-11-01 23:00:00,555.39,529.87506
2016-11-02 00:00:00,499.32000000000005,489.22272
2016-11-02 01:00:00,449.73,425.8324
2016-11-02 02:00:00,422.55,412.9349
2016-11-02 03:00:00,414.09,393.39352
2016-11-02 04:00:00,416.07000000000005,389.28052
2016-11-02 05:00:00,433.26,402.4813
2016-11-02 06:00:00,470.7,433.5255
2016-11-02 07:00:00,554.22,513.9115
2016-11-02 08:00:00,528.57,502.94223
2016-11-02 09:00:00,460.35,482.44574
2016-11-02 10:00:00,426.51,459.52466
2016-11-02 11:00:00,415.26,453.0016
2016-11-02 12:00:00,413.28000000000003,441.2433
2016-11-02 13:00:00,404.73,443.91287
2016-11-02 14:00:00,400.77,443.99243
2016-11-02 15:00:00,408.06,448.59952
2016-11-02 16:00:00,429.47999999999996,465.72388
2016-11-02 17:00:00,499.14,499.917
2016-11-02 18:00:00,600.1199999999999,573.93414
2016-11-02 19:00:00,625.86,617.06885
2016-11-02 20:00:00,631.53,632.7845
2016-11-02 21:00:00,627.8399999999999,623.8968
2016-11-02 22:00:00,602.37,598.77704
2016-11-02 23:00:00,558.0899999999999,547.1652
2016-11-03 00:00:00,497.96999999999997,496.23557
2016-11-03 01:00:00,460.17,433.60352
2016-11-03 02:00:00,431.73,419.5855
2016-11-03 03:00:00,424.7100000000001,399.5014
2016-11-03 04:00:00,421.38,398.96017
2016-11-03 05:00:00,441.99,410.46063
2016-11-03 06:00:00,474.39,439.03424
2016-11-03 07:00:00,554.22,517.6623
2016-11-03 08:00:00,526.59,511.09058
2016-11-03 09:00:00,451.89,489.7077
2016-11-03 10:00:00,422.82000000000005,469.73566
2016-11-03 11:00:00,410.58000000000004,462.35434
2016-11-03 12:00:00,409.67999999999995,452.82477
2016-11-03 13:00:00,398.34000000000003,457.46982
2016-11-03 14:00:00,399.3299999999999,452.63818
2016-11-03 15:00:00,401.31,463.8956
2016-11-03 16:00:00,419.13000000000005,474.33917
2016-11-03 17:00:00,490.86,517.8308
2016-11-03 18:00:00,598.6800000000001,587.66144
2016-11-03 19:00:00,627.57,634.64716
2016-11-03 20:00:00,636.3,648.25116
2016-11-03 21:00:00,631.98,639.5398
2016-11-03 22:00:00,603.63,607.37
2016-11-03 23:00:00,560.4300000000001,563.1749
2016-11-04 00:00:00,498.06,493.49066
2016-11-04 01:00:00,453.6900000000001,431.814
2016-11-04 02:00:00,427.40999999999997,417.56256
2016-11-04 03:00:00,416.34000000000003,398.02805
2016-11-04 04:00:00,416.61,397.56107
2016-11-04 05:00:00,439.91999999999996,409.23196
2016-11-04 06:00:00,471.6,438.01013
2016-11-04 07:00:00,557.1899999999999,516.2463
2016-11-04 08:00:00,537.03,509.7509
2016-11-04 09:00:00,469.62,487.6589
2016-11-04 10:00:00,432.63,467.27618
2016-11-04 11:00:00,404.64000000000004,459.79932
2016-11-04 12:00:00,395.1,450.76477
2016-11-04 13:00:00,392.31,454.74847
2016-11-04 14:00:00,393.84,449.90002
2016-11-04 15:00:00,402.65999999999997,461.80127
2016-11-04 16:00:00,430.83000000000004,471.42703
2016-11-04 17:00:00,488.07000000000005,515.9931
2016-11-04 18:00:00,572.04,584.9433
2016-11-04 19:00:00,603.54,631.97675
2016-11-04 20:00:00,612.27,645.2671
2016-11-04 21:00:00,607.05,636.25226
2016-11-04 22:00:00,603.27,604.44653
2016-11-04 23:00:00,561.15,560.7215
2016-11-05 00:00:00,507.51,489.81345
2016-11-05 01:00:00,462.42,429.27
2016-11-05 02:00:00,432.99,414.71616
2016-11-05 03:00:00,423.36,395.76804
2016-11-05 04:00:00,420.92999999999995,395.89743
2016-11-05 05:00:00,427.59000000000003,407.6853
2016-11-05 06:00:00,450.54,436.64346
2016-11-05 07:00:00,488.15999999999997,514.7673
2016-11-05 08:00:00,515.07,507.9099
2016-11-05 09:00:00,520.02,484.9965
2016-11-05 10:00:00,486.54,463.82147
2016-11-05 11:00:00,479.61,456.60037
2016-11-05 12:00:00,470.97,447.87488
2016-11-05 13:00:00,456.84,451.15622
2016-11-05 14:00:00,438.3,446.36053
2016-11-05 15:00:00,446.58000000000004,458.56287
2016-11-05 16:00:00,459.98999999999995,467.3475
2016-11-05 17:00:00,503.01,513.3659
2016-11-05 18:00:00,579.78,581.0461
2016-11-05 19:00:00,587.25,627.8945
2016-11-05 20:00:00,594.0,640.37006
2016-11-05 21:00:00,599.58,631.4947
2016-11-05 22:00:00,595.3499999999999,600.16144
2016-11-05 23:00:00,561.96,556.814
2016-11-06 00:00:00,501.39000000000004,486.23593
2016-11-06 01:00:00,459.63,426.18274
2016-11-06 02:00:00,427.40999999999997,417.27954
2016-11-06 03:00:00,409.59,394.10132
2016-11-06 04:00:00,406.89,395.437
2016-11-06 05:00:00,415.26,407.31424
2016-11-06 06:00:00,428.49,426.67517
2016-11-06 07:00:00,470.52,489.9593
2016-11-06 08:00:00,519.3,505.1314
2016-11-06 09:00:00,532.3499999999999,498.87973
2016-11-06 10:00:00,515.43,478.6369
2016-11-06 11:00:00,495.17999999999995,481.41168
2016-11-06 12:00:00,478.61999999999995,469.21194
2016-11-06 13:00:00,467.54999999999995,472.46478
2016-11-06 14:00:00,449.46,462.97324
2016-11-06 15:00:00,453.24,481.36356
2016-11-06 16:00:00,480.68999999999994,479.33807
2016-11-06 17:00:00,545.76,534.2563
2016-11-06 18:00:00,625.6800000000001,590.96155
2016-11-06 19:00:00,643.0499999999998,643.99713
2016-11-06 20:00:00,649.5299999999999,637.9293
2016-11-06 21:00:00,641.0699999999999,634.5615
2016-11-06 22:00:00,610.8299999999999,609.3688
2016-11-06 23:00:00,563.3999999999999,551.42584
2016-11-07 00:00:00,499.6799999999999,481.84964
2016-11-07 01:00:00,455.85,416.65466
2016-11-07 02:00:00,428.67,412.2877
2016-11-07 03:00:00,411.92999999999995,385.23755
2016-11-07 04:00:00,407.52,383.95084
2016-11-07 05:00:00,420.6599999999999,397.28693
2016-11-07 06:00:00,463.59,419.20462
2016-11-07 07:00:00,543.0600000000001,487.74463
2016-11-07 08:00:00,519.57,499.325
2016-11-07 09:00:00,465.12,486.8309
2016-11-07 10:00:00,427.68,468.50345
2016-11-07 11:00:00,414.36,469.20648
2016-11-07 12:00:00,409.32,452.0188
2016-11-07 13:00:00,400.23,459.7051
2016-11-07 14:00:00,401.76,454.64346
2016-11-07 15:00:00,406.08,464.82062
2016-11-07 16:00:00,437.85,469.4921
2016-11-07 17:00:00,515.88,512.85
2016-11-07 18:00:00,601.92,580.07153
2016-11-07 19:00:00,630.45,627.4868
2016-11-07 20:00:00,634.8599999999999,628.94635
2016-11-07 21:00:00,630.0899999999999,618.249
2016-11-07 22:00:00,605.79,600.3736
2016-11-07 23:00:00,560.16,539.4453
2016-11-08 00:00:00,492.39000000000004,478.39072
2016-11-08 01:00:00,449.90999999999997,415.5962
2016-11-08 02:00:00,426.51,406.34286
2016-11-08 03:00:00,413.64,384.9397
2016-11-08 04:00:00,412.47,383.50787
2016-11-08 05:00:00,429.03,395.74857
2016-11-08 06:00:00,468.45000000000005,427.0112
2016-11-08 07:00:00,543.33,509.5848
2016-11-08 08:00:00,538.2,499.07785
2016-11-08 09:00:00,477.53999999999996,469.7884
2016-11-08 10:00:00,439.29,448.5135
2016-11-08 11:00:00,414.98999999999995,439.70667
2016-11-08 12:00:00,405.90000000000003,428.9237
2016-11-08 13:00:00,399.69,433.85538
2016-11-08 14:00:00,399.15000000000003,433.7246
2016-11-08 15:00:00,407.25,438.17523
2016-11-08 16:00:00,425.15999999999997,450.8547
2016-11-08 17:00:00,507.24,491.23526
2016-11-08 18:00:00,620.5500000000001,564.7347
2016-11-08 19:00:00,647.37,605.59143
2016-11-08 20:00:00,650.6099999999999,625.0199
2016-11-08 21:00:00,648.36,609.62305
2016-11-08 22:00:00,615.51,585.20044
2016-11-08 23:00:00,563.13,540.1484
2016-11-09 00:00:00,495.72,492.54507
2016-11-09 01:00:00,451.17,431.3216
2016-11-09 02:00:00,429.75,415.29648
2016-11-09 03:00:00,416.61,396.5237
2016-11-09 04:00:00,413.82000000000005,394.86957
2016-11-09 05:00:00,433.89,409.09622
2016-11-09 06:00:00,482.13,439.1322
2016-11-09 07:00:00,557.19,519.1292
2016-11-09 08:00:00,536.1300000000001,510.14484
2016-11-09 09:00:00,465.84,485.25958
2016-11-09 10:00:00,426.23999999999995,463.3898
2016-11-09 11:00:00,422.19,455.81927
2016-11-09 12:00:00,416.42999999999995,446.8761
2016-11-09 13:00:00,405.18,451.5498
2016-11-09 14:00:00,402.3,447.05243
2016-11-09 15:00:00,404.55,457.38962
2016-11-09 16:00:00,431.55000000000007,469.3734
2016-11-09 17:00:00,516.06,512.9313
2016-11-09 18:00:00,609.12,583.4214
2016-11-09 19:00:00,638.2799999999999,629.9123
2016-11-09 20:00:00,641.61,644.93665
2016-11-09 21:00:00,642.51,635.8664
2016-11-09 22:00:00,610.56,605.3699
2016-11-09 23:00:00,566.19,561.478
2016-11-10 00:00:00,501.93,492.829
2016-11-10 01:00:00,460.71,432.71896
2016-11-10 02:00:00,433.62000000000006,415.3774
2016-11-10 03:00:00,419.75999999999993,397.4872
2016-11-10 04:00:00,423.45,396.03516
2016-11-10 05:00:00,441.81000000000006,410.7098
2016-11-10 06:00:00,477.71999999999997,440.53424
2016-11-10 07:00:00,560.07,519.4428
2016-11-10 08:00:00,539.1899999999999,511.3532
2016-11-10 09:00:00,465.75,486.7362
2016-11-10 10:00:00,434.7900000000001,464.0607
2016-11-10 11:00:00,425.25,456.64233
2016-11-10 12:00:00,416.79,448.9752
2016-11-10 13:00:00,419.03999999999996,452.6799
2016-11-10 14:00:00,420.21000000000004,447.78827
2016-11-10 15:00:00,438.3,459.75345
2016-11-10 16:00:00,470.42999999999995,470.6281
2016-11-10 17:00:00,531.63,515.7799
2016-11-10 18:00:00,615.3299999999999,584.5368
2016-11-10 19:00:00,634.32,632.73944
2016-11-10 20:00:00,644.58,646.3711
2016-11-10 21:00:00,639.72,637.794
2016-11-10 22:00:00,614.25,606.1303
2016-11-10 23:00:00,578.25,563.34094
2016-11-11 00:00:00,505.53,498.6193
2016-11-11 01:00:00,454.86,437.3941
2016-11-11 02:00:00,435.78,419.0613
2016-11-11 03:00:00,414.45000000000005,400.69315
2016-11-11 04:00:00,420.48,398.554
2016-11-11 05:00:00,436.68,414.17627
2016-11-11 06:00:00,479.7,444.17236
2016-11-11 07:00:00,557.73,523.50793
2016-11-11 08:00:00,535.14,515.2582
2016-11-11 09:00:00,460.35,490.74905
2016-11-11 10:00:00,421.56,468.1026
2016-11-11 11:00:00,410.48999999999995,460.6319
2016-11-11 12:00:00,405.54,452.9487
2016-11-11 13:00:00,394.38,457.8637
2016-11-11 14:00:00,391.05,452.68018
2016-11-11 15:00:00,400.41,463.91547
2016-11-11 16:00:00,420.92999999999995,476.8453
2016-11-11 17:00:00,482.13,520.34937
2016-11-11 18:00:00,578.6099999999999,590.515
2016-11-11 19:00:00,603.09,639.5578
2016-11-11 20:00:00,621.8999999999999,654.2098
2016-11-11 21:00:00,611.55,645.9533
2016-11-11 22:00:00,599.13,613.4374
2016-11-11 23:00:00,560.79,570.6986
2016-11-12 00:00:00,509.31,484.5105
2016-11-12 01:00:00,459.09000000000003,427.5355
2016-11-12 02:00:00,433.62000000000006,409.24448
2016-11-12 03:00:00,424.7100000000001,393.24908
2016-11-12 04:00:00,426.23999999999995,393.16898
2016-11-12 05:00:00,437.48999999999995,407.98868
2016-11-12 06:00:00,459.45,437.9426
2016-11-12 07:00:00,499.94999999999993,515.2464
2016-11-12 08:00:00,531.9,507.37573
2016-11-12 09:00:00,526.59,482.0043
2016-11-12 10:00:00,503.82,457.18027
2016-11-12 11:00:00,483.66,450.20987
2016-11-12 12:00:00,479.5199999999999,444.1907
2016-11-12 13:00:00,464.58,445.40295
2016-11-12 14:00:00,451.44,440.3501
2016-11-12 15:00:00,446.49,454.7805
2016-11-12 16:00:00,471.24,462.25058
2016-11-12 17:00:00,538.11,511.66556
2016-11-12 18:00:00,582.21,576.4445
2016-11-12 19:00:00,592.38,625.38916
2016-11-12 20:00:00,598.77,636.1618
2016-11-12 21:00:00,603.36,628.13055
2016-11-12 22:00:00,589.23,596.45447
2016-11-12 23:00:00,551.25,555.19714
2016-11-13 00:00:00,498.7799999999999,485.41058
2016-11-13 01:00:00,460.26000000000005,428.75897
2016-11-13 02:00:00,430.91999999999996,415.08453
2016-11-13 03:00:00,412.83,395.0483
2016-11-13 04:00:00,410.2200000000001,393.61725
2016-11-13 05:00:00,421.20000000000005,410.6221
2016-11-13 06:00:00,438.47999999999996,430.13934
2016-11-13 07:00:00,471.6,495.5431
2016-11-13 08:00:00,510.48,506.80945
2016-11-13 09:00:00,533.52,497.5785
2016-11-13 10:00:00,512.82,476.3135
2016-11-13 11:00:00,497.88,479.22763
2016-11-13 12:00:00,495.90000000000003,468.9836
2016-11-13 13:00:00,494.00999999999993,471.01913
2016-11-13 14:00:00,493.2,461.75888
2016-11-13 15:00:00,477.71999999999997,480.10083
2016-11-13 16:00:00,503.7300000000001,478.6791
2016-11-13 17:00:00,561.5999999999999,534.2151
2016-11-13 18:00:00,629.01,591.1079
2016-11-13 19:00:00,649.62,645.82526
2016-11-13 20:00:00,661.95,640.616
2016-11-13 21:00:00,657.45,638.0596
2016-11-13 22:00:00,626.4,612.8902
2016-11-13 23:00:00,562.41,556.15
2016-11-14 00:00:00,502.65000000000003,482.44147
2016-11-14 01:00:00,459.0,420.0215
2016-11-14 02:00:00,437.22,411.46475
2016-11-14 03:00:00,415.89000000000004,387.43286
2016-11-14 04:00:00,416.34000000000003,383.2152
2016-11-14 05:00:00,428.49,401.5354
2016-11-14 06:00:00,466.38,423.12918
2016-11-14 07:00:00,546.3,493.83188
2016-11-14 08:00:00,531.63,501.9014
2016-11-14 09:00:00,473.40000000000003,486.62555
2016-11-14 10:00:00,446.94000000000005,468.2449
2016-11-14 11:00:00,439.02,468.44336
