,true,pred
2016-10-28 00:00:00,245.97,250.99481
2016-10-28 01:00:00,214.28999999999996,212.27016
2016-10-28 02:00:00,192.06,200.43536
2016-10-28 03:00:00,183.60000000000002,190.11325
2016-10-28 04:00:00,184.86,180.51793
2016-10-28 05:00:00,193.67999999999998,189.79816
2016-10-28 06:00:00,229.95000000000002,225.26347
2016-10-28 07:00:00,300.6,276.68256
2016-10-28 08:00:00,299.42999999999995,260.58945
2016-10-28 09:00:00,269.46000000000004,246.536
2016-10-28 10:00:00,247.14000000000001,234.84152
2016-10-28 11:00:00,230.85,228.53471
2016-10-28 12:00:00,220.68000000000004,221.01904
2016-10-28 13:00:00,213.3,218.68036
2016-10-28 14:00:00,208.17000000000002,213.00784
2016-10-28 15:00:00,208.8,215.74272
2016-10-28 16:00:00,218.16,228.30623
2016-10-28 17:00:00,258.75,253.11728
2016-10-28 18:00:00,336.51,290.3726
2016-10-28 19:00:00,348.92999999999995,329.10782
2016-10-28 20:00:00,358.92,346.06335
2016-10-28 21:00:00,354.6,361.6234
2016-10-28 22:00:00,339.75,342.25504
2016-10-28 23:00:00,302.31,297.55576
2016-10-29 00:00:00,262.44,252.58347
2016-10-29 01:00:00,225.72,213.18295
2016-10-29 02:00:00,204.83999999999997,201.38019
2016-10-29 03:00:00,193.05,191.00388
2016-10-29 04:00:00,188.82,181.40451
2016-10-29 05:00:00,195.93,190.44847
2016-10-29 06:00:00,213.39,226.12485
2016-10-29 07:00:00,250.47,277.38388
2016-10-29 08:00:00,271.26,261.9002
2016-10-29 09:00:00,269.73,247.86752
2016-10-29 10:00:00,262.26,236.0282
2016-10-29 11:00:00,246.68999999999997,229.77866
2016-10-29 12:00:00,236.61,222.49759
2016-10-29 13:00:00,232.2,220.18367
2016-10-29 14:00:00,224.45999999999995,214.30084
2016-10-29 15:00:00,215.73000000000002,217.30518
2016-10-29 16:00:00,224.54999999999998,229.48407
2016-10-29 17:00:00,257.4,255.35774
2016-10-29 18:00:00,321.84000000000003,292.3559
2016-10-29 19:00:00,330.65999999999997,331.49326
2016-10-29 20:00:00,350.90999999999997,348.83502
2016-10-29 21:00:00,363.05999999999995,363.94424
2016-10-29 22:00:00,340.11,344.62076
2016-10-29 23:00:00,301.14,299.7654
2016-10-30 00:00:00,258.39,251.91481
2016-10-30 01:00:00,225.18,219.44672
2016-10-30 02:00:00,204.39000000000004,202.69339
2016-10-30 03:00:00,192.87,194.8037
2016-10-30 04:00:00,190.62,184.9466
2016-10-30 05:00:00,194.39999999999998,189.01697
2016-10-30 06:00:00,206.91,223.27167
2016-10-30 07:00:00,238.76999999999998,266.02817
2016-10-30 08:00:00,260.28,252.0028
2016-10-30 09:00:00,264.24,254.11375
2016-10-30 10:00:00,253.17,245.80183
2016-10-30 11:00:00,238.50000000000003,237.141
2016-10-30 12:00:00,230.67,231.10612
2016-10-30 13:00:00,222.02999999999994,221.49467
