,true,pred
2016-10-28 00:00:00,438.39000000000004,424.00845
2016-10-28 01:00:00,379.62,369.55856
2016-10-28 02:00:00,354.33,337.64206
2016-10-28 03:00:00,352.35,325.49445
2016-10-28 04:00:00,340.38,316.98883
2016-10-28 05:00:00,345.78,320.63892
2016-10-28 06:00:00,406.17,391.7228
2016-10-28 07:00:00,544.68,517.2743
2016-10-28 08:00:00,527.9399999999999,488.07748
2016-10-28 09:00:00,469.26000000000005,454.46085
2016-10-28 10:00:00,428.76000000000005,438.66956
2016-10-28 11:00:00,422.91,415.53253
2016-10-28 12:00:00,402.65999999999997,424.51242
2016-10-28 13:00:00,399.42,410.77496
2016-10-28 14:00:00,415.5300000000001,404.34897
2016-10-28 15:00:00,407.25,416.00266
2016-10-28 16:00:00,428.13,428.37595
2016-10-28 17:00:00,497.7,481.7981
2016-10-28 18:00:00,581.49,545.0957
2016-10-28 19:00:00,578.43,596.16486
2016-10-28 20:00:00,613.8,583.2574
2016-10-28 21:00:00,604.98,592.3132
2016-10-28 22:00:00,593.19,554.682
2016-10-28 23:00:00,515.79,491.8013
2016-10-29 00:00:00,470.87999999999994,429.1357
2016-10-29 01:00:00,399.33000000000004,373.91495
2016-10-29 02:00:00,361.61999999999995,341.28098
2016-10-29 03:00:00,352.44,328.08173
2016-10-29 04:00:00,344.15999999999997,318.34073
2016-10-29 05:00:00,345.33,322.78146
2016-10-29 06:00:00,395.7300000000001,395.11377
2016-10-29 07:00:00,440.73,520.3498
2016-10-29 08:00:00,496.08000000000004,492.13617
2016-10-29 09:00:00,494.9100000000001,459.85583
2016-10-29 10:00:00,498.95999999999987,444.18454
2016-10-29 11:00:00,466.2,421.38748
2016-10-29 12:00:00,454.77,428.99612
2016-10-29 13:00:00,434.25,416.75443
2016-10-29 14:00:00,437.21999999999997,409.449
2016-10-29 15:00:00,428.76000000000005,423.07962
2016-10-29 16:00:00,457.83000000000004,435.10605
2016-10-29 17:00:00,504.7200000000001,488.24976
2016-10-29 18:00:00,571.86,552.5056
2016-10-29 19:00:00,567.18,603.65625
2016-10-29 20:00:00,590.04,590.27563
2016-10-29 21:00:00,582.75,600.2644
2016-10-29 22:00:00,559.8,561.34906
2016-10-29 23:00:00,502.55999999999995,497.12512
2016-10-30 00:00:00,455.6700000000001,447.03897
2016-10-30 01:00:00,403.92,372.13742
2016-10-30 02:00:00,361.17,353.90604
2016-10-30 03:00:00,345.42,330.2133
2016-10-30 04:00:00,342.09,321.84604
2016-10-30 05:00:00,349.56,327.54465
2016-10-30 06:00:00,366.3,391.7017
2016-10-30 07:00:00,428.21999999999997,495.44202
2016-10-30 08:00:00,497.78999999999996,481.06607
2016-10-30 09:00:00,504.0,471.1996
2016-10-30 10:00:00,506.97,473.44843
2016-10-30 11:00:00,488.88000000000005,439.61926
2016-10-30 12:00:00,458.01000000000005,467.54895
2016-10-30 13:00:00,460.8,444.0958
2016-10-30 14:00:00,440.00999999999993,432.94177
2016-10-30 15:00:00,434.24999999999994,435.2072
2016-10-30 16:00:00,473.67,465.44553
2016-10-30 17:00:00,525.4200000000001,514.2565
2016-10-30 18:00:00,611.82,584.95654
2016-10-30 19:00:00,628.2900000000001,635.4179
2016-10-30 20:00:00,645.03,615.0285
2016-10-30 21:00:00,644.85,621.7834
2016-10-30 22:00:00,588.51,563.8285
2016-10-30 23:00:00,501.66,501.28195
2016-10-31 00:00:00,434.3399999999999,439.1365
2016-10-31 01:00:00,378.80999999999995,367.23233
2016-10-31 02:00:00,360.45,343.1782
2016-10-31 03:00:00,344.79,325.25977
2016-10-31 04:00:00,346.59000000000003,317.63812
2016-10-31 05:00:00,351.99,329.0073
2016-10-31 06:00:00,435.96000000000004,387.34747
2016-10-31 07:00:00,540.0899999999999,491.449
2016-10-31 08:00:00,527.13,482.24548
2016-10-31 09:00:00,467.28,464.91245
2016-10-31 10:00:00,433.89,460.52536
2016-10-31 11:00:00,415.6199999999999,431.52145
2016-10-31 12:00:00,417.87000000000006,451.0268
2016-10-31 13:00:00,405.7200000000001,441.15686
2016-10-31 14:00:00,406.08,420.06485
2016-10-31 15:00:00,400.59000000000003,424.27756
2016-10-31 16:00:00,424.1699999999999,456.5087
2016-10-31 17:00:00,498.24,506.2325
2016-10-31 18:00:00,569.25,571.95056
2016-10-31 19:00:00,637.2,618.9147
2016-10-31 20:00:00,626.94,605.24023
2016-10-31 21:00:00,616.5899999999999,612.4499
2016-10-31 22:00:00,586.71,560.0877
2016-10-31 23:00:00,504.7200000000001,491.7553
2016-11-01 00:00:00,442.62,420.83057
2016-11-01 01:00:00,396.71999999999997,367.97357
2016-11-01 02:00:00,362.70000000000005,330.10217
2016-11-01 03:00:00,348.84000000000003,320.35977
2016-11-01 04:00:00,348.93,313.0815
2016-11-01 05:00:00,358.11,323.20087
2016-11-01 06:00:00,431.90999999999997,390.53375
2016-11-01 07:00:00,545.6700000000001,516.31274
2016-11-01 08:00:00,512.64,488.09082
2016-11-01 09:00:00,436.6799999999999,450.08893
2016-11-01 10:00:00,430.37999999999994,429.94095
2016-11-01 11:00:00,398.33999999999986,410.54062
2016-11-01 12:00:00,389.07,413.0273
2016-11-01 13:00:00,381.50999999999993,408.00095
2016-11-01 14:00:00,376.74000000000007,392.70648
2016-11-01 15:00:00,400.95000000000005,407.88083
2016-11-01 16:00:00,415.34999999999997,421.73837
2016-11-01 17:00:00,479.24999999999994,476.3645
2016-11-01 18:00:00,580.86,537.1159
2016-11-01 19:00:00,617.3100000000001,585.5728
2016-11-01 20:00:00,666.36,575.4623
2016-11-01 21:00:00,623.7,586.32336
2016-11-01 22:00:00,594.8100000000001,552.1282
2016-11-01 23:00:00,528.48,485.74246
2016-11-02 00:00:00,452.61,420.3062
2016-11-02 01:00:00,386.82000000000005,369.55823
2016-11-02 02:00:00,368.46000000000004,344.3741
2016-11-02 03:00:00,355.14000000000004,336.2814
2016-11-02 04:00:00,355.32,322.16238
2016-11-02 05:00:00,379.44,325.29382
2016-11-02 06:00:00,428.93999999999994,379.23114
2016-11-02 07:00:00,546.03,500.37875
2016-11-02 08:00:00,507.59999999999997,487.82483
2016-11-02 09:00:00,462.06,461.07733
2016-11-02 10:00:00,411.48,447.02835
2016-11-02 11:00:00,398.16,423.02023
2016-11-02 12:00:00,374.94,427.80075
2016-11-02 13:00:00,388.44000000000005,426.16983
2016-11-02 14:00:00,390.33,431.18295
2016-11-02 15:00:00,399.86999999999995,436.9961
2016-11-02 16:00:00,406.62000000000006,454.5556
2016-11-02 17:00:00,484.38,488.8811
2016-11-02 18:00:00,590.49,550.50476
2016-11-02 19:00:00,623.6999999999999,599.39343
2016-11-02 20:00:00,635.22,597.99384
2016-11-02 21:00:00,620.5500000000001,604.669
2016-11-02 22:00:00,588.87,562.5265
2016-11-02 23:00:00,514.7099999999999,487.6439
2016-11-03 00:00:00,447.75,428.88055
2016-11-03 01:00:00,396.99000000000007,378.90244
2016-11-03 02:00:00,369.72,350.33087
2016-11-03 03:00:00,362.52,338.64597
2016-11-03 04:00:00,360.09000000000003,327.3108
2016-11-03 05:00:00,367.74000000000007,334.24084
2016-11-03 06:00:00,422.1,387.3637
2016-11-03 07:00:00,554.04,505.3936
2016-11-03 08:00:00,511.46999999999997,493.35617
2016-11-03 09:00:00,445.59000000000003,470.2048
2016-11-03 10:00:00,418.77000000000004,459.74744
2016-11-03 11:00:00,381.24,435.40787
2016-11-03 12:00:00,375.39,441.99567
2016-11-03 13:00:00,399.96,432.15112
2016-11-03 14:00:00,379.53000000000003,438.63165
2016-11-03 15:00:00,391.0500000000001,446.8037
2016-11-03 16:00:00,426.96,464.4314
2016-11-03 17:00:00,475.65,497.92368
2016-11-03 18:00:00,577.62,565.8994
2016-11-03 19:00:00,613.8,616.5033
2016-11-03 20:00:00,636.93,613.26624
2016-11-03 21:00:00,643.5,619.8298
2016-11-03 22:00:00,591.21,569.067
2016-11-03 23:00:00,515.34,502.02658
2016-11-04 00:00:00,463.59000000000003,427.1039
2016-11-04 01:00:00,397.98,377.41068
2016-11-04 02:00:00,369.09000000000003,348.71368
2016-11-04 03:00:00,354.96000000000004,337.3552
2016-11-04 04:00:00,351.27,326.25275
2016-11-04 05:00:00,366.21000000000004,332.9436
2016-11-04 06:00:00,427.95,387.18008
2016-11-04 07:00:00,547.2,505.58752
2016-11-04 08:00:00,529.74,492.48837
2016-11-04 09:00:00,439.83000000000004,468.31348
2016-11-04 10:00:00,421.11,457.84793
2016-11-04 11:00:00,374.8500000000001,433.33472
2016-11-04 12:00:00,393.12,440.15317
2016-11-04 13:00:00,376.2,429.73746
2016-11-04 14:00:00,395.82000000000005,435.87274
2016-11-04 15:00:00,393.3,443.7355
2016-11-04 16:00:00,422.28,461.43347
2016-11-04 17:00:00,469.17,495.81833
2016-11-04 18:00:00,559.89,563.54474
2016-11-04 19:00:00,594.0,614.2627
2016-11-04 20:00:00,609.66,610.33044
2016-11-04 21:00:00,591.93,617.1401
2016-11-04 22:00:00,600.9300000000001,566.8262
2016-11-04 23:00:00,532.0799999999999,500.6607
2016-11-05 00:00:00,461.24999999999994,425.57764
2016-11-05 01:00:00,406.53,375.61594
2016-11-05 02:00:00,379.26,347.58414
2016-11-05 03:00:00,371.78999999999996,335.82462
2016-11-05 04:00:00,367.91999999999996,325.2739
2016-11-05 05:00:00,367.29,331.0766
2016-11-05 06:00:00,404.73,386.73862
2016-11-05 07:00:00,475.74,505.31824
2016-11-05 08:00:00,508.85999999999996,490.10614
2016-11-05 09:00:00,511.28999999999996,465.7683
2016-11-05 10:00:00,489.05999999999995,455.8727
2016-11-05 11:00:00,470.69999999999993,430.81268
2016-11-05 12:00:00,455.6700000000001,439.31396
2016-11-05 13:00:00,435.6,426.4806
2016-11-05 14:00:00,435.1500000000001,433.11832
2016-11-05 15:00:00,413.55,440.57275
2016-11-05 16:00:00,454.86,457.83835
2016-11-05 17:00:00,507.06000000000006,492.98962
2016-11-05 18:00:00,561.4200000000001,561.0949
2016-11-05 19:00:00,565.92,612.0724
2016-11-05 20:00:00,582.75,606.66
2016-11-05 21:00:00,586.1700000000001,613.6302
2016-11-05 22:00:00,557.01,563.6703
2016-11-05 23:00:00,510.48,498.91235
2016-11-06 00:00:00,460.44,450.59967
2016-11-06 01:00:00,401.03999999999996,376.4005
2016-11-06 02:00:00,372.9599999999999,357.24292
2016-11-06 03:00:00,356.76,333.94608
2016-11-06 04:00:00,351.27,328.89545
2016-11-06 05:00:00,348.3,337.20282
2016-11-06 06:00:00,392.3999999999999,387.11453
2016-11-06 07:00:00,445.32,486.59598
2016-11-06 08:00:00,486.53999999999996,486.28946
2016-11-06 09:00:00,493.38,478.89133
2016-11-06 10:00:00,514.8000000000001,487.6137
2016-11-06 11:00:00,467.54999999999995,448.54904
2016-11-06 12:00:00,479.43000000000006,482.63406
2016-11-06 13:00:00,448.91999999999996,454.92795
2016-11-06 14:00:00,442.71000000000004,455.74765
2016-11-06 15:00:00,468.71999999999997,457.4521
2016-11-06 16:00:00,455.13,484.91986
2016-11-06 17:00:00,562.23,522.52783
2016-11-06 18:00:00,614.07,596.3286
2016-11-06 19:00:00,638.01,650.079
2016-11-06 20:00:00,653.94,633.36365
2016-11-06 21:00:00,634.23,639.35876
2016-11-06 22:00:00,593.28,574.39874
2016-11-06 23:00:00,510.39000000000004,509.16333
2016-11-07 00:00:00,467.46,438.66397
2016-11-07 01:00:00,397.89000000000004,369.36118
2016-11-07 02:00:00,376.11000000000007,342.94296
2016-11-07 03:00:00,361.62,327.51343
2016-11-07 04:00:00,359.91,323.3011
2016-11-07 05:00:00,381.15000000000003,337.3951
2016-11-07 06:00:00,426.05999999999995,381.4267
2016-11-07 07:00:00,562.41,482.6254
2016-11-07 08:00:00,517.9499999999999,488.29733
2016-11-07 09:00:00,464.94,469.95456
2016-11-07 10:00:00,431.18999999999994,471.46143
2016-11-07 11:00:00,410.13,437.53577
2016-11-07 12:00:00,405.99,461.57187
2016-11-07 13:00:00,409.59000000000003,450.53635
2016-11-07 14:00:00,385.02,439.8018
2016-11-07 15:00:00,409.85999999999996,442.63995
2016-11-07 16:00:00,438.29999999999995,472.66962
2016-11-07 17:00:00,493.83,511.6621
2016-11-07 18:00:00,613.3499999999999,579.48846
2016-11-07 19:00:00,620.73,630.1206
2016-11-07 20:00:00,633.78,620.58154
2016-11-07 21:00:00,640.1700000000001,626.9775
2016-11-07 22:00:00,585.54,569.1878
2016-11-07 23:00:00,522.09,497.70834
2016-11-08 00:00:00,448.47,417.7483
2016-11-08 01:00:00,389.96999999999997,371.34137
2016-11-08 02:00:00,377.19000000000005,335.43658
2016-11-08 03:00:00,358.38,329.02087
2016-11-08 04:00:00,355.32000000000005,319.5465
