,true,pred
2016-10-28 00:00:00,306.36,315.83582
2016-10-28 01:00:00,264.96,272.44565
2016-10-28 02:00:00,245.88,247.92188
2016-10-28 03:00:00,234.71999999999997,235.13402
2016-10-28 04:00:00,230.22,232.89742
2016-10-28 05:00:00,239.22,242.9523
2016-10-28 06:00:00,286.74,281.7336
2016-10-28 07:00:00,359.91,350.59802
2016-10-28 08:00:00,352.26,343.27377
2016-10-28 09:00:00,315.09,315.32806
2016-10-28 10:00:00,290.07,294.14423
2016-10-28 11:00:00,275.94,286.82126
2016-10-28 12:00:00,277.29,283.05573
2016-10-28 13:00:00,275.03999999999996,277.4572
2016-10-28 14:00:00,270.99,278.88718
2016-10-28 15:00:00,267.75,283.80975
2016-10-28 16:00:00,275.31,290.62125
2016-10-28 17:00:00,315.09,316.13556
2016-10-28 18:00:00,390.41999999999996,365.81842
2016-10-28 19:00:00,407.52,394.7058
2016-10-28 20:00:00,408.59999999999997,413.62378
2016-10-28 21:00:00,407.7,413.2307
2016-10-28 22:00:00,401.66999999999996,396.47263
2016-10-28 23:00:00,373.95,367.07172
2016-10-29 00:00:00,325.08000000000004,319.37167
2016-10-29 01:00:00,278.01,275.15186
2016-10-29 02:00:00,251.64,250.28458
2016-10-29 03:00:00,239.40000000000003,237.03429
2016-10-29 04:00:00,235.53000000000003,234.59114
2016-10-29 05:00:00,241.02,244.30156
2016-10-29 06:00:00,259.38,283.11496
2016-10-29 07:00:00,301.86,352.46304
2016-10-29 08:00:00,336.96,346.35974
2016-10-29 09:00:00,349.74,318.795
2016-10-29 10:00:00,328.14,297.89313
2016-10-29 11:00:00,309.6,290.32578
2016-10-29 12:00:00,303.48,287.0322
2016-10-29 13:00:00,296.01,282.30945
2016-10-29 14:00:00,288.27,283.0037
2016-10-29 15:00:00,286.83000000000004,287.9342
2016-10-29 16:00:00,290.16,295.0997
2016-10-29 17:00:00,323.90999999999997,319.6127
2016-10-29 18:00:00,378.36,370.64172
2016-10-29 19:00:00,384.12,400.51407
2016-10-29 20:00:00,390.6,419.5475
2016-10-29 21:00:00,400.5,419.19302
2016-10-29 22:00:00,392.13,402.16373
2016-10-29 23:00:00,358.83,371.33914
2016-10-30 00:00:00,317.7,329.97113
2016-10-30 01:00:00,274.41,283.94147
2016-10-30 02:00:00,248.85,263.05524
2016-10-30 03:00:00,239.22000000000003,244.35445
2016-10-30 04:00:00,230.76000000000002,239.26425
2016-10-30 05:00:00,237.60000000000005,250.143
2016-10-30 06:00:00,251.64,277.26877
2016-10-30 07:00:00,283.86,340.322
2016-10-30 08:00:00,329.30999999999995,347.40646
2016-10-30 09:00:00,350.37,338.25854
2016-10-30 10:00:00,346.14,321.88135
2016-10-30 11:00:00,331.56,316.79364
2016-10-30 12:00:00,309.87,317.78223
2016-10-30 13:00:00,294.03,301.4115
2016-10-30 14:00:00,288.54,310.1664
2016-10-30 15:00:00,283.68,308.20288
2016-10-30 16:00:00,298.08000000000004,319.7276
2016-10-30 17:00:00,348.48,343.35678
2016-10-30 18:00:00,411.47999999999996,386.3385
2016-10-30 19:00:00,432.81000000000006,418.59772
2016-10-30 20:00:00,432.53999999999996,441.008
2016-10-30 21:00:00,429.6600000000001,436.48788
2016-10-30 22:00:00,390.96000000000004,418.42596
2016-10-30 23:00:00,352.17,382.4458
2016-10-31 00:00:00,307.34999999999997,315.4178
2016-10-31 01:00:00,261.54,274.92157
2016-10-31 02:00:00,240.30000000000004,254.46243
2016-10-31 03:00:00,234.54000000000005,237.38779
2016-10-31 04:00:00,230.13,233.45287
2016-10-31 05:00:00,240.39000000000001,245.93083
2016-10-31 06:00:00,291.69,279.88785
2016-10-31 07:00:00,373.86,339.44403
2016-10-31 08:00:00,357.21000000000004,342.54333
2016-10-31 09:00:00,328.05,327.04156
2016-10-31 10:00:00,289.26,313.10345
2016-10-31 11:00:00,273.96,306.86545
2016-10-31 12:00:00,276.93,304.7862
2016-10-31 13:00:00,274.77,289.17874
2016-10-31 14:00:00,264.51,299.9601
2016-10-31 15:00:00,262.98,294.3128
2016-10-31 16:00:00,274.14,303.0561
2016-10-31 17:00:00,313.11,330.47348
2016-10-31 18:00:00,392.49,374.4764
2016-10-31 19:00:00,403.56,406.797
2016-10-31 20:00:00,426.9600000000001,432.1178
2016-10-31 21:00:00,425.60999999999996,425.27185
2016-10-31 22:00:00,405.72,404.04736
2016-10-31 23:00:00,359.82,371.56116
2016-11-01 00:00:00,305.01,308.19916
2016-11-01 01:00:00,266.0457040395455,267.6396
2016-11-01 02:00:00,246.69,243.79942
2016-11-01 03:00:00,237.41999999999996,231.3956
2016-11-01 04:00:00,236.06999999999996,229.63586
2016-11-01 05:00:00,240.21,240.01604
2016-11-01 06:00:00,289.44,282.99484
2016-11-01 07:00:00,361.62000000000006,352.02582
2016-11-01 08:00:00,336.51,341.47943
2016-11-01 09:00:00,301.32,308.7815
2016-11-01 10:00:00,270.63,290.99768
2016-11-01 11:00:00,266.40000000000003,281.63657
2016-11-01 12:00:00,271.35,276.635
2016-11-01 13:00:00,259.38,271.50107
2016-11-01 14:00:00,253.07999999999998,275.13693
2016-11-01 15:00:00,251.46,277.26575
2016-11-01 16:00:00,262.8,284.15018
2016-11-01 17:00:00,322.2,309.73022
2016-11-01 18:00:00,392.31,360.0859
2016-11-01 19:00:00,421.65,388.45306
2016-11-01 20:00:00,433.7999999999999,410.87488
2016-11-01 21:00:00,430.83000000000004,408.4334
2016-11-01 22:00:00,414.36,389.0848
2016-11-01 23:00:00,360.90000000000003,365.25485
2016-11-02 00:00:00,315.27,315.88455
2016-11-02 01:00:00,266.94,274.1393
2016-11-02 02:00:00,248.22000000000003,248.34412
2016-11-02 03:00:00,243.53999999999996,240.76115
2016-11-02 04:00:00,237.87,236.43924
2016-11-02 05:00:00,245.70000000000002,247.00926
2016-11-02 06:00:00,299.61,285.63358
2016-11-02 07:00:00,369.27,342.36823
2016-11-02 08:00:00,341.54999999999995,339.20108
2016-11-02 09:00:00,303.12,317.41046
2016-11-02 10:00:00,276.39,297.17892
2016-11-02 11:00:00,260.19,297.21918
2016-11-02 12:00:00,257.66999999999996,283.68326
2016-11-02 13:00:00,255.33,288.37314
2016-11-02 14:00:00,259.38,285.20825
2016-11-02 15:00:00,256.05,290.22147
2016-11-02 16:00:00,267.84,291.93323
2016-11-02 17:00:00,314.90999999999997,324.51
2016-11-02 18:00:00,384.21000000000004,364.57825
2016-11-02 19:00:00,412.29,395.00806
2016-11-02 20:00:00,424.62000000000006,411.63086
2016-11-02 21:00:00,422.19,419.2403
2016-11-02 22:00:00,400.05,394.64163
2016-11-02 23:00:00,365.49,361.52435
2016-11-03 00:00:00,311.22,318.58838
2016-11-03 01:00:00,269.55,272.5317
2016-11-03 02:00:00,249.3,247.70494
2016-11-03 03:00:00,241.38000000000002,242.1939
2016-11-03 04:00:00,236.88000000000002,236.10403
2016-11-03 05:00:00,249.57000000000002,246.2215
2016-11-03 06:00:00,294.84,286.75635
2016-11-03 07:00:00,364.32,343.13983
