,true,pred
2016-10-28 00:00:00,12.66,15.854674
2016-10-28 01:00:00,13.87,12.401426
2016-10-28 02:00:00,11.59,12.105394
2016-10-28 03:00:00,10.53,12.284986
2016-10-28 04:00:00,10.66,12.071809
2016-10-28 05:00:00,10.850000000000001,12.545688
2016-10-28 06:00:00,12.29,12.719169
2016-10-28 07:00:00,14.850000000000001,15.597366
2016-10-28 08:00:00,28.960000000000004,24.941648
2016-10-28 09:00:00,45.56,36.634888
2016-10-28 10:00:00,48.76,45.474697
2016-10-28 11:00:00,52.79999999999999,51.91363
2016-10-28 12:00:00,51.760000000000005,51.365543
2016-10-28 13:00:00,49.419999999999995,50.908638
2016-10-28 14:00:00,51.54,55.93215
2016-10-28 15:00:00,53.25,53.9978
2016-10-28 16:00:00,53.49,54.621254
2016-10-28 17:00:00,53.18,54.621456
2016-10-28 18:00:00,50.489999999999995,54.41915
2016-10-28 19:00:00,46.42,48.531082
2016-10-28 20:00:00,37.39,44.090343
2016-10-28 21:00:00,26.43,31.168554
2016-10-28 22:00:00,23.1,23.52696
2016-10-28 23:00:00,19.7,18.721066
2016-10-29 00:00:00,16.400000000000002,16.07418
2016-10-29 01:00:00,13.280000000000001,12.797789
2016-10-29 02:00:00,14.219999999999999,12.335698
2016-10-29 03:00:00,10.75,12.292102
2016-10-29 04:00:00,10.34,11.851134
2016-10-29 05:00:00,10.87,12.56445
2016-10-29 06:00:00,11.86,12.878452
2016-10-29 07:00:00,13.57,15.853555
2016-10-29 08:00:00,26.83,25.717257
2016-10-29 09:00:00,51.53,37.78748
2016-10-29 10:00:00,51.07,46.311
2016-10-29 11:00:00,55.51,53.218216
2016-10-29 12:00:00,54.04,52.25963
2016-10-29 13:00:00,52.73,52.20364
2016-10-29 14:00:00,52.19,57.12534
2016-10-29 15:00:00,52.42,54.963966
2016-10-29 16:00:00,49.61,55.92571
2016-10-29 17:00:00,50.45,56.120777
2016-10-29 18:00:00,50.519999999999996,55.551952
2016-10-29 19:00:00,45.370000000000005,49.400642
2016-10-29 20:00:00,39.88,45.046307
2016-10-29 21:00:00,29.520000000000003,31.84741
2016-10-29 22:00:00,24.199999999999996,23.98765
2016-10-29 23:00:00,21.64,18.861374
2016-10-30 00:00:00,14.14,12.888406
2016-10-30 01:00:00,12.559999999999999,14.555136
2016-10-30 02:00:00,11.95,10.141521
2016-10-30 03:00:00,11.07,11.887126
2016-10-30 04:00:00,9.87,10.44369
2016-10-30 05:00:00,10.709999999999999,11.607091
2016-10-30 06:00:00,12.18,11.406383
2016-10-30 07:00:00,13.850000000000001,15.703835
2016-10-30 08:00:00,17.92,20.556923
2016-10-30 09:00:00,32.089999999999996,27.541979
2016-10-30 10:00:00,39.95,33.05586
2016-10-30 11:00:00,41.37,38.98055
2016-10-30 12:00:00,43.42,41.310455
2016-10-30 13:00:00,46.269999999999996,40.20656
2016-10-30 14:00:00,44.339999999999996,44.778706
2016-10-30 15:00:00,44.29,43.342506
2016-10-30 16:00:00,43.65,44.793774
2016-10-30 17:00:00,46.349999999999994,44.363968
2016-10-30 18:00:00,46.56000000000001,44.613758
2016-10-30 19:00:00,45.74,41.199738
2016-10-30 20:00:00,37.540000000000006,36.97671
2016-10-30 21:00:00,25.65,26.086937
2016-10-30 22:00:00,17.720000000000002,22.846773
2016-10-30 23:00:00,16.94,20.091658
2016-10-31 00:00:00,13.05,13.194873
2016-10-31 01:00:00,13.059999999999999,14.296008
2016-10-31 02:00:00,11.62,10.377577
2016-10-31 03:00:00,10.87,12.157645
2016-10-31 04:00:00,10.82,10.319613
2016-10-31 05:00:00,10.37,11.872767
2016-10-31 06:00:00,11.74,11.123432
2016-10-31 07:00:00,15.469999999999999,15.304293
2016-10-31 08:00:00,24.87,21.123837
2016-10-31 09:00:00,33.519999999999996,29.21236
2016-10-31 10:00:00,37.89,34.767723
2016-10-31 11:00:00,39.98,40.82932
2016-10-31 12:00:00,36.97,42.378002
2016-10-31 13:00:00,30.619999999999997,41.391506
2016-10-31 14:00:00,37.31,46.022686
2016-10-31 15:00:00,36.06999999999999,44.626366
2016-10-31 16:00:00,35.42,45.95986
2016-10-31 17:00:00,37.61,45.95962
2016-10-31 18:00:00,38.38,45.795406
2016-10-31 19:00:00,34.809999999999995,42.580097
2016-10-31 20:00:00,27.51,38.33045
2016-10-31 21:00:00,22.1,26.182005
2016-10-31 22:00:00,21.25,23.313318
2016-10-31 23:00:00,18.490000000000002,20.061357
2016-11-01 00:00:00,14.24,15.800821
2016-11-01 01:00:00,13.33,11.252235
2016-11-01 02:00:00,11.900000000000002,11.974868
2016-11-01 03:00:00,10.38,12.826905
2016-11-01 04:00:00,10.799999999999999,12.656298
2016-11-01 05:00:00,10.31,12.831918
2016-11-01 06:00:00,11.79,12.026596
2016-11-01 07:00:00,13.29,14.974615
2016-11-01 08:00:00,33.02,24.823378
2016-11-01 09:00:00,51.0,37.170784
2016-11-01 10:00:00,59.989999999999995,46.604004
2016-11-01 11:00:00,55.54,52.596165
2016-11-01 12:00:00,55.08,52.01804
2016-11-01 13:00:00,51.72,51.167763
2016-11-01 14:00:00,57.86,56.39285
2016-11-01 15:00:00,50.8,54.51473
2016-11-01 16:00:00,65.09,54.598083
2016-11-01 17:00:00,61.39,54.61618
2016-11-01 18:00:00,54.15,54.381386
2016-11-01 19:00:00,51.16,49.133007
2016-11-01 20:00:00,45.239999999999995,44.4978
2016-11-01 21:00:00,27.889999999999997,30.82967
2016-11-01 22:00:00,21.599999999999998,23.688082
2016-11-01 23:00:00,18.84,18.851614
2016-11-02 00:00:00,12.520000000000001,17.405878
2016-11-02 01:00:00,13.060000000000002,12.9650755
2016-11-02 02:00:00,11.07,13.964145
2016-11-02 03:00:00,10.899999999999999,11.898759
2016-11-02 04:00:00,10.0,10.945306
2016-11-02 05:00:00,10.440000000000001,13.170044
2016-11-02 06:00:00,11.81,14.102818
2016-11-02 07:00:00,14.14,15.849186
2016-11-02 08:00:00,30.11,27.447872
2016-11-02 09:00:00,60.07,40.926308
2016-11-02 10:00:00,56.3,48.871803
2016-11-02 11:00:00,51.89,56.816185
2016-11-02 12:00:00,52.95,56.03611
2016-11-02 13:00:00,55.68,55.38149
2016-11-02 14:00:00,53.379999999999995,58.543007
2016-11-02 15:00:00,56.3,58.390293
2016-11-02 16:00:00,53.7,59.867146
2016-11-02 17:00:00,56.72,58.717106
2016-11-02 18:00:00,52.260000000000005,58.839863
2016-11-02 19:00:00,45.05,51.16833
2016-11-02 20:00:00,47.28,46.00752
2016-11-02 21:00:00,29.4,33.338215
2016-11-02 22:00:00,21.95,24.458914
2016-11-02 23:00:00,18.919999999999998,19.305351
2016-11-03 00:00:00,13.97,17.691662
2016-11-03 01:00:00,11.819999999999999,11.766266
2016-11-03 02:00:00,11.459999999999999,13.026864
2016-11-03 03:00:00,9.68,11.959363
2016-11-03 04:00:00,10.11,12.721861
2016-11-03 05:00:00,10.13,12.642875
2016-11-03 06:00:00,11.36,13.74819
