,true,pred
2016-10-28 00:00:00,79.71,69.03332
2016-10-28 01:00:00,68.17,65.946
2016-10-28 02:00:00,65.59,60.08615
2016-10-28 03:00:00,58.53,63.544548
2016-10-28 04:00:00,57.559999999999995,59.435993
2016-10-28 05:00:00,54.98,60.27399
2016-10-28 06:00:00,54.97,59.667088
2016-10-28 07:00:00,81.58000000000003,80.01861
2016-10-28 08:00:00,84.93000000000002,75.654236
2016-10-28 09:00:00,117.94,101.9685
2016-10-28 10:00:00,143.71,116.284676
2016-10-28 11:00:00,138.35,138.22763
2016-10-28 12:00:00,133.52,128.85545
2016-10-28 13:00:00,129.64,129.7618
2016-10-28 14:00:00,140.55,130.32964
2016-10-28 15:00:00,133.21,137.73096
2016-10-28 16:00:00,130.4,137.01527
2016-10-28 17:00:00,137.60000000000002,129.76341
2016-10-28 18:00:00,133.2,133.64018
2016-10-28 19:00:00,124.89000000000001,130.27647
2016-10-28 20:00:00,123.25999999999998,125.67664
2016-10-28 21:00:00,109.32,104.77285
2016-10-28 22:00:00,103.69,99.298836
2016-10-28 23:00:00,91.97999999999999,83.927895
2016-10-29 00:00:00,73.66,69.42124
2016-10-29 01:00:00,60.96,66.394745
2016-10-29 02:00:00,57.39,61.072296
2016-10-29 03:00:00,56.230000000000004,63.72318
2016-10-29 04:00:00,54.89,60.280148
2016-10-29 05:00:00,53.1,59.950077
2016-10-29 06:00:00,69.08,60.03766
2016-10-29 07:00:00,70.28,80.907585
2016-10-29 08:00:00,78.80000000000001,77.00901
2016-10-29 09:00:00,102.14,104.022804
2016-10-29 10:00:00,114.63000000000001,118.683846
2016-10-29 11:00:00,111.36,138.966
2016-10-29 12:00:00,106.45,130.21019
2016-10-29 13:00:00,110.40999999999998,131.25768
2016-10-29 14:00:00,118.22999999999999,131.55687
2016-10-29 15:00:00,105.37,139.64594
2016-10-29 16:00:00,102.82000000000001,138.21591
2016-10-29 17:00:00,113.53999999999999,132.42221
2016-10-29 18:00:00,114.99000000000001,134.759
2016-10-29 19:00:00,112.07,132.05807
2016-10-29 20:00:00,114.19,126.98143
2016-10-29 21:00:00,109.08,105.35946
2016-10-29 22:00:00,105.80000000000001,99.60601
2016-10-29 23:00:00,95.62,84.94176
2016-10-30 00:00:00,76.0,67.52365
2016-10-30 01:00:00,66.35000000000001,57.955494
2016-10-30 02:00:00,64.12,49.49536
