,true,pred
2016-10-28 00:00:00,68.36,64.26614
2016-10-28 01:00:00,70.78,57.165916
2016-10-28 02:00:00,68.04,65.97743
2016-10-28 03:00:00,64.55,52.45625
2016-10-28 04:00:00,64.36,58.975327
2016-10-28 05:00:00,62.85000000000001,65.937515
2016-10-28 06:00:00,68.51,58.862244
2016-10-28 07:00:00,81.50000000000001,80.036644
2016-10-28 08:00:00,123.63000000000001,101.537445
2016-10-28 09:00:00,222.92000000000004,202.05397
2016-10-28 10:00:00,255.64000000000001,226.34955
2016-10-28 11:00:00,255.31000000000003,240.57797
2016-10-28 12:00:00,255.12,225.1804
2016-10-28 13:00:00,237.15999999999997,221.58311
2016-10-28 14:00:00,245.48,221.7974
2016-10-28 15:00:00,254.23000000000005,227.94412
2016-10-28 16:00:00,261.36,243.85306
2016-10-28 17:00:00,266.05,231.89598
2016-10-28 18:00:00,239.30000000000004,210.34142
2016-10-28 19:00:00,197.6,185.49228
2016-10-28 20:00:00,179.75,163.23491
2016-10-28 21:00:00,148.32999999999998,145.02898
2016-10-28 22:00:00,97.09,79.578636
2016-10-28 23:00:00,78.79999999999998,73.15953
2016-10-29 00:00:00,72.9,64.64076
2016-10-29 01:00:00,70.63,58.11555
2016-10-29 02:00:00,67.53,65.63803
2016-10-29 03:00:00,63.5,52.91157
2016-10-29 04:00:00,63.17999999999999,58.225834
2016-10-29 05:00:00,59.449999999999996,66.2332
2016-10-29 06:00:00,68.62,59.610588
2016-10-29 07:00:00,75.92,80.09336
2016-10-29 08:00:00,110.91,104.157524
2016-10-29 09:00:00,194.79000000000002,207.4013
2016-10-29 10:00:00,237.60000000000002,232.15572
2016-10-29 11:00:00,236.33,246.3115
2016-10-29 12:00:00,239.01,231.34511
2016-10-29 13:00:00,233.39000000000001,227.10208
2016-10-29 14:00:00,224.61,227.7522
2016-10-29 15:00:00,207.58,233.28185
2016-10-29 16:00:00,182.66000000000003,247.80615
2016-10-29 17:00:00,165.32,237.24797
2016-10-29 18:00:00,175.57999999999998,214.35216
2016-10-29 19:00:00,170.5,188.27483
2016-10-29 20:00:00,151.85,164.71342
2016-10-29 21:00:00,141.19,146.78072
2016-10-29 22:00:00,92.42,81.29091
2016-10-29 23:00:00,70.2,73.246376
2016-10-30 00:00:00,65.24000000000001,74.945496
2016-10-30 01:00:00,63.5,63.160362
2016-10-30 02:00:00,64.91,63.68332
2016-10-30 03:00:00,63.78999999999999,49.698555
2016-10-30 04:00:00,59.5,53.799923
2016-10-30 05:00:00,57.599999999999994,63.51522
2016-10-30 06:00:00,61.230000000000004,56.36543
2016-10-30 07:00:00,72.26,56.895004
2016-10-30 08:00:00,73.47,57.55996
2016-10-30 09:00:00,113.8,131.75641
2016-10-30 10:00:00,136.7,156.75854
2016-10-30 11:00:00,137.94,159.39261
2016-10-30 12:00:00,136.98,147.12971
2016-10-30 13:00:00,141.91000000000003,161.16943
2016-10-30 14:00:00,145.32999999999998,149.9903
2016-10-30 15:00:00,146.42000000000002,173.66101
2016-10-30 16:00:00,148.9,163.55312
2016-10-30 17:00:00,146.63,183.65529
2016-10-30 18:00:00,153.94,174.08391
2016-10-30 19:00:00,152.60999999999999,160.19933
2016-10-30 20:00:00,149.47999999999996,135.24081
2016-10-30 21:00:00,132.38,129.7864
2016-10-30 22:00:00,87.07000000000001,65.979546
2016-10-30 23:00:00,73.16,70.00677
2016-10-31 00:00:00,69.69,62.266598
2016-10-31 01:00:00,64.47999999999999,61.92795
2016-10-31 02:00:00,64.22,59.494343
2016-10-31 03:00:00,63.36,55.15592
2016-10-31 04:00:00,63.11,60.835987
2016-10-31 05:00:00,63.61000000000001,77.33371
2016-10-31 06:00:00,66.53,69.26872
2016-10-31 07:00:00,82.25999999999999,80.139786
2016-10-31 08:00:00,137.71,142.17197
2016-10-31 09:00:00,234.39000000000001,257.43002
2016-10-31 10:00:00,274.57,304.27594
2016-10-31 11:00:00,279.61000000000007,305.24973
2016-10-31 12:00:00,265.1,289.01736
2016-10-31 13:00:00,260.34,289.2957
2016-10-31 14:00:00,253.42999999999998,294.77173
2016-10-31 15:00:00,250.92000000000002,295.749
2016-10-31 16:00:00,252.54,294.5476
2016-10-31 17:00:00,268.74000000000007,311.53058
2016-10-31 18:00:00,244.44000000000003,278.97104
2016-10-31 19:00:00,200.56,226.06871
2016-10-31 20:00:00,183.72000000000003,186.51265
2016-10-31 21:00:00,138.85000000000002,161.49432
2016-10-31 22:00:00,99.78,94.90484
2016-10-31 23:00:00,74.8,69.963104
2016-11-01 00:00:00,69.94,55.987473
2016-11-01 01:00:00,67.06,58.26006
2016-11-01 02:00:00,68.91,63.109947
2016-11-01 03:00:00,67.47,43.347977
2016-11-01 04:00:00,65.84,58.01514
2016-11-01 05:00:00,61.129999999999995,69.91964
2016-11-01 06:00:00,67.25,60.85464
2016-11-01 07:00:00,88.49,78.04446
2016-11-01 08:00:00,136.69,120.20025
2016-11-01 09:00:00,256.14,229.70679
2016-11-01 10:00:00,297.00000000000006,259.87323
2016-11-01 11:00:00,297.36,273.61166
2016-11-01 12:00:00,288.32,253.84636
2016-11-01 13:00:00,274.79,255.50722
2016-11-01 14:00:00,268.95,257.2151
2016-11-01 15:00:00,258.90999999999997,260.01117
2016-11-01 16:00:00,253.26000000000002,274.407
2016-11-01 17:00:00,263.27,270.22247
2016-11-01 18:00:00,241.08000000000007,244.66435
2016-11-01 19:00:00,199.83,199.79309
2016-11-01 20:00:00,186.16,170.95601
2016-11-01 21:00:00,142.70999999999998,157.54428
2016-11-01 22:00:00,99.66000000000001,89.43399
2016-11-01 23:00:00,79.7,66.54004
2016-11-02 00:00:00,77.01,68.83709
2016-11-02 01:00:00,73.8,61.45928
2016-11-02 02:00:00,74.44,61.11135
2016-11-02 03:00:00,73.55,51.131367
2016-11-02 04:00:00,74.13,65.73161
2016-11-02 05:00:00,69.73,64.98266
2016-11-02 06:00:00,79.05,69.99343
2016-11-02 07:00:00,97.06,80.85544
2016-11-02 08:00:00,154.95000000000002,136.53966
2016-11-02 09:00:00,283.5,232.18112
2016-11-02 10:00:00,306.1,277.79974
2016-11-02 11:00:00,303.18,269.60638
2016-11-02 12:00:00,288.26,268.00085
2016-11-02 13:00:00,255.46,263.93356
2016-11-02 14:00:00,251.10000000000005,269.94983
2016-11-02 15:00:00,248.36000000000004,267.43686
2016-11-02 16:00:00,251.20999999999998,258.45087
2016-11-02 17:00:00,253.34,260.6845
2016-11-02 18:00:00,230.26000000000002,229.79456
2016-11-02 19:00:00,195.49,205.3352
2016-11-02 20:00:00,178.26999999999998,174.81268
2016-11-02 21:00:00,135.29,155.703
2016-11-02 22:00:00,97.96000000000001,94.87306
2016-11-02 23:00:00,80.75000000000001,78.70178
2016-11-03 00:00:00,73.41,68.621284
2016-11-03 01:00:00,69.12,63.650753
2016-11-03 02:00:00,69.74,60.88813
2016-11-03 03:00:00,66.57,49.45848
2016-11-03 04:00:00,66.05999999999999,68.22693
2016-11-03 05:00:00,64.94,70.21344
2016-11-03 06:00:00,72.84,70.43068
2016-11-03 07:00:00,85.39,85.2718
2016-11-03 08:00:00,141.92000000000002,129.64285
2016-11-03 09:00:00,248.29,226.6979
2016-11-03 10:00:00,274.90000000000003,273.036
2016-11-03 11:00:00,273.17,265.94592
2016-11-03 12:00:00,268.39,263.76724
2016-11-03 13:00:00,260.96,255.85867
2016-11-03 14:00:00,263.15999999999997,264.1774
2016-11-03 15:00:00,262.69000000000005,261.44647
2016-11-03 16:00:00,258.84000000000003,261.0065
2016-11-03 17:00:00,266.36,252.64197
2016-11-03 18:00:00,248.58,227.28474
2016-11-03 19:00:00,202.58,200.21815
2016-11-03 20:00:00,178.84,173.39839
2016-11-03 21:00:00,147.71,152.87367
2016-11-03 22:00:00,104.14,91.13885
2016-11-03 23:00:00,77.98,82.057976
2016-11-04 00:00:00,71.67,70.04749
2016-11-04 01:00:00,67.35,63.18256
2016-11-04 02:00:00,67.4,61.378166
2016-11-04 03:00:00,68.12,51.096043
2016-11-04 04:00:00,68.11,66.790115
2016-11-04 05:00:00,63.03,69.35534
2016-11-04 06:00:00,75.1,69.23515
2016-11-04 07:00:00,93.99000000000001,83.48395
2016-11-04 08:00:00,138.10000000000002,124.32076
2016-11-04 09:00:00,265.1,218.67937
2016-11-04 10:00:00,283.17999999999995,262.7786
2016-11-04 11:00:00,279.93,258.2497
2016-11-04 12:00:00,274.72,256.40247
2016-11-04 13:00:00,253.91000000000003,248.196
2016-11-04 14:00:00,259.06,254.86284
2016-11-04 15:00:00,253.48,253.05417
2016-11-04 16:00:00,243.60999999999999,253.53314
2016-11-04 17:00:00,253.04000000000002,246.06691
2016-11-04 18:00:00,226.01000000000002,221.1726
2016-11-04 19:00:00,205.34000000000003,197.2425
2016-11-04 20:00:00,187.63,171.03496
2016-11-04 21:00:00,154.05,149.59402
2016-11-04 22:00:00,97.17,88.751564
2016-11-04 23:00:00,79.71000000000002,82.658264
2016-11-05 00:00:00,72.62,69.49754
2016-11-05 01:00:00,69.34,62.90599
2016-11-05 02:00:00,69.77000000000001,61.60294
2016-11-05 03:00:00,69.52000000000001,50.80425
2016-11-05 04:00:00,72.47,66.72243
2016-11-05 05:00:00,68.04,69.49812
2016-11-05 06:00:00,75.35,68.99377
2016-11-05 07:00:00,90.53,83.65479
2016-11-05 08:00:00,123.66,123.091545
2016-11-05 09:00:00,218.02,217.83852
2016-11-05 10:00:00,249.8,261.19522
2016-11-05 11:00:00,245.24000000000004,257.348
2016-11-05 12:00:00,252.03000000000003,254.92357
2016-11-05 13:00:00,242.25000000000003,246.52388
2016-11-05 14:00:00,231.12000000000003,253.41284
2016-11-05 15:00:00,221.68,251.84111
2016-11-05 16:00:00,177.91,253.82611
2016-11-05 17:00:00,169.16,245.19658
2016-11-05 18:00:00,172.55000000000004,220.47266
2016-11-05 19:00:00,169.16,196.47644
2016-11-05 20:00:00,159.69,170.59567
2016-11-05 21:00:00,138.2,149.284
2016-11-05 22:00:00,95.77,88.019356
2016-11-05 23:00:00,74.27000000000001,82.08147
2016-11-06 00:00:00,71.49,72.74981
2016-11-06 01:00:00,71.28,63.38609
2016-11-06 02:00:00,70.46000000000001,70.22138
2016-11-06 03:00:00,70.31,39.566956
2016-11-06 04:00:00,67.42999999999999,71.46313
2016-11-06 05:00:00,69.4,65.33316
2016-11-06 06:00:00,68.18,63.682674
2016-11-06 07:00:00,72.75999999999999,56.140884
2016-11-06 08:00:00,83.27000000000001,74.595894
2016-11-06 09:00:00,111.42,123.35413
2016-11-06 10:00:00,133.70999999999998,160.0045
2016-11-06 11:00:00,146.02,156.61592
2016-11-06 12:00:00,139.61,167.03053
2016-11-06 13:00:00,142.77,165.17642
2016-11-06 14:00:00,139.14000000000001,160.4479
2016-11-06 15:00:00,142.09,168.08076
2016-11-06 16:00:00,146.51999999999998,166.63246
2016-11-06 17:00:00,152.17,173.94908
2016-11-06 18:00:00,162.18,168.38104
