,true,pred
2016-10-28 00:00:00,141.12,163.30406
2016-10-28 01:00:00,129.35999999999999,150.65262
2016-10-28 02:00:00,117.47999999999999,138.4293
2016-10-28 03:00:00,101.75999999999999,111.55551
2016-10-28 04:00:00,99.96000000000001,112.62939
2016-10-28 05:00:00,98.52,104.15076
2016-10-28 06:00:00,103.56000000000002,111.41167
2016-10-28 07:00:00,119.40000000000002,118.22687
2016-10-28 08:00:00,160.92000000000002,153.41151
2016-10-28 09:00:00,170.04000000000002,156.60876
2016-10-28 10:00:00,180.84,175.0903
2016-10-28 11:00:00,188.04,189.28445
2016-10-28 12:00:00,183.48,186.80168
2016-10-28 13:00:00,199.08,194.45752
2016-10-28 14:00:00,196.92000000000004,192.275
2016-10-28 15:00:00,196.8,202.9329
2016-10-28 16:00:00,199.68000000000004,199.99992
2016-10-28 17:00:00,205.08,215.18756
2016-10-28 18:00:00,202.56,214.1039
2016-10-28 19:00:00,200.76,207.63144
2016-10-28 20:00:00,190.92,195.02916
2016-10-28 21:00:00,188.76000000000005,191.81114
2016-10-28 22:00:00,169.44,175.51117
2016-10-28 23:00:00,157.32,162.33723
2016-10-29 00:00:00,154.79999999999998,165.15657
2016-10-29 01:00:00,144.60000000000002,152.29156
2016-10-29 02:00:00,142.2,139.76654
2016-10-29 03:00:00,123.96000000000001,112.46675
2016-10-29 04:00:00,111.48000000000002,113.50277
2016-10-29 05:00:00,95.28000000000002,104.99198
2016-10-29 06:00:00,96.60000000000001,112.45024
2016-10-29 07:00:00,98.16,119.81744
2016-10-29 08:00:00,109.2,156.79326
2016-10-29 09:00:00,110.39999999999999,160.26169
2016-10-29 10:00:00,130.68,179.03947
2016-10-29 11:00:00,139.68,193.57564
2016-10-29 12:00:00,139.56,191.33792
2016-10-29 13:00:00,145.8,199.76831
2016-10-29 14:00:00,145.08,196.3936
2016-10-29 15:00:00,150.72,207.74008
2016-10-29 16:00:00,160.32,204.72633
2016-10-29 17:00:00,165.36,220.05197
2016-10-29 18:00:00,179.76,219.00595
2016-10-29 19:00:00,184.67999999999998,211.95056
2016-10-29 20:00:00,193.56,198.30293
2016-10-29 21:00:00,188.39999999999998,195.3712
2016-10-29 22:00:00,166.07999999999998,177.98828
2016-10-29 23:00:00,155.52,164.52754
2016-10-30 00:00:00,151.92000000000002,161.22772
2016-10-30 01:00:00,148.07999999999998,149.8005
2016-10-30 02:00:00,144.84000000000003,152.27795
2016-10-30 03:00:00,126.36000000000001,112.03453
2016-10-30 04:00:00,108.12,111.70764
2016-10-30 05:00:00,101.04,105.18803
2016-10-30 06:00:00,100.92,109.74938
2016-10-30 07:00:00,99.96,104.87101
2016-10-30 08:00:00,113.03999999999998,119.0993
2016-10-30 09:00:00,115.55999999999999,122.77929
2016-10-30 10:00:00,130.07999999999998,144.5072
2016-10-30 11:00:00,139.32,158.68596
2016-10-30 12:00:00,151.32,176.4577
2016-10-30 13:00:00,150.83999999999997,165.91237
2016-10-30 14:00:00,149.64,159.23665
2016-10-30 15:00:00,144.23999999999998,186.83385
2016-10-30 16:00:00,153.96,181.45868
2016-10-30 17:00:00,165.72,195.73248
2016-10-30 18:00:00,174.35999999999999,202.20192
2016-10-30 19:00:00,176.64,193.422
2016-10-30 20:00:00,179.04000000000002,192.87996
2016-10-30 21:00:00,173.88,178.2248
2016-10-30 22:00:00,160.32,167.63997
2016-10-30 23:00:00,149.16,155.7938
2016-10-31 00:00:00,143.04000000000002,176.17828
2016-10-31 01:00:00,133.44,158.05452
2016-10-31 02:00:00,122.15999999999998,151.5712
2016-10-31 03:00:00,102.72,119.33781
2016-10-31 04:00:00,101.28,121.50947
2016-10-31 05:00:00,97.67999999999999,110.044754
2016-10-31 06:00:00,105.24000000000001,111.128975
2016-10-31 07:00:00,120.24,122.2504
2016-10-31 08:00:00,164.52,153.03769
2016-10-31 09:00:00,227.28,154.11183
2016-10-31 10:00:00,237.84,177.89093
2016-10-31 11:00:00,244.2,195.72314
2016-10-31 12:00:00,249.6,209.47778
2016-10-31 13:00:00,250.55999999999997,208.68481
2016-10-31 14:00:00,235.68,201.52164
2016-10-31 15:00:00,220.2,219.633
2016-10-31 16:00:00,234.11999999999998,217.05763
2016-10-31 17:00:00,253.80000000000004,232.21227
2016-10-31 18:00:00,264.24,233.02419
2016-10-31 19:00:00,263.52,227.66757
2016-10-31 20:00:00,247.07999999999996,216.6192
2016-10-31 21:00:00,212.76,205.1241
2016-10-31 22:00:00,178.32,190.18524
2016-10-31 23:00:00,166.2,172.86813
2016-11-01 00:00:00,159.96,184.88249
2016-11-01 01:00:00,155.16,167.55212
2016-11-01 02:00:00,138.72,149.62056
2016-11-01 03:00:00,110.64,123.20881
2016-11-01 04:00:00,106.32,123.773
2016-11-01 05:00:00,104.88,114.060905
2016-11-01 06:00:00,121.08000000000001,122.83321
2016-11-01 07:00:00,155.4,139.25896
2016-11-01 08:00:00,221.52,198.25485
2016-11-01 09:00:00,247.07999999999996,202.99661
2016-11-01 10:00:00,253.2,224.80113
2016-11-01 11:00:00,265.8,241.70059
2016-11-01 12:00:00,270.0,243.10818
2016-11-01 13:00:00,262.32,259.44418
2016-11-01 14:00:00,255.95999999999998,247.5857
2016-11-01 15:00:00,240.6,257.51035
2016-11-01 16:00:00,263.4,257.54877
2016-11-01 17:00:00,279.48,270.39645
2016-11-01 18:00:00,283.32000000000005,267.00256
2016-11-01 19:00:00,275.16,255.87971
2016-11-01 20:00:00,248.88,234.75865
2016-11-01 21:00:00,227.04000000000002,229.13864
2016-11-01 22:00:00,191.76,204.42796
2016-11-01 23:00:00,161.4,186.32939
2016-11-02 00:00:00,148.44,188.76526
2016-11-02 01:00:00,148.68,178.3968
2016-11-02 02:00:00,130.68,152.75298
2016-11-02 03:00:00,116.15999999999998,127.29429
2016-11-02 04:00:00,114.72,124.18116
2016-11-02 05:00:00,110.64,110.70301
2016-11-02 06:00:00,118.2,128.10313
2016-11-02 07:00:00,154.32,127.33524
2016-11-02 08:00:00,218.04,188.66998
2016-11-02 09:00:00,225.48000000000002,185.52083
2016-11-02 10:00:00,243.23999999999998,214.30025
2016-11-02 11:00:00,272.16,234.7318
2016-11-02 12:00:00,251.52,244.28763
2016-11-02 13:00:00,268.08000000000004,250.03915
2016-11-02 14:00:00,255.72,246.54277
2016-11-02 15:00:00,243.84000000000006,262.60358
2016-11-02 16:00:00,258.36,263.03137
2016-11-02 17:00:00,263.03999999999996,272.23877
2016-11-02 18:00:00,241.20000000000005,269.04852
2016-11-02 19:00:00,237.48000000000002,258.7404
2016-11-02 20:00:00,238.08,251.57858
2016-11-02 21:00:00,211.44000000000003,230.24043
2016-11-02 22:00:00,181.8,207.65102
2016-11-02 23:00:00,160.68,188.00827
2016-11-03 00:00:00,156.96,187.66667
2016-11-03 01:00:00,149.64,178.56073
2016-11-03 02:00:00,137.76,159.12941
2016-11-03 03:00:00,110.88,127.83395
2016-11-03 04:00:00,105.24000000000001,126.67484
2016-11-03 05:00:00,108.12,116.28062
2016-11-03 06:00:00,113.88,123.88778
2016-11-03 07:00:00,149.28,131.82022
2016-11-03 08:00:00,228.60000000000005,186.6454
2016-11-03 09:00:00,257.28,184.45094
2016-11-03 10:00:00,261.24,205.93927
2016-11-03 11:00:00,248.76000000000002,234.25517
2016-11-03 12:00:00,243.12,246.52794
2016-11-03 13:00:00,267.71999999999997,245.14575
2016-11-03 14:00:00,254.28,250.6883
2016-11-03 15:00:00,235.56000000000003,261.18347
2016-11-03 16:00:00,241.32000000000002,264.60394
2016-11-03 17:00:00,249.83999999999997,273.57968
2016-11-03 18:00:00,247.31999999999996,266.01648
2016-11-03 19:00:00,230.88,260.96436
2016-11-03 20:00:00,212.16,250.36368
2016-11-03 21:00:00,210.0,232.03946
2016-11-03 22:00:00,189.48000000000002,208.98315
2016-11-03 23:00:00,177.0,190.1131
2016-11-04 00:00:00,175.44,186.16246
2016-11-04 01:00:00,164.88000000000002,177.54759
2016-11-04 02:00:00,157.44,158.04636
2016-11-04 03:00:00,130.32,126.27103
2016-11-04 04:00:00,128.16,125.41365
2016-11-04 05:00:00,129.48,115.32752
2016-11-04 06:00:00,134.27999999999997,123.59114
2016-11-04 07:00:00,150.84000000000003,129.1354
2016-11-04 08:00:00,212.87999999999997,182.85138
2016-11-04 09:00:00,223.07999999999996,181.0106
2016-11-04 10:00:00,217.32000000000002,202.7212
2016-11-04 11:00:00,235.08,229.65483
2016-11-04 12:00:00,251.88,241.48146
2016-11-04 13:00:00,240.6,241.0308
2016-11-04 14:00:00,224.4,246.3923
2016-11-04 15:00:00,216.96000000000004,257.3638
2016-11-04 16:00:00,230.88,259.26553
2016-11-04 17:00:00,229.07999999999996,269.42194
2016-11-04 18:00:00,232.07999999999996,262.82645
2016-11-04 19:00:00,205.44,257.26865
2016-11-04 20:00:00,204.0,247.5237
2016-11-04 21:00:00,189.60000000000002,229.45937
2016-11-04 22:00:00,167.88000000000002,206.92873
2016-11-04 23:00:00,156.0,187.4549
2016-11-05 00:00:00,156.24,181.81586
2016-11-05 01:00:00,154.68,172.10672
2016-11-05 02:00:00,145.2,153.52536
2016-11-05 03:00:00,122.52000000000002,123.65941
2016-11-05 04:00:00,111.72000000000001,123.065834
2016-11-05 05:00:00,106.32,113.02977
2016-11-05 06:00:00,104.88,117.936615
2016-11-05 07:00:00,100.68,127.73882
2016-11-05 08:00:00,112.55999999999999,175.41898
2016-11-05 09:00:00,123.24,173.3906
2016-11-05 10:00:00,140.4,192.49931
2016-11-05 11:00:00,144.12,219.3664
2016-11-05 12:00:00,159.96,228.70255
2016-11-05 13:00:00,157.2,228.01256
2016-11-05 14:00:00,157.32,237.22443
2016-11-05 15:00:00,153.11999999999998,243.09091
2016-11-05 16:00:00,172.56,245.99199
2016-11-05 17:00:00,177.48000000000002,255.86604
2016-11-05 18:00:00,182.88,250.0522
2016-11-05 19:00:00,188.88000000000002,246.29745
2016-11-05 20:00:00,190.32,235.97256
2016-11-05 21:00:00,183.24,221.79756
2016-11-05 22:00:00,163.8,200.4819
2016-11-05 23:00:00,154.32,182.47249
2016-11-06 00:00:00,149.76,162.36679
2016-11-06 01:00:00,141.95999999999998,156.14148
2016-11-06 02:00:00,135.36,147.41287
2016-11-06 03:00:00,113.28000000000002,118.31068
2016-11-06 04:00:00,102.24000000000001,111.62119
2016-11-06 05:00:00,99.96,104.97575
2016-11-06 06:00:00,98.16,104.860565
2016-11-06 07:00:00,97.32,97.57255
2016-11-06 08:00:00,111.36000000000001,114.277626
2016-11-06 09:00:00,118.92,117.93422
2016-11-06 10:00:00,131.16,141.2545
2016-11-06 11:00:00,140.16,152.9062
2016-11-06 12:00:00,139.92,173.60678
2016-11-06 13:00:00,140.52,166.78532
2016-11-06 14:00:00,135.95999999999998,168.50984
2016-11-06 15:00:00,135.6,184.51913
2016-11-06 16:00:00,148.68,185.49678
2016-11-06 17:00:00,162.84000000000003,197.81079
2016-11-06 18:00:00,162.24,198.09422
2016-11-06 19:00:00,168.95999999999998,193.03943
2016-11-06 20:00:00,175.44,203.55818
2016-11-06 21:00:00,160.8,175.74101
2016-11-06 22:00:00,146.28,167.67847
2016-11-06 23:00:00,135.0,157.56749
2016-11-07 00:00:00,132.36,170.67331
2016-11-07 01:00:00,130.68,156.08519
2016-11-07 02:00:00,122.27999999999999,139.60367
2016-11-07 03:00:00,99.84,121.67179
2016-11-07 04:00:00,98.4,115.61671
2016-11-07 05:00:00,97.56,106.36366
2016-11-07 06:00:00,104.16000000000001,103.06341
2016-11-07 07:00:00,127.19999999999999,114.67659
2016-11-07 08:00:00,199.20000000000002,137.4209
2016-11-07 09:00:00,203.04,138.26875
2016-11-07 10:00:00,208.44,161.84735
2016-11-07 11:00:00,217.43999999999994,179.04593
2016-11-07 12:00:00,218.04,187.55043
2016-11-07 13:00:00,230.64,191.1055
2016-11-07 14:00:00,219.71999999999997,191.99799
2016-11-07 15:00:00,213.24,199.19537
2016-11-07 16:00:00,229.56000000000003,204.62152
2016-11-07 17:00:00,234.0,214.95798
2016-11-07 18:00:00,223.92000000000002,215.30836
2016-11-07 19:00:00,206.16,209.7504
2016-11-07 20:00:00,207.0,212.64993
2016-11-07 21:00:00,196.92000000000004,193.59125
2016-11-07 22:00:00,171.72000000000003,179.75233
2016-11-07 23:00:00,154.92000000000002,168.59616
2016-11-08 00:00:00,151.68,177.03069
2016-11-08 01:00:00,142.44,163.39586
2016-11-08 02:00:00,134.88,139.957
2016-11-08 03:00:00,111.96000000000001,120.493454
2016-11-08 04:00:00,106.08,117.339035
2016-11-08 05:00:00,108.47999999999999,105.47362
2016-11-08 06:00:00,123.0,118.65924
2016-11-08 07:00:00,139.8,124.50236
2016-11-08 08:00:00,201.12000000000003,174.71147
2016-11-08 09:00:00,226.44,170.38649
2016-11-08 10:00:00,246.6,194.54881
2016-11-08 11:00:00,256.08,212.39986
2016-11-08 12:00:00,256.79999999999995,214.44887
2016-11-08 13:00:00,265.32000000000005,223.58965
2016-11-08 14:00:00,266.88,221.97903
2016-11-08 15:00:00,255.00000000000003,232.96068
2016-11-08 16:00:00,261.6,232.71162
2016-11-08 17:00:00,270.84000000000003,242.41081
2016-11-08 18:00:00,263.04,241.39317
2016-11-08 19:00:00,240.0,232.38731
2016-11-08 20:00:00,236.52,224.6824
2016-11-08 21:00:00,223.56000000000003,212.14162
2016-11-08 22:00:00,190.44,192.58267
2016-11-08 23:00:00,179.04000000000002,175.64983
2016-11-09 00:00:00,165.60000000000002,186.0455
2016-11-09 01:00:00,158.04,178.50659
2016-11-09 02:00:00,155.39999999999998,158.65015
2016-11-09 03:00:00,129.36,126.23488
2016-11-09 04:00:00,122.76,123.87447
2016-11-09 05:00:00,129.84,114.812126
2016-11-09 06:00:00,129.48000000000002,128.52661
2016-11-09 07:00:00,166.08,129.90083
2016-11-09 08:00:00,247.80000000000004,185.9536
2016-11-09 09:00:00,258.48,185.58324
2016-11-09 10:00:00,258.96,211.6683
2016-11-09 11:00:00,281.03999999999996,235.34537
2016-11-09 12:00:00,280.2,246.20753
2016-11-09 13:00:00,278.03999999999996,248.66922
2016-11-09 14:00:00,247.68,247.89294
2016-11-09 15:00:00,244.2,263.85318
2016-11-09 16:00:00,266.03999999999996,262.53918
2016-11-09 17:00:00,277.44,273.72733
2016-11-09 18:00:00,282.6,270.22345
2016-11-09 19:00:00,255.83999999999997,260.05957
2016-11-09 20:00:00,245.76000000000002,250.52333
2016-11-09 21:00:00,239.28,231.71547
2016-11-09 22:00:00,214.79999999999998,209.11563
2016-11-09 23:00:00,183.96,187.95268
2016-11-10 00:00:00,176.04000000000002,193.84715
2016-11-10 01:00:00,162.36,184.5539
2016-11-10 02:00:00,156.72,166.36478
2016-11-10 03:00:00,137.51999999999998,131.59435
2016-11-10 04:00:00,132.12,129.99367
2016-11-10 05:00:00,120.60000000000002,122.632744
2016-11-10 06:00:00,132.12,132.24883
2016-11-10 07:00:00,152.88,140.42188
2016-11-10 08:00:00,217.32000000000002,200.21678
2016-11-10 09:00:00,259.32,200.30649
2016-11-10 10:00:00,242.28,226.38515
2016-11-10 11:00:00,251.04,255.88524
2016-11-10 12:00:00,260.52,269.50247
2016-11-10 13:00:00,277.79999999999995,268.6944
2016-11-10 14:00:00,279.48,270.2912
2016-11-10 15:00:00,269.16,281.88947
2016-11-10 16:00:00,267.6,285.00372
2016-11-10 17:00:00,284.64,294.80154
2016-11-10 18:00:00,259.08,288.26645
2016-11-10 19:00:00,229.44,278.61597
2016-11-10 20:00:00,222.0,264.7188
2016-11-10 21:00:00,217.56000000000003,246.60413
2016-11-10 22:00:00,193.2,220.66483
2016-11-10 23:00:00,170.04,197.51244
2016-11-11 00:00:00,159.96,192.21175
2016-11-11 01:00:00,151.68,182.26233
2016-11-11 02:00:00,139.79999999999998,165.38779
2016-11-11 03:00:00,115.55999999999999,130.71387
2016-11-11 04:00:00,113.64000000000001,129.572
2016-11-11 05:00:00,111.72,122.1492
2016-11-11 06:00:00,123.35999999999999,129.4745
2016-11-11 07:00:00,140.39999999999998,139.44388
2016-11-11 08:00:00,198.24,196.32336
2016-11-11 09:00:00,217.68,195.8417
2016-11-11 10:00:00,236.4,220.64197
2016-11-11 11:00:00,228.48000000000002,250.4083
2016-11-11 12:00:00,230.88,263.7411
2016-11-11 13:00:00,245.15999999999997,262.3974
