,true,pred
2016-10-28 00:00:00,209.28,290.93732
2016-10-28 01:00:00,176.99999999999997,200.54613
2016-10-28 02:00:00,179.64,209.45036
2016-10-28 03:00:00,167.64,217.79398
2016-10-28 04:00:00,161.39999999999998,184.60107
2016-10-28 05:00:00,163.56,167.94019
2016-10-28 06:00:00,186.6,188.67233
2016-10-28 07:00:00,219.35999999999999,233.40553
2016-10-28 08:00:00,336.96000000000004,315.55038
2016-10-28 09:00:00,477.24,440.4501
2016-10-28 10:00:00,728.64,650.2848
2016-10-28 11:00:00,776.6400000000001,738.4081
2016-10-28 12:00:00,792.5999999999999,717.79034
2016-10-28 13:00:00,803.76,702.12006
2016-10-28 14:00:00,807.24,685.71826
2016-10-28 15:00:00,802.08,690.29584
2016-10-28 16:00:00,768.48,632.25964
2016-10-28 17:00:00,796.44,775.2097
2016-10-28 18:00:00,821.04,692.2446
2016-10-28 19:00:00,828.24,696.8003
2016-10-28 20:00:00,790.32,698.33966
2016-10-28 21:00:00,574.4399999999999,634.49646
2016-10-28 22:00:00,483.96,494.85767
2016-10-28 23:00:00,443.76,384.9829
2016-10-29 00:00:00,195.24,304.42767
2016-10-29 01:00:00,177.84,208.92
2016-10-29 02:00:00,178.8,202.23663
2016-10-29 03:00:00,164.88,226.94106
2016-10-29 04:00:00,158.16,183.46733
2016-10-29 05:00:00,157.56,175.91315
2016-10-29 06:00:00,182.88,187.03676
2016-10-29 07:00:00,229.92,204.65369
2016-10-29 08:00:00,341.16,313.4988
2016-10-29 09:00:00,456.6,409.40762
2016-10-29 10:00:00,638.1600000000001,603.1184
2016-10-29 11:00:00,647.04,706.67896
2016-10-29 12:00:00,649.2,670.2672
2016-10-29 13:00:00,637.8,643.3174
2016-10-29 14:00:00,639.24,631.34406
2016-10-29 15:00:00,633.6,655.0639
2016-10-29 16:00:00,645.3600000000001,568.92914
2016-10-29 17:00:00,656.76,756.22375
2016-10-29 18:00:00,680.76,642.287
2016-10-29 19:00:00,670.8000000000001,652.6124
2016-10-29 20:00:00,621.72,684.72156
2016-10-29 21:00:00,572.64,609.5516
2016-10-29 22:00:00,483.12,480.00024
2016-10-29 23:00:00,436.20000000000005,389.3563
2016-10-30 00:00:00,223.8,281.4805
2016-10-30 01:00:00,168.11999999999998,178.43547
2016-10-30 02:00:00,168.83999999999997,185.04242
2016-10-30 03:00:00,155.64,187.11452
2016-10-30 04:00:00,146.88,157.13289
2016-10-30 05:00:00,151.44,109.07376
2016-10-30 06:00:00,157.92000000000002,221.48174
2016-10-30 07:00:00,210.12,256.85297
2016-10-30 08:00:00,315.84000000000003,273.30743
2016-10-30 09:00:00,454.32,369.04044
2016-10-30 10:00:00,633.8399999999999,573.8005
2016-10-30 11:00:00,658.0799999999999,641.22516
2016-10-30 12:00:00,698.64,649.44977
2016-10-30 13:00:00,808.08,672.72784
2016-10-30 14:00:00,802.56,646.939
2016-10-30 15:00:00,775.92,636.55145
2016-10-30 16:00:00,765.0,647.25824
2016-10-30 17:00:00,790.4399999999999,682.0998
2016-10-30 18:00:00,803.28,678.0962
2016-10-30 19:00:00,757.68,659.88074
2016-10-30 20:00:00,654.72,601.626
2016-10-30 21:00:00,571.44,531.7286
2016-10-30 22:00:00,464.88,398.056
2016-10-30 23:00:00,411.96,315.6589
2016-10-31 00:00:00,196.32,246.48672
2016-10-31 01:00:00,165.36,257.32788
2016-10-31 02:00:00,169.8,220.01567
2016-10-31 03:00:00,153.84,178.94086
2016-10-31 04:00:00,148.44,157.53047
2016-10-31 05:00:00,151.07999999999998,176.88232
2016-10-31 06:00:00,158.04,220.10725
2016-10-31 07:00:00,220.08,261.9422
2016-10-31 08:00:00,321.24,406.72083
2016-10-31 09:00:00,481.08000000000004,667.66205
2016-10-31 10:00:00,664.56,947.13947
2016-10-31 11:00:00,674.04,978.9424
2016-10-31 12:00:00,691.68,1002.54114
2016-10-31 13:00:00,690.8399999999999,1046.1656
2016-10-31 14:00:00,701.28,1056.5223
2016-10-31 15:00:00,683.16,1019.40436
2016-10-31 16:00:00,643.8,1040.8661
2016-10-31 17:00:00,675.7199999999999,949.8531
2016-10-31 18:00:00,732.72,1026.545
2016-10-31 19:00:00,700.3199999999999,1007.1216
2016-10-31 20:00:00,647.52,943.40027
2016-10-31 21:00:00,550.5600000000001,854.24854
2016-10-31 22:00:00,466.68,693.7664
2016-10-31 23:00:00,417.24,517.4357
2016-11-01 00:00:00,183.24,271.9213
2016-11-01 01:00:00,163.32,236.85173
2016-11-01 02:00:00,164.04000000000002,221.35187
2016-11-01 03:00:00,150.48,268.13364
2016-11-01 04:00:00,146.88,145.82677
2016-11-01 05:00:00,144.84,215.58914
2016-11-01 06:00:00,168.48000000000002,215.07858
2016-11-01 07:00:00,207.6,208.00313
2016-11-01 08:00:00,308.76,351.45822
2016-11-01 09:00:00,472.92,481.90482
2016-11-01 10:00:00,648.72,733.5644
2016-11-01 11:00:00,673.32,806.8225
2016-11-01 12:00:00,670.68,747.0955
2016-11-01 13:00:00,707.28,776.61597
2016-11-01 14:00:00,691.3199999999999,719.4099
2016-11-01 15:00:00,673.44,790.069
2016-11-01 16:00:00,649.2,706.9162
2016-11-01 17:00:00,662.7600000000001,833.40063
2016-11-01 18:00:00,707.52,809.7285
2016-11-01 19:00:00,687.96,772.85583
2016-11-01 20:00:00,652.6800000000001,784.6469
2016-11-01 21:00:00,561.48,677.072
2016-11-01 22:00:00,475.44,567.7738
2016-11-01 23:00:00,409.91999999999996,534.4979
2016-11-02 00:00:00,195.48,266.208
2016-11-02 01:00:00,160.56,186.9072
2016-11-02 02:00:00,161.51999999999998,220.74522
2016-11-02 03:00:00,147.6,220.68065
2016-11-02 04:00:00,144.48,185.84
2016-11-02 05:00:00,146.16,166.88887
2016-11-02 06:00:00,152.64,182.83597
2016-11-02 07:00:00,205.2,243.82877
2016-11-02 08:00:00,304.8,317.47174
2016-11-02 09:00:00,475.32,521.9983
2016-11-02 10:00:00,624.8399999999999,768.2858
2016-11-02 11:00:00,622.56,793.00397
2016-11-02 12:00:00,631.6800000000001,815.8322
2016-11-02 13:00:00,613.68,811.8684
2016-11-02 14:00:00,628.56,798.6442
2016-11-02 15:00:00,596.04,789.4421
2016-11-02 16:00:00,579.0,741.34296
2016-11-02 17:00:00,619.3199999999999,805.0554
2016-11-02 18:00:00,692.6399999999999,784.15784
2016-11-02 19:00:00,715.08,798.4877
2016-11-02 20:00:00,623.4,748.94794
2016-11-02 21:00:00,549.72,706.3463
2016-11-02 22:00:00,471.47999999999996,557.4758
2016-11-02 23:00:00,433.32,428.667
2016-11-03 00:00:00,239.39999999999998,276.613
2016-11-03 01:00:00,164.51999999999998,196.59099
2016-11-03 02:00:00,167.04,216.44366
2016-11-03 03:00:00,152.28,239.39246
2016-11-03 04:00:00,146.4,183.2308
2016-11-03 05:00:00,150.6,182.93788
2016-11-03 06:00:00,158.16,183.40964
2016-11-03 07:00:00,202.92000000000002,205.27151
2016-11-03 08:00:00,301.8,304.10468
2016-11-03 09:00:00,495.48,482.8666
2016-11-03 10:00:00,662.28,710.67303
2016-11-03 11:00:00,670.44,760.7711
2016-11-03 12:00:00,665.0400000000001,753.8295
2016-11-03 13:00:00,677.04,754.9662
2016-11-03 14:00:00,660.36,734.91925
2016-11-03 15:00:00,651.6,770.01086
2016-11-03 16:00:00,641.64,675.946
2016-11-03 17:00:00,680.52,777.7861
2016-11-03 18:00:00,752.28,739.5585
2016-11-03 19:00:00,696.6,756.92017
2016-11-03 20:00:00,639.12,738.2054
2016-11-03 21:00:00,548.4,671.0118
2016-11-03 22:00:00,483.0,542.49866
2016-11-03 23:00:00,421.68000000000006,454.28177
2016-11-04 00:00:00,203.16,268.02036
2016-11-04 01:00:00,200.51999999999998,195.95485
2016-11-04 02:00:00,198.48,217.65308
2016-11-04 03:00:00,189.48000000000002,234.00276
2016-11-04 04:00:00,146.04000000000002,185.48788
2016-11-04 05:00:00,148.68,178.88753
