,true,pred
2016-10-28 00:00:00,1381.44,1460.3822
2016-10-28 01:00:00,1186.8,1410.6024
2016-10-28 02:00:00,1162.32,1392.8501
2016-10-28 03:00:00,1166.82,1340.7523
2016-10-28 04:00:00,1126.08,1317.1038
2016-10-28 05:00:00,1379.8799999999999,1409.1344
2016-10-28 06:00:00,1132.44,1228.056
2016-10-28 07:00:00,1478.2799999999997,1535.0769
2016-10-28 08:00:00,2017.08,2440.5154
2016-10-28 09:00:00,3261.66,3924.3152
2016-10-28 10:00:00,4477.08,4956.3213
2016-10-28 11:00:00,4682.700000000001,5353.526
2016-10-28 12:00:00,4802.7,5416.4883
2016-10-28 13:00:00,4831.980000000001,5506.3193
2016-10-28 14:00:00,4781.880000000001,5594.5405
2016-10-28 15:00:00,4775.82,5473.988
2016-10-28 16:00:00,4692.18,5465.789
2016-10-28 17:00:00,4749.600000000001,5454.882
2016-10-28 18:00:00,4733.4,5415.353
2016-10-28 19:00:00,4704.72,5155.133
2016-10-28 20:00:00,4076.1000000000004,3986.1357
2016-10-28 21:00:00,2469.7799999999997,2559.877
2016-10-28 22:00:00,1909.44,1984.2582
2016-10-28 23:00:00,1590.84,1812.9749
2016-10-29 00:00:00,1302.96,1463.2977
2016-10-29 01:00:00,1167.78,1426.2639
2016-10-29 02:00:00,1110.36,1393.4093
2016-10-29 03:00:00,1087.74,1342.883
2016-10-29 04:00:00,1069.32,1300.4794
2016-10-29 05:00:00,1372.8600000000001,1412.6187
2016-10-29 06:00:00,1292.4,1241.2305
2016-10-29 07:00:00,1530.48,1531.2231
2016-10-29 08:00:00,2073.42,2453.517
2016-10-29 09:00:00,3318.8999999999996,3963.5688
2016-10-29 10:00:00,4412.700000000001,5017.6255
2016-10-29 11:00:00,4438.92,5399.993
2016-10-29 12:00:00,4535.22,5465.893
2016-10-29 13:00:00,4631.880000000001,5552.495
2016-10-29 14:00:00,4681.02,5645.791
2016-10-29 15:00:00,4616.4,5524.8613
2016-10-29 16:00:00,4563.000000000001,5524.5176
2016-10-29 17:00:00,4669.9800000000005,5499.745
2016-10-29 18:00:00,4778.34,5466.6787
2016-10-29 19:00:00,4687.740000000001,5199.2466
2016-10-29 20:00:00,4071.6600000000008,4017.5234
2016-10-29 21:00:00,2301.9,2580.4492
2016-10-29 22:00:00,1749.4199999999998,2012.0195
2016-10-29 23:00:00,1403.22,1828.9427
2016-10-30 00:00:00,1247.46,1457.8512
