,true,pred
2016-10-28 00:00:00,43.56,29.430847
2016-10-28 01:00:00,42.05,26.82016
2016-10-28 02:00:00,30.05,20.644104
2016-10-28 03:00:00,30.22,27.131346
2016-10-28 04:00:00,32.78,23.482054
2016-10-28 05:00:00,29.56,21.040848
2016-10-28 06:00:00,32.89,23.62426
2016-10-28 07:00:00,46.84,39.854256
2016-10-28 08:00:00,82.0,69.8447
2016-10-28 09:00:00,114.11999999999999,91.493095
2016-10-28 10:00:00,115.4,89.839745
2016-10-28 11:00:00,99.88000000000001,86.24172
2016-10-28 12:00:00,71.99,80.93921
2016-10-28 13:00:00,104.11999999999999,92.33473
2016-10-28 14:00:00,105.91,98.47224
2016-10-28 15:00:00,103.91999999999999,95.00276
2016-10-28 16:00:00,105.99000000000001,87.16825
2016-10-28 17:00:00,96.97999999999999,82.02714
2016-10-28 18:00:00,67.46,55.553364
2016-10-28 19:00:00,52.59,43.600647
2016-10-28 20:00:00,51.89,42.943405
2016-10-28 21:00:00,50.38999999999999,41.557133
2016-10-28 22:00:00,51.019999999999996,38.924057
2016-10-28 23:00:00,43.36,25.715237
2016-10-29 00:00:00,42.74,29.473743
2016-10-29 01:00:00,41.730000000000004,26.563444
2016-10-29 02:00:00,35.279999999999994,20.424427
2016-10-29 03:00:00,42.120000000000005,26.980247
2016-10-29 04:00:00,36.38,23.27167
2016-10-29 05:00:00,36.870000000000005,20.728224
2016-10-29 06:00:00,34.93,23.648125
2016-10-29 07:00:00,32.01,39.637066
2016-10-29 08:00:00,33.96,68.873795
2016-10-29 09:00:00,37.78999999999999,90.52774
2016-10-29 10:00:00,39.97999999999999,88.98986
2016-10-29 11:00:00,43.58,85.3496
2016-10-29 12:00:00,41.419999999999995,80.04737
2016-10-29 13:00:00,40.400000000000006,91.48715
2016-10-29 14:00:00,41.809999999999995,97.65365
2016-10-29 15:00:00,42.53,94.23993
2016-10-29 16:00:00,40.550000000000004,86.19062
2016-10-29 17:00:00,38.8,81.42619
2016-10-29 18:00:00,39.6,55.3461
2016-10-29 19:00:00,39.09,43.237114
2016-10-29 20:00:00,42.4,42.580116
2016-10-29 21:00:00,42.2,41.440342
2016-10-29 22:00:00,47.57,38.5965
2016-10-29 23:00:00,44.39,25.556612
2016-10-30 00:00:00,45.21,27.5509
2016-10-30 01:00:00,41.52,21.86346
2016-10-30 02:00:00,36.17,27.48548
2016-10-30 03:00:00,41.910000000000004,22.249907
2016-10-30 04:00:00,35.93,21.499733
2016-10-30 05:00:00,42.67,18.526136
2016-10-30 06:00:00,37.65,21.121416
2016-10-30 07:00:00,40.300000000000004,13.665996
2016-10-30 08:00:00,37.99,14.795593
2016-10-30 09:00:00,41.50000000000001,19.641424
2016-10-30 10:00:00,40.72,20.830545
2016-10-30 11:00:00,45.33999999999999,20.93396
2016-10-30 12:00:00,49.480000000000004,14.367424
2016-10-30 13:00:00,48.959999999999994,37.26079
2016-10-30 14:00:00,55.74999999999999,43.05165
2016-10-30 15:00:00,51.919999999999995,36.365696
2016-10-30 16:00:00,48.94,40.681553
2016-10-30 17:00:00,44.83,29.310644
2016-10-30 18:00:00,45.22,32.289776
2016-10-30 19:00:00,40.7,31.175283
2016-10-30 20:00:00,35.84,29.700544
2016-10-30 21:00:00,39.78,29.53298
2016-10-30 22:00:00,41.980000000000004,33.69103
2016-10-30 23:00:00,38.78,26.125015
2016-10-31 00:00:00,38.25,32.001766
2016-10-31 01:00:00,27.800000000000004,27.041908
2016-10-31 02:00:00,37.01,25.647842
2016-10-31 03:00:00,27.53,31.95757
2016-10-31 04:00:00,35.03,24.045706
2016-10-31 05:00:00,27.200000000000003,22.55367
2016-10-31 06:00:00,41.27,22.81953
2016-10-31 07:00:00,78.02,54.12446
2016-10-31 08:00:00,125.84,81.36207
2016-10-31 09:00:00,137.57999999999998,109.85555
2016-10-31 10:00:00,137.8,103.45007
2016-10-31 11:00:00,123.74,94.94447
2016-10-31 12:00:00,125.25000000000001,93.28224
2016-10-31 13:00:00,122.94999999999999,114.58694
2016-10-31 14:00:00,127.09999999999998,116.0368
2016-10-31 15:00:00,116.49999999999999,113.608635
2016-10-31 16:00:00,122.74000000000001,109.271034
2016-10-31 17:00:00,117.16,92.73113
2016-10-31 18:00:00,90.03999999999999,73.761314
2016-10-31 19:00:00,87.51,56.894566
2016-10-31 20:00:00,77.88,50.137337
2016-10-31 21:00:00,70.11,53.50657
2016-10-31 22:00:00,55.339999999999996,50.54863
2016-10-31 23:00:00,39.37,24.843046
2016-11-01 00:00:00,44.330000000000005,31.259111
2016-11-01 01:00:00,39.49,32.485138
2016-11-01 02:00:00,38.51,28.023815
2016-11-01 03:00:00,35.980000000000004,35.779427
2016-11-01 04:00:00,37.54,30.366608
2016-11-01 05:00:00,35.4,29.965755
2016-11-01 06:00:00,41.69,19.252123
2016-11-01 07:00:00,87.50999999999999,63.27497
2016-11-01 08:00:00,146.66,116.623695
2016-11-01 09:00:00,157.45999999999998,146.78326
2016-11-01 10:00:00,143.76,140.52501
2016-11-01 11:00:00,129.64,133.04477
2016-11-01 12:00:00,119.5,129.18597
2016-11-01 13:00:00,164.55000000000004,148.64009
2016-11-01 14:00:00,175.76999999999998,159.0904
2016-11-01 15:00:00,139.26999999999998,149.41646
2016-11-01 16:00:00,140.76999999999998,138.73845
2016-11-01 17:00:00,136.79,124.88661
2016-11-01 18:00:00,98.69000000000001,75.33104
2016-11-01 19:00:00,91.16,63.73772
2016-11-01 20:00:00,103.13,64.37254
2016-11-01 21:00:00,93.14,57.340046
2016-11-01 22:00:00,64.89999999999999,48.749687
2016-11-01 23:00:00,57.5,28.89277
2016-11-02 00:00:00,53.68,31.352156
2016-11-02 01:00:00,52.64,30.526962
2016-11-02 02:00:00,52.239999999999995,24.220726
2016-11-02 03:00:00,42.620000000000005,32.48625
2016-11-02 04:00:00,52.25999999999999,30.251
2016-11-02 05:00:00,45.12,26.922268
2016-11-02 06:00:00,43.269999999999996,26.50914
2016-11-02 07:00:00,100.86999999999998,47.435497
2016-11-02 08:00:00,166.37,99.22329
2016-11-02 09:00:00,188.69,119.525215
2016-11-02 10:00:00,170.87,115.81526
2016-11-02 11:00:00,141.34,113.925674
2016-11-02 12:00:00,124.22,108.40771
2016-11-02 13:00:00,136.75,121.45834
2016-11-02 14:00:00,136.37,117.37893
2016-11-02 15:00:00,116.71000000000001,116.23239
2016-11-02 16:00:00,120.36999999999999,119.27526
2016-11-02 17:00:00,106.75,98.362434
2016-11-02 18:00:00,69.72,63.106773
2016-11-02 19:00:00,78.56,55.388695
2016-11-02 20:00:00,75.05000000000001,51.89322
2016-11-02 21:00:00,68.33,46.9297
2016-11-02 22:00:00,67.06,49.471226
2016-11-02 23:00:00,51.68999999999999,27.159002
2016-11-03 00:00:00,50.93,29.339369
