,true,pred
2016-10-28 00:00:00,42.7,40.79487
2016-10-28 01:00:00,31.97,41.528187
2016-10-28 02:00:00,34.5,37.872498
2016-10-28 03:00:00,36.0,36.47964
2016-10-28 04:00:00,34.24,36.958057
2016-10-28 05:00:00,40.690000000000005,45.62993
2016-10-28 06:00:00,45.3,57.257347
2016-10-28 07:00:00,56.92999999999999,57.53155
2016-10-28 08:00:00,99.77999999999999,88.918594
2016-10-28 09:00:00,100.17000000000002,84.39013
2016-10-28 10:00:00,102.64000000000001,94.737495
2016-10-28 11:00:00,96.46000000000001,87.08812
2016-10-28 12:00:00,94.40000000000002,90.182724
2016-10-28 13:00:00,93.47,87.15982
2016-10-28 14:00:00,97.77000000000001,83.95509
2016-10-28 15:00:00,89.56000000000002,78.10465
2016-10-28 16:00:00,82.8,65.22674
2016-10-28 17:00:00,72.91,67.90613
2016-10-28 18:00:00,66.06,54.85796
2016-10-28 19:00:00,56.410000000000004,53.21692
2016-10-28 20:00:00,50.00999999999999,46.803905
2016-10-28 21:00:00,47.48,47.65946
2016-10-28 22:00:00,41.16,54.379974
2016-10-28 23:00:00,44.12,46.45106
2016-10-29 00:00:00,42.94,42.451748
2016-10-29 01:00:00,36.16,43.24556
2016-10-29 02:00:00,34.879999999999995,39.755405
2016-10-29 03:00:00,36.07,37.044514
2016-10-29 04:00:00,32.06,38.53359
2016-10-29 05:00:00,36.56,47.999836
2016-10-29 06:00:00,47.82,59.287586
2016-10-29 07:00:00,55.989999999999995,60.97217
2016-10-29 08:00:00,118.83000000000001,95.35669
2016-10-29 09:00:00,106.47,92.54845
2016-10-29 10:00:00,115.88000000000001,101.735016
2016-10-29 11:00:00,90.7,94.638855
2016-10-29 12:00:00,85.63999999999999,96.60505
2016-10-29 13:00:00,73.47,93.92875
2016-10-29 14:00:00,69.25999999999999,91.412445
2016-10-29 15:00:00,61.10999999999999,83.545586
2016-10-29 16:00:00,46.980000000000004,68.955696
2016-10-29 17:00:00,43.86,71.41948
2016-10-29 18:00:00,52.87,57.62745
2016-10-29 19:00:00,41.83,54.96337
2016-10-29 20:00:00,43.46,48.666367
2016-10-29 21:00:00,39.21,49.454132
2016-10-29 22:00:00,41.86,56.67141
2016-10-29 23:00:00,44.36,48.291676
2016-10-30 00:00:00,39.51,36.890293
2016-10-30 01:00:00,34.18,36.151314
2016-10-30 02:00:00,36.16,34.55217
2016-10-30 03:00:00,33.480000000000004,37.892395
2016-10-30 04:00:00,32.06,33.98321
2016-10-30 05:00:00,33.22,42.47666
2016-10-30 06:00:00,35.53,46.937565
2016-10-30 07:00:00,46.05,49.331017
2016-10-30 08:00:00,61.239999999999995,66.29352
2016-10-30 09:00:00,56.99000000000001,65.28123
2016-10-30 10:00:00,53.949999999999996,69.57341
2016-10-30 11:00:00,55.1,63.79552
2016-10-30 12:00:00,42.42,65.13104
2016-10-30 13:00:00,37.1,55.043045
2016-10-30 14:00:00,37.86,56.94933
2016-10-30 15:00:00,39.26,55.52653
2016-10-30 16:00:00,38.83,53.59051
2016-10-30 17:00:00,39.55,52.882797
2016-10-30 18:00:00,44.300000000000004,48.375942
2016-10-30 19:00:00,41.290000000000006,44.166264
2016-10-30 20:00:00,39.0,39.89785
2016-10-30 21:00:00,43.29,44.835495
2016-10-30 22:00:00,45.54,46.582253
2016-10-30 23:00:00,40.41,44.261715
2016-10-31 00:00:00,38.449999999999996,46.40515
2016-10-31 01:00:00,36.91,42.989143
2016-10-31 02:00:00,34.12,40.94111
2016-10-31 03:00:00,36.72,39.724583
2016-10-31 04:00:00,33.410000000000004,41.658066
2016-10-31 05:00:00,38.88,49.080578
2016-10-31 06:00:00,54.9,58.54124
2016-10-31 07:00:00,60.96,57.77767
2016-10-31 08:00:00,137.05999999999997,97.34647
2016-10-31 09:00:00,138.46000000000004,95.91466
2016-10-31 10:00:00,108.23,100.7845
2016-10-31 11:00:00,98.76000000000002,98.01262
2016-10-31 12:00:00,106.96,96.19541
2016-10-31 13:00:00,113.10000000000001,93.56988
2016-10-31 14:00:00,113.75,93.02799
2016-10-31 15:00:00,100.43,89.9434
2016-10-31 16:00:00,65.9,73.15375
2016-10-31 17:00:00,70.15,71.161446
2016-10-31 18:00:00,61.67,60.99825
2016-10-31 19:00:00,42.75,59.175396
2016-10-31 20:00:00,36.99,45.670807
2016-10-31 21:00:00,49.4,51.87925
2016-10-31 22:00:00,44.24000000000001,55.22325
2016-10-31 23:00:00,35.18,49.36504
2016-11-01 00:00:00,34.49,47.43693
2016-11-01 01:00:00,35.04,44.456825
2016-11-01 02:00:00,32.550000000000004,43.38205
2016-11-01 03:00:00,34.98,39.489742
2016-11-01 04:00:00,29.519999999999996,40.519497
2016-11-01 05:00:00,33.39,50.943745
2016-11-01 06:00:00,45.36,60.422085
2016-11-01 07:00:00,79.15,65.52459
2016-11-01 08:00:00,143.95,110.66808
2016-11-01 09:00:00,122.39,108.06955
2016-11-01 10:00:00,112.55,116.72655
2016-11-01 11:00:00,96.39,111.1086
2016-11-01 12:00:00,113.81000000000002,109.98111
2016-11-01 13:00:00,107.74000000000001,108.11147
2016-11-01 14:00:00,114.87,107.082085
2016-11-01 15:00:00,108.18,96.10107
2016-11-01 16:00:00,91.60999999999999,76.72918
2016-11-01 17:00:00,82.35000000000001,78.83777
2016-11-01 18:00:00,71.00999999999999,62.41078
2016-11-01 19:00:00,61.86,59.928726
2016-11-01 20:00:00,60.279999999999994,51.486984
2016-11-01 21:00:00,54.12,54.28351
2016-11-01 22:00:00,53.56,58.765415
2016-11-01 23:00:00,51.32000000000001,50.486435
2016-11-02 00:00:00,48.3,48.80506
2016-11-02 01:00:00,44.97,46.962646
2016-11-02 02:00:00,42.900000000000006,41.887733
2016-11-02 03:00:00,44.449999999999996,36.931065
2016-11-02 04:00:00,42.5,43.269264
2016-11-02 05:00:00,49.73999999999999,51.80619
2016-11-02 06:00:00,65.7,60.96593
2016-11-02 07:00:00,78.58,69.20684
2016-11-02 08:00:00,162.4,111.62731
2016-11-02 09:00:00,140.07999999999998,114.40496
2016-11-02 10:00:00,121.30000000000004,119.705605
2016-11-02 11:00:00,106.25,114.97374
2016-11-02 12:00:00,113.51,106.1968
2016-11-02 13:00:00,109.32,106.70116
2016-11-02 14:00:00,99.62,109.81031
2016-11-02 15:00:00,85.71000000000001,95.46039
2016-11-02 16:00:00,73.18,80.0679
2016-11-02 17:00:00,76.33,77.69728
2016-11-02 18:00:00,68.56,61.034847
2016-11-02 19:00:00,66.02,57.982624
2016-11-02 20:00:00,54.449999999999996,51.413723
2016-11-02 21:00:00,51.86,55.82207
2016-11-02 22:00:00,50.23,58.831005
2016-11-02 23:00:00,53.55,54.06155
2016-11-03 00:00:00,46.96000000000001,52.483543
2016-11-03 01:00:00,43.940000000000005,49.088573
2016-11-03 02:00:00,44.95000000000001,43.48855
2016-11-03 03:00:00,43.379999999999995,40.293488
2016-11-03 04:00:00,43.83,45.37212
2016-11-03 05:00:00,50.9,53.21715
2016-11-03 06:00:00,68.24,62.440655
2016-11-03 07:00:00,78.71000000000001,72.465065
2016-11-03 08:00:00,130.59000000000003,119.92933
2016-11-03 09:00:00,130.86,121.80908
2016-11-03 10:00:00,116.7,130.40228
2016-11-03 11:00:00,95.41,121.88748
2016-11-03 12:00:00,98.82,112.97336
2016-11-03 13:00:00,105.18,115.143456
2016-11-03 14:00:00,103.68999999999998,115.50657
2016-11-03 15:00:00,92.39,100.81599
2016-11-03 16:00:00,73.8,84.714134
2016-11-03 17:00:00,66.21000000000001,80.27685
2016-11-03 18:00:00,69.46000000000001,62.244995
2016-11-03 19:00:00,59.71,59.94616
2016-11-03 20:00:00,56.019999999999996,53.389725
2016-11-03 21:00:00,53.55,57.124317
2016-11-03 22:00:00,47.239999999999995,59.370476
2016-11-03 23:00:00,50.910000000000004,53.48833
2016-11-04 00:00:00,35.5,50.735184
2016-11-04 01:00:00,38.64,47.960957
2016-11-04 02:00:00,34.81,42.18067
2016-11-04 03:00:00,39.5,39.447468
2016-11-04 04:00:00,42.11,43.209282
2016-11-04 05:00:00,40.9,51.1885
2016-11-04 06:00:00,46.650000000000006,60.98721
2016-11-04 07:00:00,67.61,68.87013
2016-11-04 08:00:00,127.35000000000001,113.06589
2016-11-04 09:00:00,144.51,112.672386
2016-11-04 10:00:00,128.83,122.97062
2016-11-04 11:00:00,108.46000000000001,114.14345
2016-11-04 12:00:00,104.85,107.18946
2016-11-04 13:00:00,97.4,108.85847
2016-11-04 14:00:00,86.39,108.462555
2016-11-04 15:00:00,78.35,96.195305
2016-11-04 16:00:00,64.24000000000001,80.63856
2016-11-04 17:00:00,63.46999999999999,77.20131
2016-11-04 18:00:00,55.15,59.314312
2016-11-04 19:00:00,42.32000000000001,58.733437
2016-11-04 20:00:00,40.92,51.949486
2016-11-04 21:00:00,36.36,55.591854
2016-11-04 22:00:00,39.42,58.02421
2016-11-04 23:00:00,36.19,51.70289
2016-11-05 00:00:00,33.67,48.551678
2016-11-05 01:00:00,31.95,46.321064
2016-11-05 02:00:00,30.640000000000004,40.38679
2016-11-05 03:00:00,30.29,38.283943
2016-11-05 04:00:00,29.72,41.228058
2016-11-05 05:00:00,36.16,48.777096
2016-11-05 06:00:00,41.33,59.76135
2016-11-05 07:00:00,53.2,64.53833
2016-11-05 08:00:00,117.29,104.60427
2016-11-05 09:00:00,127.05000000000003,102.30502
2016-11-05 10:00:00,93.74,114.27402
2016-11-05 11:00:00,84.96000000000001,105.13706
2016-11-05 12:00:00,100.08000000000001,100.52848
2016-11-05 13:00:00,87.77000000000001,101.59762
2016-11-05 14:00:00,65.05,100.31716
2016-11-05 15:00:00,55.959999999999994,90.69602
2016-11-05 16:00:00,50.75,76.33399
2016-11-05 17:00:00,50.260000000000005,73.71074
2016-11-05 18:00:00,59.93999999999999,55.925358
2016-11-05 19:00:00,47.36,57.262455
2016-11-05 20:00:00,45.150000000000006,49.821255
2016-11-05 21:00:00,42.55,53.591656
2016-11-05 22:00:00,45.43,56.240402
2016-11-05 23:00:00,39.61,49.703205
2016-11-06 00:00:00,37.4,35.662384
2016-11-06 01:00:00,38.76,36.062527
2016-11-06 02:00:00,34.98,34.00624
2016-11-06 03:00:00,36.480000000000004,36.316048
2016-11-06 04:00:00,34.89,31.584896
2016-11-06 05:00:00,38.16,41.567635
2016-11-06 06:00:00,39.91,43.467255
2016-11-06 07:00:00,49.86,47.864243
2016-11-06 08:00:00,68.77000000000001,62.006783
2016-11-06 09:00:00,90.17999999999999,63.05877
2016-11-06 10:00:00,79.82,64.35001
2016-11-06 11:00:00,71.68,59.68842
2016-11-06 12:00:00,53.440000000000005,58.863537
2016-11-06 13:00:00,46.269999999999996,48.844345
2016-11-06 14:00:00,40.66,53.792805
2016-11-06 15:00:00,44.35,51.25503
2016-11-06 16:00:00,50.019999999999996,51.12698
2016-11-06 17:00:00,46.3,49.18573
2016-11-06 18:00:00,43.879999999999995,44.588238
2016-11-06 19:00:00,53.82000000000001,43.242943
2016-11-06 20:00:00,41.44,37.440384
2016-11-06 21:00:00,40.12,44.996815
2016-11-06 22:00:00,40.17,44.894882
2016-11-06 23:00:00,41.03,44.107613
2016-11-07 00:00:00,37.68,45.66899
2016-11-07 01:00:00,35.8,40.89099
2016-11-07 02:00:00,34.370000000000005,40.266014
2016-11-07 03:00:00,35.379999999999995,36.113785
2016-11-07 04:00:00,34.87,38.420475
2016-11-07 05:00:00,40.84,48.91866
2016-11-07 06:00:00,49.14000000000001,56.44387
2016-11-07 07:00:00,80.14,55.00453
2016-11-07 08:00:00,123.60999999999999,90.852936
2016-11-07 09:00:00,119.86000000000003,91.078835
2016-11-07 10:00:00,110.31000000000002,94.17218
2016-11-07 11:00:00,85.05999999999999,91.78185
2016-11-07 12:00:00,90.37,89.15925
2016-11-07 13:00:00,94.25,84.30312
2016-11-07 14:00:00,87.98,88.62866
2016-11-07 15:00:00,80.71000000000001,85.592316
2016-11-07 16:00:00,65.2,71.29535
2016-11-07 17:00:00,60.169999999999995,68.62445
2016-11-07 18:00:00,54.230000000000004,57.555866
2016-11-07 19:00:00,40.459999999999994,57.619255
2016-11-07 20:00:00,35.94,43.244858
2016-11-07 21:00:00,37.67,51.85558
2016-11-07 22:00:00,48.41,52.137054
2016-11-07 23:00:00,42.81,49.28348
2016-11-08 00:00:00,39.72,45.658592
2016-11-08 01:00:00,35.68,41.20674
2016-11-08 02:00:00,36.54,39.61187
2016-11-08 03:00:00,35.25,35.657135
2016-11-08 04:00:00,36.550000000000004,37.897987
2016-11-08 05:00:00,40.980000000000004,45.891205
2016-11-08 06:00:00,47.129999999999995,56.672028
2016-11-08 07:00:00,75.57,58.73204
2016-11-08 08:00:00,120.81,97.597206
2016-11-08 09:00:00,129.64000000000001,93.20399
2016-11-08 10:00:00,122.23000000000003,103.73202
2016-11-08 11:00:00,103.59,98.59041
2016-11-08 12:00:00,109.77000000000001,95.03724
2016-11-08 13:00:00,109.87,93.84672
2016-11-08 14:00:00,89.39999999999999,95.10924
2016-11-08 15:00:00,84.92,87.32251
2016-11-08 16:00:00,71.9,72.350685
2016-11-08 17:00:00,76.55,71.78836
2016-11-08 18:00:00,64.1,54.7805
2016-11-08 19:00:00,54.540000000000006,56.932438
2016-11-08 20:00:00,48.57,46.59335
2016-11-08 21:00:00,50.959999999999994,52.845665
2016-11-08 22:00:00,47.53,53.877197
2016-11-08 23:00:00,48.4,49.176613
2016-11-09 00:00:00,43.27,45.77636
2016-11-09 01:00:00,37.3,45.145535
2016-11-09 02:00:00,39.900000000000006,40.532734
2016-11-09 03:00:00,40.42,36.194202
2016-11-09 04:00:00,38.77,41.315254
2016-11-09 05:00:00,46.09000000000001,49.454628
2016-11-09 06:00:00,58.03000000000001,60.736378
2016-11-09 07:00:00,92.34,63.956516
2016-11-09 08:00:00,151.24,101.79629
2016-11-09 09:00:00,122.66000000000001,102.08136
2016-11-09 10:00:00,115.98000000000003,109.83278
2016-11-09 11:00:00,125.22,104.21915
2016-11-09 12:00:00,124.24000000000001,100.246826
2016-11-09 13:00:00,115.61,99.43294
2016-11-09 14:00:00,104.71999999999998,100.81561
2016-11-09 15:00:00,93.06,89.887215
2016-11-09 16:00:00,82.44,75.55756
2016-11-09 17:00:00,80.31,73.89566
2016-11-09 18:00:00,69.56,57.86257
2016-11-09 19:00:00,54.85000000000001,56.75996
2016-11-09 20:00:00,58.809999999999995,48.82821
2016-11-09 21:00:00,44.57999999999999,53.26436
2016-11-09 22:00:00,43.92,57.792545
2016-11-09 23:00:00,42.07,51.536304
2016-11-10 00:00:00,40.489999999999995,49.683483
2016-11-10 01:00:00,43.21,48.099293
2016-11-10 02:00:00,35.94,43.23247
2016-11-10 03:00:00,37.01,38.70564
2016-11-10 04:00:00,33.57,44.319862
2016-11-10 05:00:00,41.58,53.245342
2016-11-10 06:00:00,61.79,63.262596
2016-11-10 07:00:00,78.43,70.15703
2016-11-10 08:00:00,145.2,114.4697
2016-11-10 09:00:00,136.62,116.85576
2016-11-10 10:00:00,150.12,123.92001
2016-11-10 11:00:00,110.79000000000002,117.36425
2016-11-10 12:00:00,112.48000000000002,111.18523
2016-11-10 13:00:00,105.28,111.39005
2016-11-10 14:00:00,105.61000000000001,112.70543
2016-11-10 15:00:00,100.06,98.67593
2016-11-10 16:00:00,73.07000000000001,81.96737
2016-11-10 17:00:00,76.53,79.33882
2016-11-10 18:00:00,66.57000000000001,62.39048
2016-11-10 19:00:00,60.89,59.44407
2016-11-10 20:00:00,43.410000000000004,52.52481
2016-11-10 21:00:00,42.019999999999996,56.12251
2016-11-10 22:00:00,39.22,60.468792
2016-11-10 23:00:00,33.14,53.544342
2016-11-11 00:00:00,34.94,50.124546
2016-11-11 01:00:00,31.179999999999996,48.22436
2016-11-11 02:00:00,34.290000000000006,43.22621
2016-11-11 03:00:00,32.8,39.416027
2016-11-11 04:00:00,34.59,43.785343
2016-11-11 05:00:00,37.4,52.80895
2016-11-11 06:00:00,54.06,62.785553
2016-11-11 07:00:00,75.27,69.75023
2016-11-11 08:00:00,143.06,114.45362
2016-11-11 09:00:00,141.11,115.13014
2016-11-11 10:00:00,115.58000000000003,124.1487
2016-11-11 11:00:00,106.92999999999999,116.17469
2016-11-11 12:00:00,100.55,110.79763
2016-11-11 13:00:00,98.57000000000001,111.38067
2016-11-11 14:00:00,101.01,111.276634
2016-11-11 15:00:00,95.0,98.35737
2016-11-11 16:00:00,73.36,81.37575
2016-11-11 17:00:00,75.74000000000001,78.844154
2016-11-11 18:00:00,62.400000000000006,61.66687
2016-11-11 19:00:00,46.93000000000001,59.592983
2016-11-11 20:00:00,44.08,52.729042
2016-11-11 21:00:00,49.08,55.843388
2016-11-11 22:00:00,43.620000000000005,60.022007
2016-11-11 23:00:00,40.69,52.46138
2016-11-12 00:00:00,39.47,47.51503
2016-11-12 01:00:00,31.430000000000003,46.430008
2016-11-12 02:00:00,35.12,41.40347
2016-11-12 03:00:00,33.59,38.15464
2016-11-12 04:00:00,36.86,41.36353
2016-11-12 05:00:00,42.86,50.205963
2016-11-12 06:00:00,51.44,61.047096
2016-11-12 07:00:00,83.12,65.210304
2016-11-12 08:00:00,146.62000000000003,105.55226
2016-11-12 09:00:00,144.39,103.996475
2016-11-12 10:00:00,113.34,114.39184
2016-11-12 11:00:00,95.26,106.32512
2016-11-12 12:00:00,96.86,103.304855
2016-11-12 13:00:00,83.01,103.0734
2016-11-12 14:00:00,82.94,102.30791
2016-11-12 15:00:00,57.709999999999994,92.11414
2016-11-12 16:00:00,40.39,76.39481
2016-11-12 17:00:00,36.2,74.97328
2016-11-12 18:00:00,55.08,58.28058
2016-11-12 19:00:00,51.95,57.803062
2016-11-12 20:00:00,45.879999999999995,50.544647
2016-11-12 21:00:00,48.02,53.728916
2016-11-12 22:00:00,47.20000000000001,58.14151
2016-11-12 23:00:00,44.019999999999996,50.450745
2016-11-13 00:00:00,40.76,37.99932
2016-11-13 01:00:00,37.620000000000005,37.94018
2016-11-13 02:00:00,37.480000000000004,35.75772
2016-11-13 03:00:00,38.03,37.105865
2016-11-13 04:00:00,36.769999999999996,33.762337
2016-11-13 05:00:00,38.49,44.136116
2016-11-13 06:00:00,40.64,48.006817
2016-11-13 07:00:00,47.09,50.387123
2016-11-13 08:00:00,51.28,68.42102
2016-11-13 09:00:00,53.94,69.14257
2016-11-13 10:00:00,52.449999999999996,71.81792
2016-11-13 11:00:00,54.04,66.560905
2016-11-13 12:00:00,46.37,66.885284
2016-11-13 13:00:00,42.71,57.511707
2016-11-13 14:00:00,39.849999999999994,61.209457
2016-11-13 15:00:00,45.99000000000001,58.902233
2016-11-13 16:00:00,46.790000000000006,56.02561
2016-11-13 17:00:00,47.86000000000001,53.97332
2016-11-13 18:00:00,47.37,48.473312
2016-11-13 19:00:00,51.31,46.05824
2016-11-13 20:00:00,47.20000000000001,39.714252
2016-11-13 21:00:00,50.84,46.270245
2016-11-13 22:00:00,44.63,47.369457
2016-11-13 23:00:00,46.129999999999995,44.775215
2016-11-14 00:00:00,39.14,46.1782
2016-11-14 01:00:00,36.43,41.411354
2016-11-14 02:00:00,36.72,40.38141
2016-11-14 03:00:00,36.910000000000004,37.257507
2016-11-14 04:00:00,40.39,39.109734
2016-11-14 05:00:00,44.88999999999999,48.721367
2016-11-14 06:00:00,47.62999999999999,57.19944
2016-11-14 07:00:00,66.17999999999999,55.096737
2016-11-14 08:00:00,113.11,93.1841
2016-11-14 09:00:00,102.09999999999998,91.59794
2016-11-14 10:00:00,112.74,96.712006
2016-11-14 11:00:00,101.84,93.84203
2016-11-14 12:00:00,108.10999999999999,92.055626
2016-11-14 13:00:00,109.71000000000001,87.94789
