,true,pred
2016-10-28 00:00:00,37.51,38.56178
2016-10-28 01:00:00,36.76,37.674088
2016-10-28 02:00:00,35.43,37.006824
2016-10-28 03:00:00,36.010000000000005,36.461914
2016-10-28 04:00:00,37.13,29.482122
2016-10-28 05:00:00,44.51,38.33163
2016-10-28 06:00:00,62.18,61.286377
2016-10-28 07:00:00,71.01,75.42344
2016-10-28 08:00:00,90.47000000000001,87.360954
2016-10-28 09:00:00,102.32,96.50044
2016-10-28 10:00:00,88.1,88.651245
2016-10-28 11:00:00,88.82,88.78736
2016-10-28 12:00:00,102.55,90.40518
2016-10-28 13:00:00,95.76999999999998,90.26137
2016-10-28 14:00:00,94.99000000000001,89.39347
2016-10-28 15:00:00,87.83,95.49222
2016-10-28 16:00:00,94.85,91.67672
2016-10-28 17:00:00,96.12,86.90938
2016-10-28 18:00:00,98.59,83.3854
2016-10-28 19:00:00,77.49000000000001,70.64701
2016-10-28 20:00:00,65.48,62.28513
2016-10-28 21:00:00,59.27,63.401825
2016-10-28 22:00:00,53.62,56.340847
2016-10-28 23:00:00,49.17,56.022198
2016-10-29 00:00:00,38.54,39.76426
2016-10-29 01:00:00,36.36,38.099533
2016-10-29 02:00:00,35.81,37.55891
2016-10-29 03:00:00,36.809999999999995,36.9321
2016-10-29 04:00:00,38.88,29.953741
2016-10-29 05:00:00,44.35,39.470165
2016-10-29 06:00:00,66.84,62.409393
2016-10-29 07:00:00,82.82,77.0579
2016-10-29 08:00:00,89.71000000000001,90.07344
2016-10-29 09:00:00,103.19,99.621666
2016-10-29 10:00:00,99.43,91.45399
2016-10-29 11:00:00,91.02,91.96858
2016-10-29 12:00:00,96.76,93.18781
2016-10-29 13:00:00,83.97,93.24619
2016-10-29 14:00:00,82.83,92.44988
2016-10-29 15:00:00,85.38,98.489075
2016-10-29 16:00:00,79.05999999999999,94.22131
2016-10-29 17:00:00,79.83999999999999,89.47973
2016-10-29 18:00:00,78.95,85.36143
2016-10-29 19:00:00,69.37,71.64808
2016-10-29 20:00:00,68.83,63.592297
2016-10-29 21:00:00,62.50999999999999,65.052826
2016-10-29 22:00:00,54.31,58.21998
2016-10-29 23:00:00,56.04,56.780296
2016-10-30 00:00:00,52.72,39.66038
2016-10-30 01:00:00,38.53,36.52489
2016-10-30 02:00:00,38.95,34.51189
2016-10-30 03:00:00,40.37,36.946594
2016-10-30 04:00:00,42.39,32.205116
2016-10-30 05:00:00,45.54,38.060684
2016-10-30 06:00:00,60.44,57.761456
2016-10-30 07:00:00,77.59,74.18631
2016-10-30 08:00:00,76.2,71.83503
2016-10-30 09:00:00,75.93,75.55775
2016-10-30 10:00:00,72.09,75.8642
2016-10-30 11:00:00,74.00999999999999,69.96875
2016-10-30 12:00:00,74.55,80.6459
2016-10-30 13:00:00,73.76,82.636345
2016-10-30 14:00:00,64.42,82.42492
2016-10-30 15:00:00,64.73,83.8994
2016-10-30 16:00:00,64.06,79.216545
2016-10-30 17:00:00,65.46,78.80733
2016-10-30 18:00:00,73.35,78.50734
2016-10-30 19:00:00,60.879999999999995,70.37471
2016-10-30 20:00:00,61.010000000000005,62.18098
2016-10-30 21:00:00,56.24000000000001,60.941036
2016-10-30 22:00:00,52.46999999999999,57.15067
2016-10-30 23:00:00,48.25,57.58377
2016-10-31 00:00:00,37.15,41.529724
2016-10-31 01:00:00,36.8,38.431557
2016-10-31 02:00:00,39.03,35.819447
2016-10-31 03:00:00,40.92999999999999,38.23113
2016-10-31 04:00:00,41.150000000000006,33.30877
2016-10-31 05:00:00,45.339999999999996,43.22428
2016-10-31 06:00:00,64.91,61.33262
2016-10-31 07:00:00,77.22999999999999,81.720924
2016-10-31 08:00:00,101.49000000000001,84.25452
2016-10-31 09:00:00,105.18999999999998,90.12345
2016-10-31 10:00:00,102.96,88.977844
2016-10-31 11:00:00,100.55,83.568726
2016-10-31 12:00:00,104.35999999999997,92.41395
2016-10-31 13:00:00,105.86999999999999,94.14819
2016-10-31 14:00:00,95.83,95.578354
2016-10-31 15:00:00,91.78,97.4728
2016-10-31 16:00:00,95.3,92.19236
2016-10-31 17:00:00,98.83,91.99188
2016-10-31 18:00:00,89.78,86.90805
2016-10-31 19:00:00,76.03,74.17511
2016-10-31 20:00:00,71.0,65.71914
2016-10-31 21:00:00,69.21000000000001,66.55762
2016-10-31 22:00:00,54.00000000000001,62.803997
2016-10-31 23:00:00,54.059999999999995,62.208763
2016-11-01 00:00:00,42.160000000000004,42.278305
2016-11-01 01:00:00,41.370000000000005,41.741676
2016-11-01 02:00:00,45.120000000000005,38.131424
2016-11-01 03:00:00,45.55,38.775475
2016-11-01 04:00:00,44.28,32.42954
2016-11-01 05:00:00,53.41,44.347202
2016-11-01 06:00:00,60.460000000000015,64.95338
2016-11-01 07:00:00,76.42,84.63331
2016-11-01 08:00:00,109.12,102.59525
2016-11-01 09:00:00,118.17000000000002,113.52158
2016-11-01 10:00:00,110.25999999999999,105.992165
2016-11-01 11:00:00,107.94,105.717735
2016-11-01 12:00:00,113.97999999999998,105.88038
2016-11-01 13:00:00,112.40999999999998,106.109344
