,true,pred
2016-10-28 00:00:00,181.35000000000002,172.49435
2016-10-28 01:00:00,175.95,164.86928
2016-10-28 02:00:00,176.67,166.74173
2016-10-28 03:00:00,174.95999999999998,162.21024
2016-10-28 04:00:00,180.26999999999998,160.64069
2016-10-28 05:00:00,200.88,185.30719
2016-10-28 06:00:00,213.57,191.8522
2016-10-28 07:00:00,235.8,214.3926
2016-10-28 08:00:00,299.88,267.6234
2016-10-28 09:00:00,317.61,292.2369
2016-10-28 10:00:00,301.86,310.30057
2016-10-28 11:00:00,305.64,317.2308
2016-10-28 12:00:00,304.38,292.90878
2016-10-28 13:00:00,273.69,280.96133
2016-10-28 14:00:00,294.57,291.84293
2016-10-28 15:00:00,281.61,282.15836
2016-10-28 16:00:00,273.96000000000004,272.94507
2016-10-28 17:00:00,276.84,278.44284
2016-10-28 18:00:00,231.20999999999998,246.88545
2016-10-28 19:00:00,198.35999999999999,216.23347
2016-10-28 20:00:00,189.81,208.6749
2016-10-28 21:00:00,179.27999999999997,203.64645
2016-10-28 22:00:00,167.04,192.80089
2016-10-28 23:00:00,164.34,171.33781
2016-10-29 00:00:00,182.25,172.63464
2016-10-29 01:00:00,179.01000000000002,165.6149
2016-10-29 02:00:00,179.90999999999997,167.76765
2016-10-29 03:00:00,176.48999999999998,162.15271
2016-10-29 04:00:00,180.63,161.61786
2016-10-29 05:00:00,188.37,185.42392
2016-10-29 06:00:00,208.8,192.82793
2016-10-29 07:00:00,232.02,216.15837
2016-10-29 08:00:00,276.2099999999999,270.52493
2016-10-29 09:00:00,320.85,295.48227
2016-10-29 10:00:00,319.14,313.55176
2016-10-29 11:00:00,297.0,320.06818
2016-10-29 12:00:00,286.11,296.71393
2016-10-29 13:00:00,239.4,283.968
2016-10-29 14:00:00,220.68000000000004,294.1648
2016-10-29 15:00:00,211.05,285.18875
2016-10-29 16:00:00,209.07,276.07428
2016-10-29 17:00:00,216.99,281.6804
2016-10-29 18:00:00,225.36,249.1253
2016-10-29 19:00:00,207.36,218.284
2016-10-29 20:00:00,201.15,209.83508
2016-10-29 21:00:00,193.41000000000003,205.12653
2016-10-29 22:00:00,177.75,194.15611
2016-10-29 23:00:00,174.33,172.68678
2016-10-30 00:00:00,175.32,177.68126
2016-10-30 01:00:00,171.35999999999999,162.7663
2016-10-30 02:00:00,172.8,171.21863
2016-10-30 03:00:00,167.13,164.54732
2016-10-30 04:00:00,173.88,159.50432
2016-10-30 05:00:00,182.97,182.92807
2016-10-30 06:00:00,198.26999999999998,183.15059
2016-10-30 07:00:00,209.34000000000003,193.73944
2016-10-30 08:00:00,214.74,230.37526
2016-10-30 09:00:00,221.85000000000002,244.58852
2016-10-30 10:00:00,224.73,269.60532
2016-10-30 11:00:00,218.16,260.8855
2016-10-30 12:00:00,226.89,252.02533
2016-10-30 13:00:00,226.98000000000005,246.55846
