,Dat_AD,Dat_AH,Dat_AN,Dat_AP,Dat_CB,Dat_CH,Dat_CK,Dat_CM,Dat_CT,Dat_DH,Dat_DK,Dat_DL,Dat_DS,Dat_HC,Dat_HH,Dat_HM,Dat_HS,Dat_GE,Dat_GF,Dat_GI,Dat_GO,month,day,hour,minute,calendar
2016-10-28 00:00:00,467.66364,250.99481,424.00845,315.83582,15.854674,69.03332,210.31801,64.26614,163.30406,8.302197,130.89746,290.93732,1460.3822,40.79487,38.56178,21.765564,172.49435,344.1803,13.849105,6.674715,29.430847,,,,,
2016-10-28 01:00:00,416.87042,212.27016,369.55856,272.44565,12.401426,65.946,191.71573,57.165916,150.65262,6.0914927,151.6807,200.54613,1410.6024,41.528187,37.674088,26.305916,164.86928,346.19055,15.101938,7.5485706,26.82016,,,,,
2016-10-28 02:00:00,394.0931,200.43536,337.64206,247.92188,12.105394,60.08615,182.08624,65.97743,138.4293,3.3225398,136.06255,209.45036,1392.8501,37.872498,37.006824,27.105953,166.74173,347.15347,15.313379,6.814455,20.644104,,,,,
2016-10-28 03:00:00,381.50882,190.11325,325.49445,235.13402,12.284986,63.544548,177.18121,52.45625,111.55551,5.0843983,132.62003,217.79398,1340.7523,36.47964,36.461914,27.078482,162.21024,345.5412,14.193771,7.4836717,27.131346,,,,,
2016-10-28 04:00:00,380.09412,180.51793,316.98883,232.89742,12.071809,59.435993,190.50543,58.975327,112.62939,6.595934,117.15358,184.60107,1317.1038,36.958057,29.482122,21.230564,160.64069,346.58542,15.2643175,7.916329,23.482054,,,,,
2016-10-28 05:00:00,396.85242,189.79816,320.63892,242.9523,12.545688,60.27399,174.82121,65.937515,104.15076,3.4567833,115.03333,167.94019,1409.1344,45.62993,38.33163,19.641077,185.30719,347.13257,16.442146,6.7232428,21.040848,,,,,
2016-10-28 06:00:00,436.46613,225.26347,391.7228,281.7336,12.719169,59.667088,187.22484,58.862244,111.41167,5.7267075,129.83304,188.67233,1228.056,57.257347,61.286377,32.231083,191.8522,345.60815,18.563663,7.688182,23.62426,,,,,
2016-10-28 07:00:00,513.52423,276.68256,517.2743,350.59802,15.597366,80.01861,183.21725,80.036644,118.22687,4.4774218,172.03499,233.40553,1535.0769,57.53155,75.42344,51.35206,214.3926,349.14767,20.312748,10.425491,39.854256,,,,,
2016-10-28 08:00:00,499.92493,260.58945,488.07748,343.27377,24.941648,75.654236,215.82936,101.537445,153.41151,8.386352,336.8252,315.55038,2440.5154,88.918594,87.360954,97.29599,267.6234,350.79996,26.134253,14.62219,69.8447,,,,,
2016-10-28 09:00:00,464.54514,246.536,454.46085,315.32806,36.634888,101.9685,220.77037,202.05397,156.60876,31.276325,1171.2593,440.4501,3924.3152,84.39013,96.50044,130.72882,292.2369,359.2158,44.612595,21.93907,91.493095,,,,,
