,total,chk_3,chk_4,ratio3
ce9b51bb,350.0,21,18,0.06
4ab7439b,351.0,19,16,0.05413105413105413
e12179fe,353.0,21,16,0.059490084985835696
4bcdccad,349.0,22,16,0.06303724928366762
8d30029d,350.0,15,8,0.04285714285714286
15ab41f1,350.0,8,6,0.022857142857142857
455819b6,350.0,11,11,0.03142857142857143
4c7f6b4a,350.0,16,11,0.045714285714285714
8e0f71b2,351.0,18,17,0.05128205128205128
27d758c1,351.0,22,14,0.06267806267806268
0e1fbcf1,355.0,22,20,0.061971830985915494
6f08eb6d,350.0,23,18,0.06571428571428571
a3a7528b,351.0,21,18,0.05982905982905983
f924cbca,350.0,14,12,0.04
534a957e,350.0,21,13,0.06
5394c5f0,351.0,17,14,0.04843304843304843
26e6cb8e,350.0,22,17,0.06285714285714286
a8942d92,350.0,17,13,0.04857142857142857
e3a4e844,351.0,15,10,0.042735042735042736
3f2a8842,351.0,16,12,0.045584045584045586
821095af,350.0,15,13,0.04285714285714286
714ee9b1,351.0,13,10,0.037037037037037035
2f5fe654,351.0,17,13,0.04843304843304843
043b977c,353.0,20,18,0.056657223796033995
d1ad2a27,350.0,18,16,0.05142857142857143
2a8e5b73,350.0,13,13,0.037142857142857144
54c8f6f7,351.0,17,16,0.04843304843304843
89dead05,351.0,18,17,0.05128205128205128
247fa44e,351.0,20,14,0.05698005698005698
3fd19029,350.0,15,10,0.04285714285714286
e16d2eda,,,,
ac4a63cf,,,,
32b1e287,,,,
73379231,,,,
377e9cbc,,,,
785334cc,,,,
b77bf5ec,,,,
b458133d,,,,
f1bce5fa,,,,
4e34d4ee,,,,
9240b337,,,,
f25087fd,,,,
e646acb2,,,,
591e6d0d,,,,
2262841e,,,,
303257ec,,,,
84998e88,,,,
2c3f0135,,,,
87796c48,,,,
0bd28ae4,,,,
32ef3297,,,,
6ecf0f86,,,,
4962fba7,,,,
c58f7727,,,,
946547ea,,,,
50dbe99c,,,,
b127284a,,,,
2892688f,,,,
764f6899,,,,
84392faf,,,,
5440118a,,,,
e7233839,,,,
fb7da1c3,,,,
61c2750e,,,,
1d2bb46e,,,,
e77b9db2,,,,
a44d108d,,,,
0c2fb647,,,,
6e88caff,,,,
1cfc27d5,,,,
a106c6d1,,,,
d279fb91,,,,
919b513a,,,,
8ee3ab12,,,,
ea716f80,,,,
4066c7c8,,,,
9337170c,,,,
ed2f7809,,,,
0ea99db5,,,,
2695bdb2,,,,
374f290a,,,,
b025bb12,,,,
30eb38b0,,,,
e4af26b1,,,,
5c264db7,,,,
ddd9a2ae,,,,
677471d7,,,,
04841271,,,,
e76f8903,,,,
876a1ef2,,,,
aeb5c33d,,,,
43bdddf9,,,,
b4055c3a,,,,
420dba4a,,,,
8979d4a6,,,,
b43ec452,,,,
f444d7e4,,,,
8e2980fc,,,,
4bc26d9a,,,,
f1b43560,,,,
fcf9e955,,,,
414f50f4,,,,
ed374d4e,,,,
f6d9fa0a,,,,
3f2db7f5,,,,
f1b62910,,,,
341a968b,,,,
c4b7d1f4,,,,
92abcab9,,,,
1cc357fa,,,,
e4c3e583,,,,
4ad30f25,,,,
6beada44,,,,
e1c71ddf,,,,
ef64427d,,,,
96e4f647,,,,
da46faee,,,,
7444fa7c,,,,
4f094df2,,,,
079ee35c,,,,
c88c1e27,,,,
766a6ae4,,,,
c9e46380,,,,
ea92e756,,,,
897f70dd,,,,
de681943,,,,
97cfaffd,,,,
4ede68d0,,,,
e4c0071f,,,,
875e380f,,,,
a97dd119,,,,
a4fd7540,,,,
a4918239,,,,
4659ecd6,,,,
cd5ceb9c,,,,
7d66b13a,,,,
c0d0c687,,,,
af9578f9,,,,
230baf99,,,,
24359168,,,,
14d73c8b,,,,
17d22ba5,,,,
5132eabe,,,,
4ad5c508,,,,
6573fd8b,,,,
6b34669c,,,,
495ca4ce,,,,
56d4d56f,,,,
b7b98099,,,,
fac0f2c7,,,,
d1b70312,,,,
d92ed174,,,,
be71ab35,,,,
5004f272,,,,
425b50b0,,,,
d546719c,,,,
ee46b6a5,,,,
5eca18db,,,,
0ec72208,,,,
e2b63131,,,,
65e8748e,,,,
251c0cf3,,,,
7ad899c2,,,,
db677a50,,,,
c5fdb2ef,,,,
c3eaaeee,,,,
f6e7518b,,,,
3c6f86da,,,,
d4d41671,,,,
587008a9,,,,
c68c77f9,,,,
cfb75faa,,,,
10f55efe,,,,
cf561f7e,,,,
786bf1dc,,,,
c531b74a,,,,
cc17a31a,,,,
8f9011fb,,,,
