,total,chk_3,chk_4,ratio3
65c85549,287.0,4,1,0.013937282229965157
697f51ea,287.0,2,1,0.006968641114982578
0b44a013,288.0,1,1,0.003472222222222222
67d24608,287.0,3,3,0.010452961672473868
f04bf580,251.0,8,7,0.03187250996015936
f0f18984,251.0,3,1,0.01195219123505976
1570938d,287.0,3,1,0.010452961672473868
e45d9aac,287.0,6,4,0.020905923344947737
a533c476,287.0,3,2,0.010452961672473868
a01c784d,287.0,3,1,0.010452961672473868
95f7249d,251.0,5,3,0.0199203187250996
76119acd,251.0,3,2,0.01195219123505976
e0819414,286.0,1,1,0.0034965034965034965
712b238c,286.0,4,4,0.013986013986013986
cc350417,287.0,5,1,0.017421602787456445
b2024c08,287.0,6,2,0.020905923344947737
71d17c26,251.0,3,2,0.01195219123505976
de076f69,251.0,4,3,0.01593625498007968
7061488a,287.0,3,2,0.010452961672473868
2e3ae31b,287.0,5,3,0.017421602787456445
42ad63ff,287.0,2,2,0.006968641114982578
9d8ab46d,287.0,5,4,0.017421602787456445
b607cbf1,251.0,2,2,0.00796812749003984
d4c289cb,251.0,9,5,0.035856573705179286
2ed77f94,287.0,8,5,0.027874564459930314
2172fa4f,287.0,6,4,0.020905923344947737
8ea5ce8a,287.0,1,1,0.003484320557491289
5081b51b,287.0,2,1,0.006968641114982578
70898432,251.0,4,2,0.01593625498007968
aa2fb7dc,251.0,3,2,0.01195219123505976
8ff5b93d,,,,
208a3213,,,,
d5fee81a,,,,
acb5cf87,,,,
172b4b4f,,,,
d6e7074d,,,,
efa4a7d6,,,,
b977b88d,,,,
ffbaec3b,,,,
54b192f5,,,,
be2b167a,,,,
64a62e54,,,,
dee003a5,,,,
77c97c25,,,,
458aacd2,,,,
fd4fc5e6,,,,
c9eee9e3,,,,
7db45dc7,,,,
f0754e8b,,,,
8e19900a,,,,
79535118,,,,
4bdcf103,,,,
889bf23b,,,,
16a35b98,,,,
02197ec3,,,,
c61aff9f,,,,
354e57b9,,,,
30bffc6b,,,,
9ff3032f,,,,
e9626153,,,,
53f9ac09,,,,
2a522f6a,,,,
294b4b1e,,,,
e75ede6d,,,,
e0de0f2f,,,,
7b8c8748,,,,
f29bdcd1,,,,
2826a6f7,,,,
ce5678d2,,,,
014663a2,,,,
1798d3bd,,,,
36a607a0,,,,
5ada0156,,,,
f5bcf258,,,,
51759ce7,,,,
3b6d288f,,,,
91562fdb,,,,
73f71525,,,,
b85a2965,,,,
6db15d7a,,,,
86e84f91,,,,
dfa849a7,,,,
8e8172cb,,,,
22f1cf29,,,,
e91e0f2f,,,,
d3484200,,,,
1c42c074,,,,
78e324da,,,,
94ca7a8c,,,,
e6b68db1,,,,
fe733692,,,,
bbed878a,,,,
66808f58,,,,
d3f265db,,,,
35518746,,,,
72819758,,,,
e51e117b,,,,
63f08d16,,,,
02a538e3,,,,
c29a71c1,,,,
236a7c74,,,,
818e400c,,,,
7f995da6,,,,
f278df34,,,,
27efbaa5,,,,
d40ad187,,,,
1a67c7e2,,,,
6dcf0c0f,,,,
da5ff3df,,,,
fe747929,,,,
3b04875d,,,,
a54b534b,,,,
fb41e0ba,,,,
88e46b7a,,,,
4779fee5,,,,
935e1839,,,,
d67140c3,,,,
d0b6ba00,,,,
cd3a9133,,,,
71060a83,,,,
b2acedca,,,,
2672f869,,,,
6c9a85ce,,,,
81ec08d1,,,,
fb1ab246,,,,
2cbbaf30,,,,
912bd449,,,,
f5873460,,,,
e370577a,,,,
4dd56e34,,,,
09bf0843,,,,
647b14c5,,,,
123e3401,,,,
021092e2,,,,
2218bfff,,,,
312c379d,,,,
0d7f49ab,,,,
228993a6,,,,
81f707a7,,,,
eb33f346,,,,
51a4b724,,,,
1944e1ea,,,,
bf8f1859,,,,
4dc0b70d,,,,
caadb159,,,,
5037c9de,,,,
905540a1,,,,
6aa2e173,,,,
112a61bd,,,,
21261650,,,,
ffed801c,,,,
e90d3110,,,,
06b8fe62,,,,
06061f9c,,,,
4357d76e,,,,
b171f5d5,,,,
a3758218,,,,
30d23136,,,,
e349249c,,,,
347b6060,,,,
827d64c5,,,,
ddcdbd80,,,,
8b42bbde,,,,
bb109579,,,,
4e74ea17,,,,
851e591d,,,,
8e3f395a,,,,
3e56fada,,,,
80443ea1,,,,
6b6be3aa,,,,
6ca478a5,,,,
935dc0fc,,,,
4fdf2244,,,,
9da78f79,,,,
6d01d9d6,,,,
9e0b34b9,,,,
8c51a95a,,,,
34b5dddf,,,,
8ae47f0c,,,,
13ee0d15,,,,
7276972b,,,,
8c5288a0,,,,
bbd648ab,,,,
bbd58f32,,,,
6ee2b735,,,,
e44f0190,,,,
fd8b085b,,,,
631e2e05,,,,
75cbddee,,,,
c6875027,,,,
119ea7fe,,,,
ff9b0220,,,,
c045c501,,,,
8c6ccef9,,,,
6e8bd743,,,,
dd3753ed,,,,
ad8ab2d7,,,,
3fc5d4c6,,,,
de412495,,,,
9259d40f,,,,
591cedf0,,,,
e80bf4b2,,,,
c50a45c3,,,,
03f3a853,,,,
788f732b,,,,
e2bd7021,,,,
b748ae03,,,,
1214a43f,,,,
0e0c73e2,,,,
214f612c,,,,
4b747e99,,,,
955f5ca4,,,,
f7a45cdd,,,,
8f2b2a67,,,,
21ba3a4b,,,,
1158f1e8,,,,
203c66c7,,,,
9ed1e258,,,,
2835ff7e,,,,
d8af6a51,,,,
962d2ad4,,,,
ad11fe20,,,,
c964de64,,,,
f229761e,,,,
ece4eb30,,,,
832e1518,,,,
ace3a0e1,,,,
ab003495,,,,
150c65e1,,,,
7bb322c5,,,,
b04fa11f,,,,
3badb049,,,,
f96747eb,,,,
dc2ca066,,,,
cbfe2b97,,,,
ebfa8126,,,,
eaf751d0,,,,
bcb747d5,,,,
1470be08,,,,
d8b7364c,,,,
9261ee25,,,,
a550e701,,,,
60354beb,,,,
8e7345f4,,,,
1ebf02bc,,,,
b2f87a5b,,,,
01cc3806,,,,
20e055d1,,,,
6ffb47ec,,,,
23f62d90,,,,
03b17bbb,,,,
ef406b2d,,,,
594b3ecf,,,,
f915427a,,,,
0403be1c,,,,
950d99bc,,,,
5da7c141,,,,
fd18feed,,,,
c8fa0a2a,,,,
5669d51f,,,,
d10421db,,,,
7901ad31,,,,
ecbab192,,,,
b61bc1ec,,,,
f4504132,,,,
6b17c1f1,,,,
2eb26618,,,,
e7c1dc92,,,,
c21e08b4,,,,
3da73c94,,,,
4e91d890,,,,
74901d4b,,,,
18866021,,,,
47485184,,,,
94be3f22,,,,
be07aeb3,,,,
23c4be95,,,,
84b30c2c,,,,
4d7324df,,,,
22a3cfd8,,,,
fc3eea1f,,,,
42f8ee42,,,,
7810e343,,,,
b4ebf677,,,,
ab7a71d4,,,,
3b3fe2cc,,,,
ee969a43,,,,
e1686f66,,,,
410bfa7a,,,,
c75e3463,,,,
c0ea4412,,,,
2cac94fd,,,,
e792f43f,,,,
c24d1346,,,,
f345d8a5,,,,
7e9984ca,,,,
a3cbeaf2,,,,
91af6a6b,,,,
874f1636,,,,
7e9d904e,,,,
f8f2375c,,,,
821fb325,,,,
