,total,chk_3,chk_4,ratio3
2eac9927,403.0,50,42,0.12406947890818859
99ba64c4,340.0,58,45,0.17058823529411765
8860dac5,400.0,59,46,0.1475
40a7a586,349.0,59,41,0.16905444126074498
4213fa85,400.0,63,45,0.1575
6fa985c4,350.0,36,29,0.10285714285714286
abc6f4cd,404.0,66,57,0.16336633663366337
0db0ff15,351.0,58,50,0.16524216524216523
27fb37f5,406.0,52,40,0.12807881773399016
fce33cdc,352.0,52,42,0.14772727272727273
83856c10,383.0,39,29,0.10182767624020887
f8e08d1a,347.0,36,32,0.1037463976945245
f79074e9,407.0,50,45,0.12285012285012285
1bb3c6e5,349.0,65,50,0.18624641833810887
412b0ca8,404.0,44,32,0.10891089108910891
b47ab388,349.0,54,40,0.15472779369627507
c22fda34,327.0,55,40,0.16819571865443425
6238723f,347.0,56,52,0.16138328530259366
6676400d,407.0,46,39,0.11302211302211303
ac4b4cd9,349.0,59,45,0.16905444126074498
8048361b,401.0,37,27,0.09226932668329177
d49c9ca2,353.0,50,41,0.141643059490085
8b240481,404.0,48,40,0.1188118811881188
83c761e1,349.0,46,39,0.1318051575931232
8d3930e1,359.0,39,34,0.10863509749303621
8f855bca,350.0,59,55,0.16857142857142857
2cd17cf3,403.0,49,42,0.12158808933002481
35364d49,349.0,59,49,0.16905444126074498
dd8bf639,403.0,55,48,0.13647642679900746
0cbf5721,355.0,49,40,0.13802816901408452
4179bf77,,,,
c295aa79,,,,
d38ea118,,,,
1b34f315,,,,
dbf31509,,,,
9c1c4fae,,,,
ac6f757e,,,,
c81bb796,,,,
e693014c,,,,
d4735a54,,,,
3fedbbd5,,,,
25d349b8,,,,
861300de,,,,
03761084,,,,
f2e109bc,,,,
a25cedcf,,,,
1807847a,,,,
c5fcee7b,,,,
2863bf8f,,,,
600f9789,,,,
8f918193,,,,
e52f3910,,,,
f4357429,,,,
af27f1df,,,,
e0e0b0f3,,,,
6f662030,,,,
0ba0117f,,,,
0767ba68,,,,
88cc93ef,,,,
d8dba0d9,,,,
c27a01e1,,,,
911c03d0,,,,
394547bc,,,,
c438c608,,,,
fdab2305,,,,
de935087,,,,
7594eae2,,,,
df5e9fb4,,,,
0cb5857b,,,,
49d014b0,,,,
9a9d50b5,,,,
99f0078b,,,,
642e908b,,,,
77ec71ba,,,,
fb77504e,,,,
976f9b3a,,,,
26b88d42,,,,
40041dd7,,,,
7ad20a9a,,,,
a98f2288,,,,
7d39a5b1,,,,
23bbf01b,,,,
1f8e4b65,,,,
af603311,,,,
d3432082,,,,
46b91194,,,,
fef9d276,,,,
13255b08,,,,
bcb52697,,,,
84e77faf,,,,
da25f1ee,,,,
8e043cd6,,,,
0b1df638,,,,
ba8dab6d,,,,
efc6430c,,,,
1e372ddc,,,,
204d953f,,,,
b34329de,,,,
d0320874,,,,
834f1c6b,,,,
7eb67de1,,,,
e7ed3d6d,,,,
68ee8603,,,,
49978415,,,,
d5a0b346,,,,
8bd84aa9,,,,
219cf237,,,,
2dcdb86b,,,,
e0dd7ddb,,,,
ca27bb96,,,,
e7d186de,,,,
93faad19,,,,
7a63cc1a,,,,
60966220,,,,
21491879,,,,
786cc3f4,,,,
5227f8ae,,,,
f7c672c3,,,,
bdeea371,,,,
67e66095,,,,
58627709,,,,
d5b7439e,,,,
29f75ced,,,,
627072c4,,,,
6ddd2175,,,,
2f6a88ff,,,,
5cd75bd2,,,,
7d5266a0,,,,
7eb14d4b,,,,
b67a8f46,,,,
be0efbde,,,,
36182656,,,,
9d636927,,,,
d51eeaf1,,,,
e5f5aadd,,,,
710edd16,,,,
3e63a5a7,,,,
2f28dc52,,,,
3e00c6e6,,,,
7900ce56,,,,
7da06196,,,,
23c3f98f,,,,
29577338,,,,
211daa9e,,,,
5b5cb979,,,,
f5592bcf,,,,
edc5f176,,,,
f1563454,,,,
11dff1fb,,,,
55795e54,,,,
87145cc0,,,,
38c7618d,,,,
c2477fee,,,,
abbbccd6,,,,
0555efd2,,,,
65970ff6,,,,
8a806ff1,,,,
0550a5d6,,,,
22c84a87,,,,
808f4630,,,,
b99bbfa2,,,,
0112e012,,,,
39c06c32,,,,
bc62d996,,,,
051bbb22,,,,
ee3d2f89,,,,
488dab38,,,,
4644f17f,,,,
7ac54c8b,,,,
98c39a5a,,,,
54250867,,,,
0cfd6615,,,,
ff25b136,,,,
29b8c64f,,,,
9e0b0c42,,,,
ca606b5f,,,,
c354a72b,,,,
2ecc31d4,,,,
39e9c932,,,,
feda1534,,,,
0c6cbe37,,,,
0ad0ab53,,,,
ed931cef,,,,
a4e7ca37,,,,
29317109,,,,
c76f4d18,,,,
9fe7ae0d,,,,
3ce0e653,,,,
05639e68,,,,
57c43654,,,,
387899bc,,,,
69e5e514,,,,
fb2f24dc,,,,
6d7c8402,,,,
bd6189fe,,,,
30c57eaf,,,,
8e143160,,,,
c2be017b,,,,
cba56bd9,,,,
09aea791,,,,
4010c5f0,,,,
6d24c7f4,,,,
bad302a0,,,,
e439ef98,,,,
e76dd1d4,,,,
d7439256,,,,
2d9c08d1,,,,
998efcd5,,,,
2191d893,,,,
d49dcef4,,,,
97301691,,,,
e9cbad12,,,,
064453ed,,,,
ba302968,,,,
0523420d,,,,
f32739fa,,,,
6f34cc55,,,,
ffcf6baf,,,,
477d2957,,,,
8ab00a29,,,,
448113d3,,,,
dcf09007,,,,
e2147fa0,,,,
a14e854c,,,,
7b32818c,,,,
65a8194a,,,,
20db4313,,,,
5051cf31,,,,
7330d712,,,,
56aef7a8,,,,
9072e92f,,,,
1d4524ec,,,,
3f70d880,,,,
