,total,chk_3,chk_4,ratio3
611acd41,335.0,22,20,0.06567164179104477
b233f985,335.0,54,53,0.16119402985074627
c3fb64dd,334.0,33,27,0.09880239520958084
0d0ecdb9,334.0,16,13,0.04790419161676647
4b2073e2,337.0,10,6,0.02967359050445104
24d7564c,333.0,33,26,0.0990990990990991
84b696c7,337.0,41,31,0.12166172106824925
035b02cd,333.0,27,24,0.08108108108108109
91d44860,334.0,31,25,0.09281437125748503
d1de9906,333.0,26,19,0.07807807807807808
01317876,336.0,35,27,0.10416666666666667
39e0cdff,334.0,27,20,0.08083832335329341
b503970e,336.0,38,34,0.1130952380952381
a6c1c2b0,334.0,32,28,0.09580838323353294
0f9acd91,336.0,26,21,0.07738095238095238
fbe5598e,335.0,34,29,0.10149253731343283
4dcf6752,334.0,31,24,0.09281437125748503
50659b7f,335.0,26,18,0.07761194029850746
5fcf32bc,334.0,19,15,0.05688622754491018
38d7226f,335.0,35,31,0.1044776119402985
aea939cc,338.0,28,21,0.08284023668639054
9f3bee26,336.0,29,21,0.08630952380952381
2d287175,336.0,13,9,0.03869047619047619
b7e18342,335.0,35,30,0.1044776119402985
8308d851,335.0,31,26,0.09253731343283582
3d91034b,339.0,30,22,0.08849557522123894
488df4b7,336.0,28,19,0.08333333333333333
feabe79c,338.0,37,32,0.10946745562130178
215d00d3,339.0,40,30,0.11799410029498525
5b125d81,302.0,17,14,0.056291390728476824
1aa2079a,,,,
a3509bc7,,,,
3a887da3,,,,
ca434c2d,,,,
2de7eef4,,,,
88273d5d,,,,
0efc0029,,,,
4646585e,,,,
9c151b3d,,,,
6f744c85,,,,
be7738b8,,,,
b569e51c,,,,
4cbd365d,,,,
b980a655,,,,
ed033d88,,,,
2acbf804,,,,
ec3eb041,,,,
486a6a09,,,,
c27e53cd,,,,
daae5c0f,,,,
e81c782c,,,,
f0b5aa8e,,,,
49e36e85,,,,
8aea1aed,,,,
e041fe93,,,,
570ed99d,,,,
1281d56f,,,,
29ba8df5,,,,
510f70a7,,,,
fdd4c623,,,,
0f29ec06,,,,
9f0934e0,,,,
aa82464c,,,,
a860b868,,,,
bc2df3a9,,,,
fd3505a0,,,,
2661dfca,,,,
5c4dde15,,,,
1326050d,,,,
c31af6f6,,,,
ccf1b7cc,,,,
6e6ec630,,,,
2be2efa6,,,,
747288cf,,,,
3f279f38,,,,
1d9817df,,,,
3074f720,,,,
12a82673,,,,
4a1718c4,,,,
a42aee1f,,,,
1ae9aec0,,,,
5b4210c0,,,,
5d4ae775,,,,
7fad957d,,,,
be8b94c2,,,,
2c202208,,,,
7aa238b9,,,,
3a4bf800,,,,
3cf26e41,,,,
1dedcee6,,,,
23f87ea2,,,,
089a29a3,,,,
71e9a129,,,,
c8501b47,,,,
b0bd8ad6,,,,
874a8263,,,,
bb1316f4,,,,
3e241f00,,,,
08e40909,,,,
b57e6f1c,,,,
99e8fdab,,,,
b420afc8,,,,
fc052225,,,,
d273f456,,,,
bbc27a2a,,,,
63075299,,,,
75436330,,,,
02c7a187,,,,
26601f34,,,,
79480888,,,,
8b751e77,,,,
7c78bb97,,,,
1c4b32dc,,,,
b9a98c29,,,,
ac5656f2,,,,
ca2d6d94,,,,
b78eeaec,,,,
4cd51a97,,,,
8be25e3d,,,,
1150f7c1,,,,
c1190c86,,,,
c76bd31a,,,,
c73615f2,,,,
9d3290fe,,,,
8a372ed5,,,,
de05644a,,,,
a894b758,,,,
dfcbd846,,,,
86dd9a3a,,,,
121515ea,,,,
bfd4cec3,,,,
11bc96e4,,,,
4536ed96,,,,
76457e5d,,,,
669891cd,,,,
cae108d7,,,,
ebaa2a1e,,,,
75a173f5,,,,
a20fa43f,,,,
