,total,chk_3,chk_4,ratio3
bd271e7a,268.0,29,17,0.10820895522388059
986cb610,272.0,30,22,0.11029411764705882
de74f11e,271.0,31,22,0.11439114391143912
46cec00a,271.0,20,17,0.07380073800738007
6dac0b04,268.0,17,13,0.06343283582089553
66175ee4,272.0,26,21,0.09558823529411764
ffed866e,271.0,23,19,0.08487084870848709
e74d8d7d,270.0,22,16,0.08148148148148149
929df569,272.0,30,21,0.11029411764705882
8fe59af5,268.0,13,9,0.048507462686567165
a23610cf,270.0,23,21,0.08518518518518518
7e37b2b4,273.0,34,27,0.12454212454212454
f280e6b3,271.0,32,25,0.11808118081180811
fb0a02e2,268.0,20,16,0.07462686567164178
a5db1186,273.0,32,27,0.11721611721611722
14bd27bd,270.0,40,33,0.14814814814814814
d7d74323,273.0,41,32,0.15018315018315018
e3dba6ab,273.0,32,26,0.11721611721611722
d7c231d1,273.0,32,22,0.11721611721611722
10b936dd,272.0,23,17,0.08455882352941177
0a220770,268.0,29,20,0.10820895522388059
f56cb747,272.0,35,25,0.12867647058823528
940d31f9,273.0,30,20,0.10989010989010989
5083cb73,273.0,23,21,0.08424908424908426
8c4f4733,268.0,29,24,0.10820895522388059
5da0ed92,272.0,26,21,0.09558823529411764
271785b4,271.0,23,18,0.08487084870848709
b50e416a,271.0,45,40,0.16605166051660517
b3bb6238,273.0,26,20,0.09523809523809523
c8e4b809,274.0,21,15,0.07664233576642336
f0457e8c,,,,
4b1b6245,,,,
e5ebe372,,,,
86ff3557,,,,
043c020a,,,,
e631d9b4,,,,
796a5c2e,,,,
30c771d1,,,,
b35b6238,,,,
715a079d,,,,
b2d7adae,,,,
8d6bad4d,,,,
a9b1a1fb,,,,
99868c60,,,,
ea3b59e5,,,,
6fda3f02,,,,
8606c508,,,,
ebb462ce,,,,
398b675f,,,,
786c7150,,,,
acfe5ad3,,,,
badb6dd7,,,,
5e0ddf3c,,,,
dd06706e,,,,
50dc6ea3,,,,
3ce075d4,,,,
4416961b,,,,
72740a6d,,,,
ee32ac04,,,,
23a64252,,,,
c3e5d1fe,,,,
adbf3583,,,,
86496d3b,,,,
f3195327,,,,
e2a482a2,,,,
ba1ea789,,,,
f3122431,,,,
aadb9ed6,,,,
31140762,,,,
374ffb3d,,,,
54992d5e,,,,
3b81375e,,,,
7eca83c4,,,,
6c1f660e,,,,
bf94825b,,,,
26010819,,,,
5476366f,,,,
cde73316,,,,
22336be3,,,,
8336cfdb,,,,
cc1e5938,,,,
1a5b45c8,,,,
2370e389,,,,
0b3d62e7,,,,
32b7bea4,,,,
2b1a55a0,,,,
ed69ff5c,,,,
0912ae8b,,,,
9d1b517b,,,,
57bd424c,,,,
95a44165,,,,
fd190fde,,,,
594a937a,,,,
7445061a,,,,
8f34029b,,,,
deba36a8,,,,
56312277,,,,
c7c2e560,,,,
50664a8c,,,,
a94bb054,,,,
fc83fbf8,,,,
424ea43c,,,,
bc113f53,,,,
bdc3f133,,,,
caa60d43,,,,
2435074c,,,,
90a3a269,,,,
fae819e4,,,,
e8a48fa3,,,,
c21e99c5,,,,
1f6fd327,,,,
4ae46389,,,,
