,f_fwd,f_bwd,avr_mse,avr_rmse,avr_smape
0,1,1,0.035310102,0.133901055,30.50899155
1,1,2,0.050841013,0.15313342,34.95032384
2,1,3,0.08538331,0.182176595,40.62955317
3,1,4,0.153992225,0.223564566,47.81390951
4,1,5,0.351891218,0.295686012,57.14572296
5,1,6,1.93652856,0.472374449,70.60161552
6,1,7,2012.176373,2.686134723,92.39649188
7,1,8,131.624897,1.309572856,86.07372042
8,1,9,1.21115286,0.441795264,71.83367214
9,1,10,0.377071201,0.334792266,64.79421594
10,1,11,0.236573242,0.293909829,60.86445324
11,1,12,0.172477888,0.267385356,57.69395073
12,1,13,0.144921569,0.251661864,55.47895588
13,1,14,0.126004195,0.239437603,54.01566608
14,1,15,0.116276864,0.231683316,52.76011874
15,1,16,0.104079213,0.22466825,51.56776971
16,1,17,0.09548975,0.218299401,50.7108852
17,1,18,0.089994948,0.214262563,50.00134314
18,1,19,0.089753512,0.212286139,49.50897063
19,1,20,0.08464518,0.209524526,48.97759354
20,1,21,0.079429894,0.207009467,48.5430051
21,1,22,0.076516649,0.20473583,48.23197095
22,1,23,0.073604827,0.201809792,47.87370024
23,1,24,0.071351621,0.199638756,47.51991929
24,2,1,0.050730569,0.15359579,35.05402132
25,2,2,0.074859813,0.177370307,39.98808926
26,2,3,0.128507333,0.215706293,46.82733261
27,2,4,0.294329138,0.283384314,56.25162154
28,2,5,2.124450257,0.445636137,69.54125045
29,2,6,609.3631957,2.038014463,90.98634581
30,2,7,123.5437595,1.120969338,83.95242366
31,2,8,1.239262918,0.437133749,71.00189727
32,2,9,0.327465727,0.325691227,63.67518318
33,2,10,0.204741292,0.283768226,59.68313603
34,2,11,0.155407626,0.259153715,56.85350892
35,2,12,0.131118774,0.244579209,54.77179237
36,2,13,0.114026264,0.234009653,53.07206244
37,2,14,0.105582375,0.227360009,52.15798992
38,2,15,0.096844376,0.220817601,51.06055588
39,2,16,0.090894965,0.216373443,50.21428765
40,2,17,0.085978823,0.211867495,49.56937118
41,2,18,0.083027723,0.209227397,48.98057107
42,2,19,0.082204979,0.207421067,48.52135195
43,2,20,0.078470181,0.204997529,47.98636596
44,2,21,0.074642853,0.202867314,47.67013454
45,2,22,0.072200585,0.200701176,47.40295502
46,2,23,0.069804963,0.198097932,47.02926011
47,2,24,0.067524495,0.19584967,46.69578675
48,3,1,0.079821183,0.18303818,40.82231607
49,3,2,0.125842284,0.217486181,46.77387419
50,3,3,0.262558445,0.282560848,55.94346541
51,3,4,2.028671304,0.450078225,69.11999889
52,3,5,489.4975727,2.004087692,91.60288204
53,3,6,11517.90473,2.238689872,84.11898498
54,3,7,1.050921112,0.428281631,70.19824982
55,3,8,0.416963759,0.333096402,63.7111373
56,3,9,0.195602387,0.281862494,59.17299426
57,3,10,0.146330394,0.258487866,56.60276251
58,3,11,0.128836964,0.243466992,54.75598945
59,3,12,0.113512314,0.233565054,53.04708627
60,3,13,0.103925986,0.226201577,51.79579688
61,3,14,0.097275085,0.220835791,50.96880163
62,3,15,0.090205841,0.215754449,50.13728036
63,3,16,0.085544909,0.212189384,49.55188097
64,3,17,0.082051301,0.208391512,48.84730883
65,3,18,0.080115995,0.20639633,48.40105902
66,3,19,0.078998157,0.204600069,47.9118077
67,3,20,0.075420429,0.202114743,47.37670507
68,3,21,0.072104599,0.200194224,47.12740014
69,3,22,0.070033467,0.198407738,46.89004038
70,3,23,0.067852825,0.196125125,46.56181838
71,3,24,0.065857122,0.194111714,46.23696061
72,4,1,0.13081311,0.224920787,48.11004779
73,4,2,0.235352609,0.281851597,56.23026927
74,4,3,1.374079371,0.438233621,69.28501222
75,4,4,15221.52835,3.18950358,91.18895309
76,4,5,4360.107555,1.579429934,84.09692236
77,4,6,5.265793674,0.429731538,70.28639884
78,4,7,0.352538662,0.324809345,63.33942353
79,4,8,0.22538646,0.285343283,59.41032596
80,4,9,0.146699979,0.257468217,56.37524667
81,4,10,0.124809269,0.243857806,54.5169481
82,4,11,0.109829248,0.232259892,53.07879665
83,4,12,0.101149488,0.225636685,51.92466896
84,4,13,0.0960024,0.22030841,50.97503158
85,4,14,0.090496475,0.215927804,50.28620276
86,4,15,0.084901934,0.211453974,49.47410099
87,4,16,0.081132162,0.208582679,48.95969683
88,4,17,0.078523811,0.20597487,48.44340578
89,4,18,0.076583085,0.204052526,48.02641132
90,4,19,0.075098411,0.202319224,47.59589589
91,4,20,0.072304594,0.200097828,47.07560624
92,4,21,0.069770611,0.198594095,46.83809569
93,4,22,0.068092268,0.197076252,46.61430095
94,4,23,0.066299034,0.195106734,46.32869395
95,4,24,0.064440122,0.193141415,46.06765096
96,5,1,0.277799583,0.294993141,57.90797719
97,5,2,1.03886581,0.440285399,69.84691066
98,5,3,462.7809631,1.948804186,92.21822987
99,5,4,123.9133045,1.191132004,83.66969254
100,5,5,0.63365783,0.411311758,70.44017685
101,5,6,0.289735759,0.320623684,63.44966987
102,5,7,0.196994757,0.280741236,59.28030528
103,5,8,0.162231987,0.259486173,56.50429653
104,5,9,0.125915937,0.242682677,54.32327371
105,5,10,0.109847118,0.233496699,53.07468325
106,5,11,0.098471799,0.224501801,51.78151291
107,5,12,0.093648044,0.22007777,50.95560889
108,5,13,0.088805489,0.215495301,50.15683352
109,5,14,0.084454548,0.21157526,49.56614626
110,5,15,0.080662418,0.208198773,48.94318842
111,5,16,0.077248133,0.205766743,48.45026604
112,5,17,0.074668541,0.20346046,48.04100609
113,5,18,0.073592773,0.202021495,47.72414076
114,5,19,0.071976616,0.200277006,47.3333081
115,5,20,0.069792484,0.198612616,46.9246677
116,5,21,0.067813208,0.197505886,46.7100868
117,5,22,0.066240077,0.196082045,46.48630726
118,5,23,0.064489704,0.19400355,46.17092676
119,5,24,0.062963505,0.192223531,45.94163034
120,6,1,10.50851583,0.483739405,71.5044334
121,6,2,282.0579424,1.663715777,91.671834
122,6,3,414.5100996,1.380374609,84.66106301
123,6,4,59.90049951,0.480157774,70.58286531
124,6,5,0.292045374,0.322689402,63.66282969
125,6,6,0.186720412,0.280517072,59.59123403
126,6,7,0.140825177,0.255084698,56.42927809
127,6,8,0.126358001,0.243322167,54.49571625
128,6,9,0.109358585,0.232418555,52.81193577
129,6,10,0.100653391,0.225982291,51.88619834
130,6,11,0.091920352,0.219186173,50.95132128
131,6,12,0.088015121,0.215963529,50.23035446
132,6,13,0.08345706,0.211556597,49.44880991
133,6,14,0.079535838,0.208265406,49.01375824
134,6,15,0.076532099,0.205608281,48.51338432
135,6,16,0.073933044,0.203575175,48.1082339
136,6,17,0.072296234,0.201794042,47.79740184
137,6,18,0.070934292,0.200374508,47.49363339
138,6,19,0.069241765,0.198743873,47.15362076
139,6,20,0.067442357,0.197252477,46.77135402
140,6,21,0.065860889,0.196345745,46.59228489
141,6,22,0.064347613,0.194894221,46.35940863
142,6,23,0.062861326,0.193065452,46.05326301
143,6,24,0.061583837,0.191496857,45.89891847
144,7,1,2009.687856,2.526371611,93.42320492
145,7,2,183.3688939,1.228562858,84.39344544
146,7,3,0.860674978,0.418755799,70.35468229
147,7,4,0.271593191,0.3182002,63.00746362
148,7,5,0.182615296,0.279846511,59.00274899
149,7,6,0.137085459,0.254862604,56.19820696
150,7,7,0.116583593,0.240219595,54.21981428
151,7,8,0.107201119,0.231672117,52.76621415
152,7,9,0.097445751,0.223220448,51.44976622
153,7,10,0.090548102,0.21804067,50.77372213
154,7,11,0.08575116,0.214070562,50.10493702
155,7,12,0.083081237,0.211184092,49.45927041
156,7,13,0.079365725,0.207745162,48.80729921
157,7,14,0.075561269,0.204758046,48.37498187
158,7,15,0.073180604,0.202690844,47.97753442
159,7,16,0.071439474,0.201183478,47.63259452
160,7,17,0.070044656,0.199637242,47.36976001
161,7,18,0.068485,0.19819117,47.11732429
162,7,19,0.066972999,0.196927874,46.87664256
163,7,20,0.065736192,0.195826627,46.53796587
164,7,21,0.064359253,0.195066331,46.36144401
165,7,22,0.063063078,0.193785739,46.17283855
166,7,23,0.061801074,0.19219284,45.94229854
167,7,24,0.060697768,0.190810998,45.78982675
168,8,1,18397.19366,2.32813535,86.01720945
169,8,2,0.768057067,0.415128055,70.2831062
170,8,3,0.261175758,0.315935411,62.77708625
171,8,4,0.168877602,0.275296495,58.59974463
172,8,5,0.134409957,0.255111672,55.94649859
173,8,6,0.111772243,0.239401635,53.90021443
174,8,7,0.101370066,0.230240157,52.61085823
175,8,8,0.094010847,0.222917488,51.38107017
176,8,9,0.088291544,0.217167883,50.39032601
177,8,10,0.083900013,0.213142415,49.83057984
178,8,11,0.081352934,0.210035445,49.32690603
179,8,12,0.079129989,0.20736336,48.70912756
180,8,13,0.075480782,0.204224395,48.10689926
181,8,14,0.072172954,0.201836628,47.84143954
182,8,15,0.070575658,0.200437045,47.5478767
183,8,16,0.069295752,0.199219838,47.25182599
184,8,17,0.06800012,0.197761454,46.96214868
185,8,18,0.066594216,0.196569011,46.81826511
186,8,19,0.065497391,0.195642949,46.61286921
187,8,20,0.064376249,0.194763617,46.37006656
188,8,21,0.063433593,0.194235121,46.27333965
189,8,22,0.062297372,0.193092993,46.0854655
190,8,23,0.061045656,0.191515792,45.8215596
191,8,24,0.059957621,0.190174347,45.65864301
192,9,1,0.804167406,0.427176483,71.42844009
193,9,2,0.266038313,0.316829046,63.17696309
194,9,3,0.170695711,0.278517102,59.11695673
195,9,4,0.132666633,0.253864191,55.79158185
196,9,5,0.11263713,0.239165825,53.76553814
197,9,6,0.098799315,0.229266808,52.39273095
