,f_fwd,f_bwd,avr_mse
575,24.0,24.0,0.0018256048173240086
574,24.0,23.0,0.0018339140751769856
551,23.0,24.0,0.0018438853322543108
550,23.0,23.0,0.0018514968661449754
573,24.0,22.0,0.0018648861803142321
527,22.0,24.0,0.0018692994709400613
526,22.0,23.0,0.001875486768086032
572,24.0,21.0,0.0018806739541240753
570,24.0,19.0,0.0018808034610052274
455,19.0,24.0,0.001882247304275503
571,24.0,20.0,0.0018867490235815315
503,21.0,24.0,0.0018911106582212493
569,24.0,18.0,0.0018911345045891086
549,23.0,22.0,0.0018920911701892137
454,19.0,23.0,0.0018951038072599468
431,18.0,24.0,0.001903197657548607
546,23.0,19.0,0.0019033202728271294
502,21.0,23.0,0.0019049075361517829
568,24.0,17.0,0.0019060150958653086
548,23.0,21.0,0.0019077707736464913
479,20.0,24.0,0.001908760077317645
547,23.0,20.0,0.0019106735850628735
407,17.0,24.0,0.0019112732904803603
545,23.0,18.0,0.001917978876162529
430,18.0,23.0,0.0019191950035259164
478,20.0,23.0,0.00192047251477295
0,1.0,1.0,0.0019260951222793152
406,17.0,23.0,0.0019267573030957769
383,16.0,24.0,0.0019281118919878433
544,23.0,17.0,0.0019334560776509344
525,22.0,22.0,0.0019343440318603125
382,16.0,23.0,0.0019438990869533766
524,22.0,21.0,0.0019565602196077786
567,24.0,16.0,0.001957074245193693
453,19.0,22.0,0.001957421682923292
522,22.0,19.0,0.0019575569080720785
523,22.0,20.0,0.0019599012790920485
359,15.0,24.0,0.001959996342598871
501,21.0,22.0,0.001972422360236422
358,15.0,23.0,0.0019767016709217942
521,22.0,18.0,0.0019806696469149114
543,23.0,16.0,0.0019830425598788507
429,18.0,22.0,0.001984931172790502
452,19.0,21.0,0.0019887829924946226
451,19.0,20.0,0.0019908839069935013
450,19.0,19.0,0.001990961050996632
566,24.0,15.0,0.001991309160798532
405,17.0,22.0,0.0019970579330472423
500,21.0,21.0,0.0019973310862522664
520,22.0,17.0,0.001998583987162612
477,20.0,22.0,0.0019990292912982367
498,21.0,19.0,0.002002521832350848
499,21.0,20.0,0.0020036854294048284
381,16.0,22.0,0.0020060836787216467
428,18.0,21.0,0.002016836886481723
449,19.0,18.0,0.0020168414305340087
542,23.0,15.0,0.0020180774519778354
427,18.0,20.0,0.0020189896009506557
426,18.0,19.0,0.0020202411133260377
335,14.0,24.0,0.0020227735481667575
497,21.0,18.0,0.002027460224145303
476,20.0,21.0,0.002028767648369062
402,17.0,19.0,0.002028782423436644
403,17.0,20.0,0.002031213771940995
404,17.0,21.0,0.002032245515294516
378,16.0,19.0,0.002038387676931664
448,19.0,17.0,0.0020393245430688654
379,16.0,20.0,0.0020399404292562647
334,14.0,23.0,0.0020412688205031465
565,24.0,14.0,0.002044368164627563
475,20.0,20.0,0.0020445016599510246
474,20.0,19.0,0.0020447237694845755
425,18.0,18.0,0.002046086503430328
496,21.0,17.0,0.002048261906036252
380,16.0,21.0,0.0020488933544855533
519,22.0,16.0,0.0020519698733521435
401,17.0,18.0,0.002053183435551869
377,16.0,18.0,0.0020584013473277734
311,13.0,24.0,0.0020628908766813425
541,23.0,14.0,0.00207069404547568
424,18.0,17.0,0.002073281482400476
473,20.0,18.0,0.002074411759436896
357,15.0,22.0,0.002077297320313657
287,12.0,24.0,0.0020807543164492693
400,17.0,17.0,0.0020841453170805328
310,13.0,23.0,0.0020845389979499843
