,filter len-forward,filter len-backward,avr_mse
0,1,1,0.035310102
24,2,1,0.050730569
1,1,2,0.050841013
575,24,24,0.05540269
574,24,23,0.055699204
551,23,24,0.055762406
573,24,22,0.055901618
572,24,21,0.05601436
550,23,23,0.056041534
571,24,20,0.056077107
527,22,24,0.056159955
570,24,19,0.056266392
549,23,22,0.056280629
526,22,23,0.056458489
548,23,21,0.056470552
547,23,20,0.056534072
569,24,18,0.056556132
503,21,24,0.056672008
546,23,19,0.056764326
525,22,22,0.05678628
568,24,17,0.056920558
524,22,21,0.056996165
479,20,24,0.057044674
523,22,20,0.057073209
502,21,23,0.057088443
545,23,18,0.057109203
567,24,16,0.057180783
455,19,24,0.057186227
566,24,15,0.057262154
431,18,24,0.057295013
407,17,24,0.057314183
522,22,19,0.05732886
501,21,22,0.057484201
544,23,17,0.057510548
383,16,24,0.05754316
478,20,23,0.057582431
565,24,14,0.057662286
521,22,18,0.057717875
454,19,23,0.05771858
500,21,21,0.057722408
359,15,24,0.057733602
499,21,20,0.057763957
543,23,16,0.057782366
542,23,15,0.057847783
430,18,23,0.057858425
477,20,22,0.057989544
335,14,24,0.057989978
406,17,23,0.057990787
498,21,19,0.058019385
453,19,22,0.058092575
564,24,13,0.058114172
311,13,24,0.058120623
520,22,17,0.058158721
475,20,20,0.058189826
476,20,21,0.058209309
382,16,23,0.058266359
452,19,21,0.058300027
541,23,14,0.058317141
451,19,20,0.058324177
429,18,22,0.058336964
287,12,24,0.058356814
474,20,19,0.058420266
497,21,18,0.058455319
519,22,16,0.058467988
358,15,23,0.058486963
563,24,12,0.058505029
263,11,24,0.058542435
518,22,15,0.058565802
450,19,19,0.058611367
405,17,22,0.058619332
428,18,21,0.05869801
239,10,24,0.058779836
562,24,11,0.058783199
427,18,20,0.058803833
334,14,23,0.058806038
540,23,13,0.058859479
473,20,18,0.058922371
381,16,22,0.058943704
310,13,23,0.058992763
496,21,17,0.059010295
404,17,21,0.059040544
517,22,14,0.059113915
426,18,19,0.059130771
357,15,22,0.059143292
449,19,18,0.059144246
561,24,10,0.059159149
403,17,20,0.059186283
215,9,24,0.05924736
286,12,23,0.059281902
539,23,12,0.059294794
380,16,21,0.059320661
495,21,16,0.05939087
262,11,23,0.059506384
494,21,15,0.05952618
379,16,20,0.059544216
472,20,17,0.059552425
402,17,19,0.059585211
333,14,22,0.059601674
356,15,21,0.059640995
560,24,9,0.059651578
538,23,11,0.059665553
425,18,18,0.059727884
516,22,13,0.059752633
238,10,23,0.059799947
448,19,17,0.05984483
309,13,22,0.059850998
355,15,20,0.059921336
191,8,24,0.059957621
471,20,16,0.059994294
378,16,19,0.060007523
537,23,10,0.060070352
493,21,14,0.060111039
470,20,15,0.060128046
447,19,16,0.060191389
