,f_fwd,f_bwd,avr_rmse
0,1.0,1.0,0.029331540148396257
575,24.0,24.0,0.030838604319024
574,24.0,23.0,0.030880754301811964
551,23.0,24.0,0.030943851071405883
550,23.0,23.0,0.030982452729502324
573,24.0,22.0,0.031054271683609424
527,22.0,24.0,0.031109813594528482
526,22.0,23.0,0.03113392944441833
570,24.0,19.0,0.031142372373663182
572,24.0,21.0,0.031150015220946525
571,24.0,20.0,0.03118364450990143
569,24.0,18.0,0.03119906085974148
549,23.0,22.0,0.031202453619292355
546,23.0,19.0,0.0312554438325005
503,21.0,24.0,0.03126364393963265
548,23.0,21.0,0.031290061449660886
547,23.0,20.0,0.031304660576067705
502,21.0,23.0,0.03133454889516482
545,23.0,18.0,0.031357738523347806
568,24.0,17.0,0.031363839159315565
479,20.0,24.0,0.03139791429287418
455,19.0,24.0,0.03141507009594123
525,22.0,22.0,0.031444162373581955
478,20.0,23.0,0.03145637177726012
454,19.0,23.0,0.03148637487252068
431,18.0,24.0,0.03149282677364227
544,23.0,17.0,0.03152632820764195
524,22.0,21.0,0.0315584048188323
522,22.0,19.0,0.031558825952379604
523,22.0,20.0,0.03156922511787776
430,18.0,23.0,0.03158398054652421
567,24.0,16.0,0.03159606751645993
407,17.0,24.0,0.031596911520946874
501,21.0,22.0,0.031685973171467215
406,17.0,23.0,0.031689755588915534
521,22.0,18.0,0.031717138469219815
383,16.0,24.0,0.031738028342769835
543,23.0,16.0,0.031742823842902335
500,21.0,21.0,0.031824333529834034
382,16.0,23.0,0.03184342519541485
477,20.0,22.0,0.031847189820564475
566,24.0,15.0,0.031857171804745614
499,21.0,20.0,0.031859079897501016
453,19.0,22.0,0.031862620436237686
498,21.0,19.0,0.031872803493355965
520,22.0,17.0,0.031906844603107866
359,15.0,24.0,0.031952616968763864
429,18.0,22.0,0.031976568546584976
542,23.0,15.0,0.032007859516546534
476,20.0,21.0,0.03201132464575627
497,21.0,18.0,0.032021443118561414
452,19.0,21.0,0.032030027760827036
358,15.0,23.0,0.03208170866911071
405,17.0,22.0,0.03208712330443941
475,20.0,20.0,0.03208759783006291
451,19.0,20.0,0.03209921361555207
474,20.0,19.0,0.03210593439009488
450,19.0,19.0,0.032129319959001514
519,22.0,16.0,0.03214141406951547
428,18.0,21.0,0.03215222213193464
565,24.0,14.0,0.032165713675312485
381,16.0,22.0,0.03220500653119908
427,18.0,20.0,0.03222897645520175
496,21.0,17.0,0.032236097963915085
335,14.0,24.0,0.03224077477814463
473,20.0,18.0,0.032266209498883376
404,17.0,21.0,0.03226647588466813
426,18.0,19.0,0.032270741638311944
449,19.0,18.0,0.032306445045369336
541,23.0,14.0,0.03231952691865515
403,17.0,20.0,0.032327952569820316
402,17.0,19.0,0.03235870859662603
334,14.0,23.0,0.032373685423413845
380,16.0,21.0,0.0324279047012404
518,22.0,15.0,0.03242852943687651
425,18.0,18.0,0.032446089515969535
379,16.0,20.0,0.03244760015781533
495,21.0,16.0,0.03245670141090925
378,16.0,19.0,0.03248193096320138
564,24.0,13.0,0.03249631500611763
311,13.0,24.0,0.03249960670374126
472,20.0,17.0,0.03250098328697059
448,19.0,17.0,0.03252665563585872
357,15.0,22.0,0.032526989471433884
401,17.0,18.0,0.032536802836166716
310,13.0,23.0,0.03263605755277112
377,16.0,18.0,0.03264955731072874
540,23.0,13.0,0.03265408129508987
424,18.0,17.0,0.032695498089433644
517,22.0,14.0,0.03272768599840915
494,21.0,15.0,0.032739903154862075
471,20.0,16.0,0.032751010563505815
355,15.0,20.0,0.032753912249286365
287,12.0,24.0,0.03275761627826688
356,15.0,21.0,0.03276117623720813
400,17.0,17.0,0.03278989473506843
447,19.0,16.0,0.03282178826045446
333,14.0,22.0,0.03282215653156609
354,15.0,19.0,0.0328412773383388
563,24.0,12.0,0.032889582555259436
286,12.0,23.0,0.03291462286421711
376,16.0,17.0,0.032948677555519786
423,18.0,16.0,0.03299920830615078
263,11.0,24.0,0.03300778069785187
470,20.0,15.0,0.033015322873252526
539,23.0,12.0,0.03303230986228349
353,15.0,18.0,0.033033695888395366
516,22.0,13.0,0.033039962699867566
309,13.0,22.0,0.033056065917901424
446,19.0,15.0,0.03305714871503193
493,21.0,14.0,0.03305933912286672
332,14.0,21.0,0.03308978050491186
331,14.0,20.0,0.03310261935405481
399,17.0,16.0,0.03311198464534643
