,f_fwd,f_bwd,avr_smape
0,1.0,1.0,17.59229174843189
575,24.0,24.0,19.777286161561594
574,24.0,23.0,19.793565066311665
551,23.0,24.0,19.79754490350437
550,23.0,23.0,19.807168407301145
24,2.0,1.0,19.883379304742974
573,24.0,22.0,19.89319536059203
527,22.0,24.0,19.89547021297799
526,22.0,23.0,19.90109437568989
549,23.0,22.0,19.928011516507688
572,24.0,21.0,19.92847929077676
571,24.0,20.0,19.95690937239597
548,23.0,21.0,19.96153955417516
570,24.0,19.0,19.96571321477493
547,23.0,20.0,19.983855512022924
503,21.0,24.0,19.98615913372786
546,23.0,19.0,19.99047098159413
1,1.0,2.0,19.99769401775895
502,21.0,23.0,20.002191304537238
569,24.0,18.0,20.035041779975373
525,22.0,22.0,20.03978375075101
479,20.0,24.0,20.08866053210872
524,22.0,21.0,20.09243509799077
478,20.0,23.0,20.100047353951897
545,23.0,18.0,20.102452641478425
455,19.0,24.0,20.10645826155318
523,22.0,20.0,20.11992064469149
454,19.0,23.0,20.122104253545924
522,22.0,19.0,20.13565285497845
431,18.0,24.0,20.142045543512523
568,24.0,17.0,20.150557421783468
430,18.0,23.0,20.162498586227912
501,21.0,22.0,20.16567047765413
407,17.0,24.0,20.174603052207548
406,17.0,23.0,20.21076888304518
544,23.0,17.0,20.21527698686002
500,21.0,21.0,20.23456779734804
521,22.0,18.0,20.27348064455709
477,20.0,22.0,20.278057972941056
383,16.0,24.0,20.28178898138378
499,21.0,20.0,20.288591201534864
567,24.0,16.0,20.29388461635073
453,19.0,22.0,20.299648987711944
498,21.0,19.0,20.316250282829465
543,23.0,16.0,20.329035167455846
382,16.0,23.0,20.339133379257927
429,18.0,22.0,20.342204940118545
476,20.0,21.0,20.357106995185354
452,19.0,21.0,20.390623390878226
520,22.0,17.0,20.396933222199973
405,17.0,22.0,20.40145971485444
359,15.0,24.0,20.424504094567357
566,24.0,15.0,20.436887221786662
428,18.0,21.0,20.44153537010615
497,21.0,18.0,20.447300235217828
475,20.0,20.0,20.447618730664924
542,23.0,15.0,20.472326500777477
474,20.0,19.0,20.48366124550548
451,19.0,20.0,20.500858658937286
358,15.0,23.0,20.502993909123454
335,14.0,24.0,20.51179308328323
404,17.0,21.0,20.512230393748727
519,22.0,16.0,20.512389263779728
381,16.0,22.0,20.52029881912011
450,19.0,19.0,20.536204365505046
427,18.0,20.0,20.55143515797358
496,21.0,17.0,20.581508007078817
334,14.0,23.0,20.58570390799675
426,18.0,19.0,20.58794469256227
403,17.0,20.0,20.60993123003409
473,20.0,18.0,20.61364508365369
565,24.0,14.0,20.620954917984808
402,17.0,19.0,20.627208522562274
