,filter len-forward,filter len-backward,avr_rmse
0,1,1,30.50899155
1,1,2,34.95032384
24,2,1,35.05402132
25,2,2,39.98808926
2,1,3,40.62955317
48,3,1,40.82231607
575,24,24,43.82052001
574,24,23,43.89543122
573,24,22,43.96658814
551,23,24,44.02873443
572,24,21,44.0352307
571,24,20,44.07223776
570,24,19,44.08737833
550,23,23,44.10580066
569,24,18,44.11241752
568,24,17,44.17881707
549,23,22,44.19260695
565,24,14,44.21355486
566,24,15,44.22168117
567,24,16,44.22951647
564,24,13,44.24383332
548,23,21,44.24689256
547,23,20,44.25096213
546,23,19,44.26823401
527,22,24,44.27642228
545,23,18,44.29932409
563,24,12,44.30173826
562,24,11,44.34851064
561,24,10,44.37457978
526,22,23,44.37956599
544,23,17,44.39956565
560,24,9,44.41235091
542,23,15,44.44225782
543,23,16,44.45613164
541,23,14,44.45672997
525,22,22,44.47727559
540,23,13,44.47913441
523,22,20,44.51097363
524,22,21,44.52124791
503,21,24,44.53158206
539,23,12,44.54334393
522,22,19,44.55836696
559,24,8,44.56337669
521,22,18,44.60809999
538,23,11,44.60832856
537,23,10,44.6461068
502,21,23,44.6628022
536,23,9,44.6897792
520,22,17,44.69112605
519,22,16,44.72266872
518,22,15,44.72433769
558,24,7,44.7304536
479,20,24,44.75097951
517,22,14,44.75777691
501,21,22,44.77204755
516,22,13,44.79010545
499,21,20,44.7912851
500,21,21,44.80873319
498,21,19,44.82095652
535,23,8,44.84976298
455,19,24,44.85239948
497,21,18,44.85789764
478,20,23,44.89468548
431,18,24,44.90075052
557,24,6,44.90309116
515,22,12,44.9070047
496,21,17,44.9358813
407,17,24,44.96510725
534,23,7,44.98479219
477,20,22,44.99802064
495,21,16,44.99973866
514,22,11,45.00059242
454,19,23,45.0039119
475,20,20,45.01876943
494,21,15,45.02919202
383,16,24,45.03148521
493,21,14,45.0356767
513,22,10,45.04271279
476,20,21,45.04395314
430,18,23,45.06973646
492,21,13,45.07529498
474,20,19,45.08399179
556,24,5,45.08486344
512,22,9,45.08829121
453,19,22,45.09724863
473,20,18,45.12829297
451,19,20,45.13485495
359,15,24,45.15017294
406,17,23,45.15945454
452,19,21,45.15985013
533,23,6,45.16773687
429,18,22,45.18964371
472,20,17,45.19229843
555,24,4,45.19321411
450,19,19,45.19620183
491,21,12,45.21344986
382,16,23,45.22404878
427,18,20,45.25108856
449,19,18,45.25474729
471,20,16,45.25697095
511,22,8,45.26377356
335,14,24,45.27219671
428,18,21,45.28374369
470,20,15,45.28786955
405,17,22,45.30384993
469,20,14,45.30463691
403,17,20,45.31758968
358,15,23,45.32485713
426,18,19,45.32641652
554,24,3,45.34901803
448,19,17,45.36195241
490,21,11,45.36221893
468,20,13,45.3624002
381,16,22,45.36408077
404,17,21,45.37808399
532,23,5,45.37872662
311,13,24,45.39183261
402,17,19,45.40085672
379,16,20,45.40442349
510,22,7,45.40963123
425,18,18,45.41672244
489,21,10,45.41861557
380,16,21,45.4384653
334,14,23,45.44986159
447,19,16,45.45246447
357,15,22,45.45506818
287,12,24,45.47202976
488,21,9,45.4762163
239,10,24,45.47782225
378,16,19,45.48150052
446,19,15,45.49623836
401,17,18,45.49968589
355,15,20,45.51649095
467,20,12,45.51708565
445,19,14,45.51784245
263,11,24,45.51869417
215,9,24,45.52953183
531,23,4,45.53016545
356,15,21,45.53336936
424,18,17,45.55821868
509,22,6,45.57881715
553,24,2,45.58112047
310,13,23,45.585891
444,19,13,45.58599165
354,15,19,45.58926497
333,14,22,45.5968532
377,16,18,45.60265699
331,14,20,45.64279152
400,17,17,45.64505602
487,21,8,45.64790899
238,10,23,45.65339766
191,8,24,45.65864301
332,14,21,45.66685864
423,18,16,45.6698734
286,12,23,45.67234162
262,11,23,45.67704684
466,20,11,45.69302112
422,18,15,45.6958176
530,23,3,45.69666918
214,9,23,45.71493942
353,15,18,45.71497215
330,14,19,45.72388383
443,19,12,45.73430986
309,13,22,45.73795677
421,18,14,45.74020595
376,16,17,45.76025215
465,20,10,45.76028946
307,13,20,45.77083615
399,17,16,45.77933289
167,7,24,45.78982675
464,20,9,45.80039349
486,21,7,45.8007674
308,13,21,45.81182332
420,18,13,45.81400554
398,17,15,45.81806747
508,22,5,45.8190603
190,8,23,45.8215596
352,15,17,45.82558264
237,10,22,45.83074722
329,14,18,45.83209711
285,12,22,45.8398244
306,13,19,45.84715051
261,11,22,45.86450688
375,16,16,45.86542716
284,12,21,45.87402345
283,12,20,45.87754637
374,16,15,45.88417787
397,17,14,45.88495947
143,6,24,45.89891847
328,14,17,45.90007658
351,15,16,45.91350764
396,17,13,45.92610746
442,19,11,45.93046574
260,11,21,45.94014448
119,5,24,45.94163034
166,7,23,45.94229854
419,18,12,45.9443078
236,10,21,45.94880559
305,13,18,45.9535212
213,9,22,45.95374814
259,11,20,45.96300606
282,12,19,45.97398675
507,22,4,45.98691514
463,20,8,45.98717462
373,16,14,45.99860897
350,15,15,46.00376054
529,23,2,46.00998923
304,13,17,46.01190927
235,10,20,46.0191581
441,19,10,46.01918619
327,14,16,46.0205016
485,21,6,46.04504185
372,16,13,46.04703567
142,6,23,46.05326301
95,4,24,46.06765096
395,17,12,46.07151382
189,8,22,46.0854655
440,19,9,46.09148337
258,11,19,46.09277344
281,12,18,46.0983636
326,14,15,46.1124988
418,18,11,46.12556708
212,9,21,46.12921313
349,15,14,46.13087804
303,13,16,46.13315274
280,12,17,46.15036387
348,15,13,46.1706742
118,5,23,46.17092676
165,7,22,46.17283855
234,10,19,46.17633945
371,16,12,46.18439522
257,11,18,46.19054332
462,20,7,46.19364221
302,13,15,46.20127529
325,14,14,46.21695307
417,18,10,46.21976524
211,9,20,46.22111224
71,3,24,46.23696061
506,22,3,46.23902255
439,19,8,46.25958709
301,13,14,46.26029222
394,17,11,46.26787611
188,8,21,46.27333965
256,11,17,46.28645955
324,14,13,46.29195992
279,12,16,46.29276743
416,18,9,46.3176378
94,4,23,46.32869395
347,15,12,46.33612751
393,17,10,46.35917768
141,6,22,46.35940863
484,21,5,46.36040582
233,10,18,46.36095307
164,7,21,46.36144401
187,8,20,46.37006656
278,12,15,46.38073956
370,16,11,46.38956024
300,13,13,46.40887434
461,20,6,46.42413582
210,9,19,46.42416183
438,19,7,46.44357151
255,11,16,46.45484809
392,17,9,46.45627813
232,10,17,46.46522744
323,14,12,46.47499734
117,5,22,46.48630726
415,18,8,46.48796538
277,12,14,46.49358592
346,15,11,46.51100471
369,16,10,46.51940922
163,7,20,46.53796587
70,3,23,46.56181838
483,21,4,46.57984294
254,11,15,46.58533407
140,6,21,46.59228489
345,15,10,46.6007601
505,22,2,46.60175198
186,8,19,46.61286921
93,4,22,46.61430095
552,24,1,46.61906117
391,17,8,46.62620871
209,9,18,46.62999151
368,16,9,46.65635663
276,12,13,46.66174783
231,10,16,46.6676076
299,13,12,46.67724337
437,19,6,46.68086141
47,2,24,46.69578675
116,5,21,46.7100868
414,18,7,46.71464951
322,14,11,46.72104825
253,11,14,46.73526471
208,9,17,46.74073771
139,6,20,46.77135402
49,3,2,46.77387419
460,20,5,46.7951652
482,21,3,46.80688851
344,15,9,46.81496607
185,8,18,46.81826511
26,2,3,46.82733261
92,4,21,46.83809569
230,10,15,46.84046607
367,16,8,46.86595619
321,14,10,46.86850056
162,7,19,46.87664256
252,11,13,46.87951793
69,3,22,46.89004038
413,18,6,46.92300015
115,5,20,46.9246677
275,12,12,46.93342442
390,17,7,46.93714245
184,8,17,46.96214868
298,13,11,46.97025081
