,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,,,,,,0.213,0.218,0.212,0.17800000000000002,,,0.215,0.238,0.205,0.227,0.236,,,0.241,0.229,0.22,0.259,0.238,,,0.238,0.194,0.189,0.22,,,,0.194,0.193,0.211,0.213,0.202,,,,,,,,,,,0.207,0.229,0.191,0.232,,,0.224,0.256,0.267,0.224,0.177,,
1,,,,,,0.316,0.246,0.212,0.232,,,0.266,0.245,0.21,0.287,0.224,,,0.262,,0.276,0.273,0.224,,,,0.212,0.182,,0.256,,,0.247,0.253,0.265,0.235,0.213,,,,,,,,,,,0.304,0.23,0.228,0.281,,,0.269,0.21,0.28,0.211,0.181,,
2,,,,,,0.495,0.507,0.638,0.544,,,0.562,0.522,0.556,0.573,0.6609999999999999,,,0.696,0.574,0.429,0.534,0.596,,,0.6890000000000001,1.469,0.5720000000000001,0.7090000000000001,0.399,,,0.855,0.557,0.464,0.461,0.413,,,,,,,,,,,0.5489999999999999,0.569,0.979,0.718,,,0.907,0.398,0.586,0.504,0.472,,
3,,,,,0.274,0.2,0.212,0.173,,,0.247,0.207,0.249,0.26,0.229,,,0.226,,0.21600000000000005,0.248,0.204,,,,0.204,0.182,0.243,0.203,,,0.198,0.234,0.207,0.212,0.252,,,,,,,,,,,0.269,0.259,0.211,0.269,,,0.204,0.195,0.233,0.239,0.177,,,0.257
4,,,,,,,0.495,0.52,0.507,,,0.525,0.527,0.5589999999999999,0.494,0.534,,,0.488,0.503,0.458,0.531,0.473,,,0.498,0.463,0.422,0.489,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,0.215,,,,,,0.214,0.251,,,,,,0.237,0.224,,,,,,0.244,0.212,,,,,,0.2,0.142,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,0.4920000000000001,,,,,,0.622,0.609,,,,,,0.956,0.474,,,,,,0.513,0.652,,,,,,0.643,0.763,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,0.201,,,,,,,0.399,0.6509999999999999,,,,,,0.24,0.277,,,,,,0.246,0.536,,,,,,0.209,0.187,0.628,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,0.212,,,,,,,0.273,0.28800000000000003,,,,,,0.33,0.552,,,,,,0.276,0.171,,,,,,0.272,0.295,0.282,,,,,,,,,,,,,,,,,,,,
9,,,,,,,0.147,0.14300000000000002,0.14,,,,0.218,0.194,0.175,0.208,,,0.18,0.251,0.139,0.252,0.146,,,0.18,0.156,0.259,0.14800000000000002,0.14400000000000002,,,0.154,0.17600000000000002,0.168,0.163,0.184,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,0.242,0.204,0.267,0.191,,,0.261,,0.266,0.242,0.245,,,0.259,0.226,0.261,0.232,0.225,,,0.239,0.317,0.17800000000000002,0.198,0.232,,,0.196,0.236,0.22,0.227,0.246,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,0.249,0.177,,,,,,0.444,,,,,,,0.555,0.191,,,,,,0.415,0.174,,,,,,0.426,0.16699999999999998,0.159,0.175,0.218,0.125,0.213,0.268,0.436,0.199,,,,,,,,,,,,,
12,,,,,,0.213,0.218,0.212,0.17800000000000002,,,0.215,0.238,0.205,0.227,0.236,,,,0.229,0.22,0.259,0.238,,,0.238,0.194,0.189,0.22,0.232,,,0.194,0.193,0.211,0.213,0.202,,,,,,,,,,,0.207,,,,,,,,,,,,
13,,,,,,,0.142,0.149,0.149,,,0.173,0.145,0.14300000000000002,0.15,0.18,,,0.16899999999999998,0.214,0.14800000000000002,0.183,,,,0.183,0.151,0.146,0.145,0.142,,,0.138,0.145,0.156,0.14400000000000002,0.175,,,,,,,,,,,0.13,0.184,0.168,0.162,,,,,,,,,
14,,,,,,,0.29100000000000004,0.214,0.249,,,0.287,0.215,0.214,0.285,0.227,,,0.287,,0.28600000000000003,0.31,0.242,,,,,0.192,,0.218,,,0.275,0.266,0.276,0.241,0.269,,,,,,,,,,,0.292,0.289,0.289,0.234,,,0.309,0.259,0.234,,,,
15,,,,,,0.246,0.202,0.212,0.18,,,0.211,0.217,0.21600000000000005,0.233,0.225,,,0.217,0.235,0.237,0.217,0.215,,,0.218,0.226,,0.181,0.218,,,0.24,0.17800000000000002,0.214,0.255,0.21,,,,,,,,,,,0.209,0.262,0.187,0.278,,,0.236,0.206,0.321,0.236,,,
16,,,,,,,,,,0.31,0.462,,,,,,0.377,0.6659999999999999,,,,,,0.701,0.389,,,,,,,0.374,,,,,,0.415,0.426,0.388,0.598,0.505,0.166,0.424,0.409,0.957,0.273,,,,,0.305,0.434,,,,,,0.306,0.501
17,,,,,,,,,,0.182,0.518,,,,,,0.442,0.557,,,,,,0.29100000000000004,0.388,,,,,,0.261,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,0.275,0.423,,,,,,0.226,0.295,,,,,,0.361,0.687,,,,,,0.243,0.17800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,0.17600000000000002,0.18600000000000005,,,,,,0.18600000000000005,0.193,,,,,,0.221,0.252,,,,,,0.165,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
