,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,,0.371,,,0.452,0.575,0.35200000000000004,0.313,0.525,,,0.445,0.3720000000000001,0.369,0.414,0.5489999999999999,,,0.6609999999999999,0.516,0.687,0.411,0.6890000000000001,,,,0.481,0.244,0.348,0.415,,,0.268,1.095,0.416,0.324,0.51,,,,,,,,,,,0.399,0.402,0.415,0.496,,,0.348,0.374,,,,,
1,,,0.248,0.546,,,,,,0.231,0.184,,,,,,0.276,0.669,,,,,,0.397,0.239,,,,,,0.493,0.516,,,,,,0.219,0.3670000000000001,0.229,0.207,0.151,0.6509999999999999,0.866,0.224,0.483,0.471,,,,,0.18600000000000005,0.485,,,,,,,
2,,,0.24,0.237,,,,,,0.239,0.206,,,,,,0.253,0.194,,,,,,0.254,0.232,,,,,,0.242,0.21600000000000005,,,,,,0.243,0.253,0.234,0.243,0.177,0.275,0.238,0.333,0.461,0.344,,,,,0.411,0.45,,,,,,,
3,,,0.241,0.595,,,,,,0.51,0.187,,,,,,0.208,0.545,,,,,,0.541,0.674,,,,,,0.4920000000000001,0.695,,,,,,0.602,0.546,0.339,0.722,0.527,0.506,0.515,0.194,0.472,0.467,,,,,0.16699999999999998,0.343,,,,,,,
4,,0.599,,,0.517,0.535,0.56,0.522,0.55,,,0.624,0.58,0.624,0.583,0.621,,,0.5870000000000001,0.625,0.5820000000000001,0.597,0.607,,,0.57,0.611,0.555,,0.521,,,0.6,0.63,0.647,0.608,0.579,,,,,,,,,,,0.5760000000000001,0.317,0.662,0.682,,,0.682,0.664,0.5660000000000001,0.6809999999999999,,,
5,,,0.248,,,,,,,0.231,0.184,,,,,,0.276,0.669,,,,,,0.397,0.239,,,,,,0.493,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.267,,,0.2,0.244,0.184,,0.231,,,0.284,0.246,0.233,0.244,0.228,,,0.248,0.32299999999999995,0.233,0.242,0.284,,,0.231,0.249,0.236,0.199,0.27,,,0.235,0.259,0.282,0.219,0.238,,,,,,,,,,,,,,,,,,,,,,,
7,,0.267,,,0.2,0.244,0.184,0.232,,,,0.284,0.246,0.233,0.244,0.228,,,0.248,0.32299999999999995,0.233,0.242,0.284,,,0.231,0.249,0.236,0.199,0.27,,,0.235,0.259,0.282,0.219,0.238,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.235,0.233,,,,,,,0.195,,,,,,0.234,0.196,,,,,,0.264,0.236,,,,,,0.316,0.234,,,,,,0.258,0.245,,,,,,,,,,,,,,,,,,,,,
9,,,0.7659999999999999,0.358,,,,,,,0.198,,,,,,0.463,0.471,,,,,,0.657,0.23,,,,,,0.556,0.282,,,,,,0.302,0.441,,,,,,,,,,,,,,,,,,,,,
10,,,0.249,0.409,,,,,,,0.232,,,,,,0.191,0.589,,,,,,0.41,0.451,,,,,,0.496,0.433,,,,,,0.466,0.639,,,,,,,,,,,,,,,,,,,,,
11,,,,,0.25,0.236,0.35100000000000003,0.4320000000000001,0.226,,,,0.5870000000000001,0.239,0.238,0.246,,,0.35,,0.29100000000000004,0.239,0.231,,,,0.228,0.5,0.211,0.333,,,0.29,0.24,0.238,0.46,0.225,,,,,,,,,,,,,,,,,,,,,,,
12,,0.364,,,1.519,0.39,0.256,0.353,0.439,,,0.234,0.399,0.406,,0.308,,,0.252,0.53,0.345,0.301,0.389,,,0.397,0.343,0.312,,0.37,,,0.328,0.379,0.42,0.332,0.386,,,,,,,,,,,,,,,,,,,,,,,
13,,,0.295,0.326,,,,,,0.227,0.321,,,,,,0.312,,,,,,,0.292,0.29600000000000004,,,,,,0.27,0.214,,,,,,0.454,0.227,0.3670000000000001,0.208,0.175,0.21600000000000005,0.6409999999999999,0.29100000000000004,0.219,0.335,,,,,,,,,,,,,
14,,,0.363,0.238,,,,,,0.287,0.189,,,,,,0.207,,,,,,,0.456,0.203,,,,,,0.552,0.746,,,,,,0.233,0.35200000000000004,0.241,0.226,0.179,0.67,0.495,0.221,0.275,0.358,,,,,,,,,,,,,
15,,0.512,,,0.4320000000000001,0.293,0.445,0.5479999999999999,0.414,,,0.441,0.479,0.467,0.266,,,,,0.517,0.453,0.465,0.565,,,0.542,0.5710000000000001,0.551,0.502,0.584,,,0.568,0.5479999999999999,0.499,0.44,0.496,,,,,,,,,,,0.47,,,,,,,,,,,,
16,,,0.24,0.24,,,,,,0.243,0.198,,,,,,0.235,0.19,,,,,,,0.2,,,,,,0.256,0.236,,,,,,0.242,0.203,0.243,0.225,0.173,0.28600000000000003,0.233,0.324,0.226,0.185,,,,,0.395,0.294,,,,,,,
17,,0.265,,,0.214,0.282,0.194,0.268,0.243,,,0.201,0.237,0.254,0.25,0.258,,,0.293,0.244,0.232,0.247,0.237,,,0.224,0.232,0.229,,0.228,,,0.232,0.259,0.234,0.265,0.25,,,,,,,,,,,0.25,0.224,0.263,0.385,,,,0.408,0.4,0.297,0.28600000000000003,,
18,,0.6,,,0.539,0.19,0.44,0.486,0.489,,,0.518,0.513,0.561,0.498,0.638,,,0.552,0.615,0.486,0.508,0.522,,,0.496,0.522,0.504,0.708,,,,0.738,0.632,0.4920000000000001,0.6509999999999999,0.542,,,,,,,,,,,0.599,,0.467,0.856,,,0.597,0.454,0.516,0.503,,,
19,,,,0.229,,,,,,0.5,0.191,,,,,,0.317,0.409,,,,,,0.664,0.236,,,,,,0.82,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.24,,,,,,,0.243,0.198,,,,,,0.235,0.19,,,,,,0.245,0.2,,,,,,0.256,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.503,0.229,,,,,,0.5,0.191,,,,,,0.317,0.409,,,,,,0.664,0.236,,,,,,0.82,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,0.241,0.547,,,,,,0.249,0.227,,,,,,0.198,0.395,,,,,,0.314,0.669,,,,,,0.23,0.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,0.24,0.24,,,,,,0.243,0.198,,,,,,0.235,0.19,,,,,,0.245,0.2,,,,,,0.256,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,0.24,0.24,,,,,,0.243,0.198,,,,,,0.235,0.19,,,,,,0.245,0.2,,,,,,0.256,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.503,0.229,,,,,,0.5,0.191,,,,,,0.317,0.409,,,,,,0.664,0.236,,,,,,0.82,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,0.475,0.232,,,,,,0.397,0.479,,,,,,,0.189,,,,,,0.424,0.405,,,,,,0.4370000000000001,0.327,,,,,,0.329,,,,,,,,,,,,,,,,,,,,,,
27,,,0.475,0.232,,,,,,,0.479,,,,,,,0.189,,,,,,0.424,0.405,,,,,,0.4370000000000001,0.327,,,,,,0.329,0.424,,,,,,,,,,,,,,,,,,,,,
28,,,0.24,0.24,,,,,,,0.198,,,,,,0.235,0.19,,,,,,0.245,0.2,,,,,,0.256,0.236,,,,,,0.242,0.203,,,,,,,,,,,,,,,,,,,,,
29,,0.737,,,0.453,0.551,0.519,0.5529999999999999,0.51,,,0.561,,0.515,0.4920000000000001,0.57,,,0.381,0.675,0.224,0.501,0.5770000000000001,,,0.468,0.643,0.418,0.399,0.466,,,0.218,0.221,0.4370000000000001,0.33,0.547,,,,,,,,,,,,,,,,,,,,,,,
30,,0.319,,,0.209,0.239,0.185,0.237,0.248,,,0.295,0.243,,0.31,0.227,,,0.238,0.242,0.229,0.282,0.253,,,0.236,0.245,0.239,0.228,0.254,,,0.255,0.253,0.237,0.253,0.232,,,,,,,,,,,,,,,,,,,,,,,
31,,,0.35,0.232,,,,,,0.243,0.308,,,,,,0.35700000000000004,0.195,,,,,,0.233,0.234,,,,,,0.228,0.243,,,,,,0.247,0.245,0.258,0.232,0.165,0.336,0.228,,,,,,,,,,,,,,,,
32,,0.564,,,0.5820000000000001,0.517,0.7509999999999999,0.44,0.7040000000000001,,,0.568,0.477,0.6859999999999999,0.601,0.754,,,0.364,0.307,0.182,0.442,0.425,,,0.521,0.215,0.493,0.3670000000000001,0.484,,,0.231,0.246,0.403,0.397,0.5479999999999999,,,,,,,,,,,,,,,,,,,,,,,
33,,0.229,,,0.196,0.235,0.182,0.407,0.226,,,0.198,0.256,0.244,0.225,0.233,,,,1.412,0.249,0.241,0.237,,,0.233,0.253,0.26,0.2,0.229,,,0.233,0.297,0.41,0.217,0.257,,,,,,,,,,,0.247,,,,,,,,,,,,
34,,,0.256,0.5920000000000001,,,,,,0.405,0.2,,,,,,0.197,0.428,,,,,,0.277,0.759,,,,,,0.227,0.5720000000000001,,,,,,0.603,0.539,0.236,0.177,0.59,0.606,0.47,0.223,0.511,0.847,,,,,0.187,,,,,,,,
35,,0.512,,,0.4320000000000001,0.293,0.445,0.5479999999999999,0.414,,,0.441,0.479,0.467,0.266,,,,0.568,0.517,0.453,0.465,0.565,,,0.542,0.5710000000000001,0.551,0.502,0.584,,,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,0.236,0.445,,,,,,0.557,0.18,,,,,,0.187,0.705,,,,,,0.465,0.56,,,,,,0.537,0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,0.25,0.248,,,,,,0.243,0.202,,,,,,0.237,0.187,,,,,,0.27,0.247,,,,,,0.223,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,0.224,0.377,,,,,,0.241,0.207,,,,,,0.189,0.482,,,,,,0.428,0.225,,,,,,0.456,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,0.308,,,0.443,0.294,,0.34600000000000003,0.27,,,0.482,0.305,0.3,0.279,0.301,,,0.42,0.28600000000000003,0.355,0.254,0.27,,,0.546,0.366,0.185,0.3,0.27,,,0.29100000000000004,0.35700000000000004,0.312,0.206,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,0.333,0.227,0.589,0.35700000000000004,0.242,,,0.209,1.097,,0.236,0.227,,,0.332,,0.3,0.305,0.257,,,,0.24,0.644,,0.315,,,0.23,0.229,0.221,0.237,0.226,,,,,,,,,,,,,,,,,,,,,,,
41,,0.6,,,0.539,0.19,0.44,0.486,0.489,,,0.518,0.513,0.561,,0.638,,,0.552,0.615,0.486,0.508,0.522,,,0.496,0.522,0.504,0.708,0.795,,,0.738,0.632,0.4920000000000001,0.6509999999999999,0.542,,,,,,,,,,,,,,,,,,,,,,,
42,,0.319,,,0.209,0.239,0.185,0.237,0.248,,,0.295,0.243,0.245,0.31,0.227,,,0.238,0.242,0.229,0.282,0.253,,,0.236,0.245,0.239,0.228,0.254,,,0.255,0.253,0.237,0.253,0.232,,,,,,,,,,,,,,,,,,,,,,,
43,,,0.422,0.405,,,,,,0.472,0.338,,,,,,0.388,0.193,,,,,,0.5870000000000001,0.377,,,,,,0.405,0.338,,,,,,0.78,0.326,0.5529999999999999,0.389,0.177,0.701,0.613,0.456,0.345,1.555,,,,,,,,,,,,,
44,,,0.224,0.377,,,,,,0.241,0.207,,,,,,0.189,0.482,,,,,,0.428,0.225,,,,,,0.456,0.477,,,,,,0.272,0.454,0.23,0.207,0.154,0.552,0.279,0.223,0.455,0.505,,,,,,,,,,,,,
45,,0.308,,,0.443,0.294,0.229,0.34600000000000003,0.27,,,0.482,0.305,0.3,0.279,0.301,,,0.42,0.28600000000000003,0.355,0.254,0.27,,,0.546,0.366,0.185,0.3,0.27,,,0.29100000000000004,0.35700000000000004,0.312,0.206,0.307,,,,,,,,,,,0.282,0.3,0.236,0.277,,,0.292,,,,,,
46,,,0.236,0.445,,,,,,0.557,0.18,,,,,,0.187,0.705,,,,,,0.465,0.56,,,,,,0.537,0.534,,,,,,0.555,0.471,0.413,0.478,0.369,0.643,0.603,0.208,0.396,0.477,,,,,0.172,0.516,,,,,,,
47,,,0.25,0.248,,,,,,0.243,0.202,,,,,,0.237,0.187,,,,,,0.27,0.247,,,,,,0.223,0.237,,,,,,0.231,0.261,0.24,0.195,0.181,0.32,0.189,0.327,0.255,0.318,,,,,0.375,0.581,,,,,,,
48,,,0.422,0.405,,,,,,0.472,0.338,,,,,,0.388,0.193,,,,,,0.5870000000000001,0.377,,,,,,0.405,0.338,,,,,,0.78,0.326,0.5529999999999999,0.389,0.177,0.701,0.613,0.456,0.345,1.555,,,,,0.613,0.358,,,,,,,
49,,0.467,,,0.465,0.198,0.35700000000000004,0.33,0.464,,,0.456,0.458,0.239,0.232,,,,0.544,0.436,0.479,0.282,0.5429999999999999,,,0.447,0.447,,0.501,0.487,,,0.421,0.597,0.461,0.391,0.479,,,,,,,,,,,0.424,0.305,0.338,0.583,,,0.605,0.7290000000000001,0.435,0.407,,,
50,,0.542,,,0.54,0.192,0.236,0.374,0.333,,,0.412,0.667,0.468,0.523,0.573,,,0.541,0.315,0.703,0.354,0.597,,,0.665,0.341,0.596,0.451,0.415,,,0.349,0.664,0.7609999999999999,0.29100000000000004,0.5710000000000001,,,,,,,,,,,0.653,,0.534,0.421,,,0.466,0.342,0.6629999999999999,0.398,,,
51,,0.244,,,0.189,,0.18600000000000005,0.239,0.234,,,0.29,0.258,0.247,0.235,0.28800000000000003,,,0.243,0.234,0.202,0.233,0.249,,,0.203,0.223,0.253,0.241,0.21600000000000005,,,0.228,0.247,0.242,,,,,,,,,,,,,,,,,,,,,,,,,
52,,0.542,,,0.54,0.192,0.236,0.374,0.333,,,,0.667,0.468,0.523,0.573,,,0.541,0.315,0.703,0.354,0.597,,,0.665,0.341,0.596,0.451,0.415,,,0.349,0.664,0.7609999999999999,0.29100000000000004,0.5710000000000001,,,,,,,,,,,,,,,,,,,,,,,
