,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,,,,,,,0.884,1.73,0.908,,,1.153,0.932,1.014,0.88,0.8390000000000001,,,0.843,0.7559999999999999,0.828,0.8340000000000001,1.052,,,0.64,0.964,0.892,0.748,0.8859999999999999,,,0.939,0.925,0.659,0.983,0.884,,,,,,,,,,,0.894,,0.735,0.8320000000000001,,,0.987,0.693,0.945,0.941,,,
1,,,,,,0.884,1.73,0.908,,,1.153,0.932,1.014,0.88,0.8390000000000001,,,0.843,0.7559999999999999,0.828,0.8340000000000001,1.052,,,0.64,0.964,0.892,0.748,0.8859999999999999,,,0.939,0.925,0.659,0.983,0.884,,,,,,,,,,,0.894,,0.735,0.8320000000000001,,,0.987,0.693,0.945,0.941,,,,0.855
2,,,,,,,,0.158,0.181,,,0.154,0.196,0.175,0.158,0.189,,,0.174,0.16699999999999998,0.236,0.172,0.16699999999999998,,,0.157,0.18,0.188,0.175,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.359,0.327,0.168,,,0.244,0.202,0.203,0.203,,,,0.18600000000000005,0.18600000000000005,0.152,0.159,0.16399999999999998,,,0.222,0.165,0.159,0.194,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,0.154,0.157,,,,,,0.175,0.181,,,,,,0.197,0.162,,,,,,0.156,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,0.159,,,,,,0.183,0.17800000000000002,,,,,,0.174,0.171,,,,,,0.192,0.16399999999999998,,,,,,0.168,0.162,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.476,0.234,0.193,,,0.261,,0.266,0.245,,,,0.207,0.166,0.168,0.185,0.17800000000000002,,,0.321,0.208,0.18600000000000005,0.235,0.174,,,0.162,0.175,0.172,0.16399999999999998,0.15,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.476,0.234,0.193,,,0.261,0.267,,0.245,,,,0.207,0.166,0.168,0.185,0.17800000000000002,,,0.321,0.208,0.18600000000000005,0.235,0.174,,,0.162,0.175,0.172,0.16399999999999998,0.15,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,0.877,1.119,0.741,,,0.924,0.8740000000000001,0.85,,0.926,,,0.795,0.774,0.959,0.925,1.01,,,0.922,0.983,1.17,0.958,0.964,,,1.107,1.171,0.926,1.039,1.177,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,0.476,0.234,0.193,,,0.261,0.267,0.266,,,,,0.207,0.166,0.168,0.185,0.17800000000000002,,,0.321,0.208,0.18600000000000005,0.235,0.174,,,0.162,0.175,0.172,0.16399999999999998,0.15,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,2.01,2.522,,,2.26,2.539,2.122,2.441,,,,1.641,,1.376,1.3769999999999998,1.388,,,,1.476,1.794,,1.806,,,1.749,1.721,2.206,1.338,2.318,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,0.177,0.184,,,,,,,0.16,,,,,,0.221,0.198,,,,,,0.174,0.189,,,,,,0.138,0.157,0.14300000000000002,0.163,0.154,0.162,0.147,0.381,0.146,,,,,,,,,,,,,,
12,,,,,,,0.564,0.465,0.6809999999999999,,,0.653,0.534,0.454,0.627,0.611,,,0.601,,0.551,0.595,0.8809999999999999,,,0.517,0.56,0.507,1.177,0.685,,,0.866,0.75,0.441,0.674,0.787,,,,,,,,,,,0.664,,,,,,,,,,,,
13,,,,,,,,,,0.157,0.172,,,,,,0.184,0.177,,,,,,,0.172,,,,,,0.17800000000000002,0.174,,,,,,0.146,0.141,0.242,0.606,0.157,0.142,0.155,0.139,0.158,0.14400000000000002,,,,,0.136,0.142,,,,,,,
