,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,,,,,,,0.131,0.08,0.08199999999999999,,,0.274,0.433,0.38,0.328,0.465,,,0.463,0.381,0.491,0.446,0.33,,,0.26,0.377,0.415,0.34600000000000003,0.649,,,0.759,0.411,0.254,0.34,0.397,,,,,,,,,,,0.348,0.378,0.44,0.319,,,0.6859999999999999,0.07400000000000001,0.061,0.061,0.07200000000000001,,
1,,,,,,0.467,,0.083,0.181,,,0.674,1.156,0.944,0.597,1.06,,,0.8690000000000001,0.522,0.504,0.544,0.445,,,0.498,0.4970000000000001,0.5710000000000001,0.594,0.498,,,0.353,0.527,0.525,0.563,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.349,0.162,,0.097,,,0.267,0.31,0.325,0.428,0.435,,,0.426,0.399,0.388,0.42,0.31,,,0.445,0.325,0.467,0.35,0.421,,,0.622,0.528,0.332,0.433,0.353,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.607,0.079,,,,0.37,0.455,0.745,0.499,0.6459999999999999,,,0.621,1.019,0.525,0.529,0.521,,,0.279,0.513,0.5429999999999999,0.581,0.632,,,0.7759999999999999,0.369,0.6779999999999999,0.62,0.6679999999999999,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,0.183,,,,,,0.391,0.456,,,,,,0.313,0.378,,,,,,0.337,0.387,,,,,,0.489,0.358,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.333,0.081,0.128,0.156,,,0.248,0.312,,0.469,0.446,,,0.429,,0.39,0.414,0.3720000000000001,,,0.314,0.365,0.328,0.305,0.407,,,0.624,0.5870000000000001,0.221,0.379,0.383,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.094,0.147,0.154,,,0.306,0.35,0.419,,0.426,,,0.482,0.359,0.314,0.336,0.382,,,0.193,0.325,0.365,,0.462,,,0.758,0.58,0.27,0.318,0.394,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,0.145,0.14300000000000002,,,,,,0.528,,,,,,,0.34,0.652,,,,,,0.454,0.486,,,,,,0.496,0.18,0.649,0.399,0.319,0.348,0.35100000000000003,0.653,0.42,0.31,,,,,,,,,,,,,
8,,,,,,0.389,0.155,0.155,0.281,,,1.098,1.134,1.003,0.669,1.027,,,0.918,0.591,0.489,,0.494,,,0.5660000000000001,0.575,0.569,0.546,0.556,,,0.348,0.542,0.5760000000000001,0.544,0.5,,,,,,,,,,,0.498,0.77,0.568,0.503,,,,,,,,,
9,,,,,,,,,,0.133,0.138,,,,,,0.546,0.634,,,,,,0.324,,,,,,,0.499,0.515,,,,,,0.46,0.645,0.614,0.353,0.626,0.34600000000000003,0.511,0.574,0.5670000000000001,0.412,,,,,0.757,0.62,,,,,,,
10,,,,,,0.418,0.129,0.157,0.14300000000000002,,,0.429,0.457,0.623,0.452,0.5529999999999999,,,0.821,0.7070000000000001,0.516,0.5589999999999999,0.631,,,,0.509,0.519,0.669,0.526,,,0.6409999999999999,0.523,0.508,0.448,0.499,,,,,,,,,,,0.531,0.489,0.5670000000000001,0.422,,,0.064,0.068,,,,,
11,,,,,,,0.254,0.156,0.156,,,0.273,0.461,0.382,0.386,0.395,,,0.512,0.503,0.505,0.727,0.6,,,0.273,,0.519,0.404,0.519,,,0.777,0.34,0.29100000000000004,0.402,0.436,,,,,,,,,,,0.5429999999999999,0.355,0.435,0.358,,,0.726,0.07400000000000001,0.092,,,,
12,,,,,,0.389,0.155,0.155,0.281,,,1.098,1.134,1.003,0.669,1.027,,,0.918,0.591,0.489,0.503,0.494,,,0.5660000000000001,,0.569,0.546,0.556,,,0.348,0.542,0.5760000000000001,0.544,0.5,,,,,,,,,,,0.498,0.77,0.568,0.503,,,0.075,0.083,0.066,,,,
13,,,,,,,,,,0.133,0.138,,,,,,0.546,0.634,,,,,,0.324,0.547,,,,,,,0.515,,,,,,0.46,0.645,0.614,0.353,0.626,0.34600000000000003,0.511,0.574,0.5670000000000001,0.412,,,,,0.757,0.62,,,,,,0.606,0.659
14,,,,,,,,,,0.109,0.211,,,,,,0.341,0.391,,,,,,0.368,0.332,,,,,,,0.45,,,,,,0.337,0.35700000000000004,0.36,0.375,0.36,0.448,0.321,0.35700000000000004,0.334,0.314,,,,,0.361,0.337,,,,,,0.233,0.363
15,,,,,,,,,,0.14400000000000002,0.481,,,,,,1.214,0.639,,,,,,0.444,0.525,,,,,,0.608,0.4,,,,,,0.189,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,0.564,0.156,0.156,,,,0.456,1.254,0.546,0.607,,,0.493,0.967,0.528,0.494,0.529,,,0.404,0.528,0.52,0.47,0.5770000000000001,,,0.723,0.338,0.509,0.43,0.528,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,0.395,0.156,0.15,0.155,,,,1.102,0.591,0.643,1.121,,,0.904,0.555,0.542,0.5820000000000001,0.374,,,0.534,0.5379999999999999,0.511,0.5529999999999999,0.515,,,0.369,0.522,0.514,0.493,0.535,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,0.56,0.156,0.156,,,0.3,,0.388,0.393,0.611,,,0.54,0.8270000000000001,0.478,0.5760000000000001,0.546,,,0.212,0.541,0.524,0.387,0.635,,,0.7959999999999999,0.308,0.57,0.528,0.5770000000000001,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,0.317,0.08,0.135,0.153,,,0.28600000000000003,,0.349,0.484,0.451,,,0.455,,0.344,0.37,0.371,,,,0.324,0.345,,0.441,,,0.47,0.6559999999999999,0.185,0.4,0.335,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,0.369,0.168,0.172,0.146,,,0.205,0.308,0.422,0.478,0.7390000000000001,,,0.728,0.329,0.443,0.409,0.377,,,0.56,0.431,0.507,0.326,0.38,,,0.775,0.498,0.561,0.394,0.657,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,0.103,0.155,0.152,,,0.26,0.36,0.305,0.355,0.458,,,0.467,0.431,0.386,0.475,0.374,,,0.194,0.401,0.326,0.358,0.422,,,0.738,0.546,0.21,0.349,0.382,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,0.369,0.168,0.172,0.146,,,0.205,0.308,0.422,0.478,0.7390000000000001,,,,0.329,0.443,0.409,0.377,,,0.56,0.431,0.507,0.326,0.38,,,0.775,0.498,0.561,0.394,0.657,,,,,,,,,,,0.47,,,,,,,,,,,,
23,,,,,,0.395,0.156,0.15,0.155,,,0.458,1.102,0.591,0.643,1.121,,,0.904,,0.542,0.5820000000000001,0.374,,,0.534,0.5379999999999999,0.511,0.5529999999999999,0.515,,,0.369,0.522,0.514,0.493,0.535,,,,,,,,,,,0.396,0.5429999999999999,,,,,,,,,,,
24,,,,,,,0.56,0.156,0.156,,,0.3,0.455,0.388,0.393,0.611,,,0.54,0.8270000000000001,,0.5760000000000001,0.546,,,0.212,0.541,0.524,0.387,0.635,,,0.7959999999999999,0.308,0.57,0.528,0.5770000000000001,,,,,,,,,,,0.5379999999999999,0.415,0.458,,,,,,,,,,
25,,,,,,0.418,0.129,0.157,0.14300000000000002,,,0.429,0.457,0.623,0.452,0.5529999999999999,,,0.821,0.7070000000000001,0.516,0.5589999999999999,0.631,,,0.565,0.509,0.519,0.669,0.526,,,0.6409999999999999,0.523,0.508,0.448,0.499,,,,,,,,,,,0.531,0.489,0.5670000000000001,0.422,,,,,,,,,
26,,,,,,0.395,0.156,0.15,0.155,,,0.458,1.102,0.591,0.643,1.121,,,0.904,0.555,0.542,0.5820000000000001,0.374,,,,0.5379999999999999,0.511,0.5529999999999999,0.515,,,0.369,0.522,0.514,0.493,0.535,,,,,,,,,,,0.396,0.5429999999999999,0.555,0.61,,,0.07,0.058,,,,,
27,,,,,,,0.56,0.156,0.156,,,0.3,0.455,0.388,0.393,0.611,,,0.54,0.8270000000000001,0.478,0.5760000000000001,0.546,,,0.212,,0.524,0.387,0.635,,,0.7959999999999999,0.308,0.57,0.528,0.5770000000000001,,,,,,,,,,,0.5379999999999999,0.415,0.458,0.454,,,0.73,0.064,0.061,,,,
28,,,,,,0.317,0.08,0.135,0.153,,,0.28600000000000003,0.337,0.349,0.484,0.451,,,0.455,,0.344,0.37,0.371,,,,0.324,,,0.441,,,0.47,0.6559999999999999,0.185,0.4,0.335,,,,,,,,,,,0.355,0.264,0.36,0.316,,,0.079,0.063,0.062,0.073,,,
29,,,,,,0.317,0.08,0.135,0.153,,,0.28600000000000003,0.337,0.349,0.484,0.451,,,0.455,,0.344,0.37,0.371,,,,0.324,0.345,,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,0.317,0.08,0.135,0.153,,,0.28600000000000003,0.337,0.349,0.484,0.451,,,0.455,,0.344,0.37,0.371,,,,0.324,0.345,,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,0.369,0.168,0.172,0.146,,,0.205,0.308,0.422,0.478,0.7390000000000001,,,0.728,0.329,0.443,0.409,0.377,,,0.56,0.431,0.507,0.326,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,0.465,0.149,0.155,0.138,,,0.486,0.4970000000000001,1.105,0.55,1.012,,,0.994,0.95,0.478,0.547,0.536,,,0.569,0.59,0.514,0.529,0.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,0.395,0.156,0.15,0.155,,,0.458,1.102,0.591,0.643,1.121,,,0.904,0.555,0.542,0.5820000000000001,0.374,,,0.534,0.5379999999999999,0.511,0.5529999999999999,0.515,,,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,0.141,0.478,,,,,,1.154,0.479,,,,,,0.5589999999999999,0.534,,,,,,0.496,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,0.369,0.168,,0.146,,,0.205,0.308,0.422,0.478,0.7390000000000001,,,0.728,0.329,0.443,0.409,0.377,,,0.56,0.431,0.507,0.326,0.38,,,0.775,0.498,0.561,0.394,0.657,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,0.395,0.156,0.15,,,,0.458,1.102,0.591,0.643,1.121,,,0.904,0.555,0.542,0.5820000000000001,0.374,,,0.534,0.5379999999999999,0.511,0.5529999999999999,0.515,,,0.369,0.522,0.514,0.493,0.535,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,0.56,0.156,0.156,,,0.3,0.455,0.388,0.393,0.611,,,0.54,0.8270000000000001,0.478,0.5760000000000001,0.546,,,0.212,0.541,0.524,0.387,0.635,,,0.7959999999999999,0.308,0.57,0.528,0.5770000000000001,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,0.317,0.08,0.135,0.153,,,0.28600000000000003,0.337,0.349,0.484,0.451,,,0.455,,0.344,0.37,0.371,,,,0.324,0.345,,0.441,,,0.47,0.6559999999999999,0.185,0.4,0.335,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,0.389,0.155,0.155,0.281,,,1.098,1.134,1.003,,1.027,,,0.918,0.591,0.489,0.503,0.494,,,0.5660000000000001,0.575,0.569,0.546,0.556,,,0.348,0.542,0.5760000000000001,0.544,0.5,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,0.116,0.226,,,,,,0.339,0.413,,,,,,0.33,0.485,,,,,,0.353,0.561,,,,,,0.33,0.336,0.33,0.338,0.315,0.396,0.342,0.382,0.321,0.327,,,,,,,,,,,,,
41,,,,,,,,,,0.141,0.478,,,,,,1.154,0.479,,,,,,0.5589999999999999,0.534,,,,,,0.496,0.526,,,,,,0.214,0.7759999999999999,0.36,0.35600000000000004,0.316,0.321,0.759,0.653,0.344,0.855,,,,,,,,,,,,,
42,,,,,,0.389,0.155,0.155,0.281,,,1.098,1.134,1.003,0.669,1.027,,,0.918,0.591,,0.503,0.494,,,0.5660000000000001,0.575,0.569,0.546,0.556,,,0.348,0.542,0.5760000000000001,0.544,0.5,,,,,,,,,,,0.498,0.77,0.568,,,,,,,,,,
43,,,,,,,0.564,0.156,0.156,,,0.433,0.456,1.254,0.546,0.607,,,0.493,0.967,0.528,,0.529,,,0.404,0.528,0.52,0.47,0.5770000000000001,,,0.723,0.338,0.509,0.43,0.528,,,,,,,,,,,0.44,0.393,0.4370000000000001,0.636,,,,,,,,,
44,,,,,,0.418,0.129,0.157,0.14300000000000002,,,0.429,0.457,0.623,0.452,0.5529999999999999,,,0.821,0.7070000000000001,0.516,0.5589999999999999,,,,0.565,0.509,0.519,0.669,0.526,,,0.6409999999999999,0.523,0.508,0.448,0.499,,,,,,,,,,,0.531,0.489,0.5670000000000001,0.422,,,,,,,,,
45,,,,,,,,,,0.109,0.211,,,,,,0.341,0.391,,,,,,0.368,0.332,,,,,,0.384,0.45,,,,,,0.337,0.35700000000000004,0.36,0.375,0.36,0.448,0.321,0.35700000000000004,0.334,0.314,,,,,0.361,0.337,,,,,,,
46,,,,,,,,,,0.14400000000000002,0.481,,,,,,1.214,0.639,,,,,,0.444,0.525,,,,,,0.608,0.4,,,,,,0.189,0.579,0.32,0.32,0.35,0.36,0.778,0.515,0.379,0.521,,,,,0.507,0.439,,,,,,,
47,,,,,,,,,,0.116,0.226,,,,,,0.339,0.413,,,,,,0.33,0.485,,,,,,0.353,0.561,,,,,,0.33,0.336,0.33,0.338,0.315,0.396,0.342,0.382,0.321,0.327,,,,,0.375,0.414,,,,,,,
48,,,,,,0.465,0.086,,0.107,,,1.014,0.825,0.955,0.581,1.088,,,0.918,0.98,0.64,0.508,0.46,,,0.586,0.5820000000000001,0.5529999999999999,0.53,0.5770000000000001,,,0.386,0.494,0.785,0.7709999999999999,0.521,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,0.607,0.079,0.076,,,0.37,,0.745,0.499,0.6459999999999999,,,0.621,1.019,0.525,0.529,0.521,,,0.279,0.513,0.5429999999999999,0.581,0.632,,,0.7759999999999999,0.369,0.6779999999999999,0.62,0.6679999999999999,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,0.395,0.156,0.15,0.155,,,0.458,1.102,0.591,0.643,,,,0.904,0.555,0.542,0.5820000000000001,0.374,,,0.534,0.5379999999999999,0.511,0.5529999999999999,0.515,,,0.369,0.522,0.514,0.493,0.535,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,0.131,0.14,,,,,,,0.454,,,,,,0.381,0.409,,,,,,0.514,0.486,,,,,,0.338,0.535,0.5820000000000001,0.326,0.335,0.313,0.337,0.685,0.337,,,,,,,,,,,,,,
52,,,,,,,0.56,0.156,0.156,,,0.3,0.455,0.388,0.393,0.611,,,,0.8270000000000001,0.478,0.5760000000000001,0.546,,,0.212,0.541,0.524,0.387,0.635,,,0.7959999999999999,0.308,0.57,0.528,0.5770000000000001,,,,,,,,,,,0.5379999999999999,,,,,,,,,,,,
53,,,,,,,,,,0.14400000000000002,0.105,,,,,,0.637,1.3030000000000002,,,,,,,0.6559999999999999,,,,,,0.527,0.542,,,,,,0.531,0.211,0.474,0.389,0.334,0.331,0.321,0.5,0.455,0.325,,,,,0.639,0.5489999999999999,,,,,,,
